PING 143.54.12.186 (143.54.12.186) 56(84) bytes of data.
64 bytes from 143.54.12.186: icmp_seq=1 ttl=64 time=0.373 ms
64 bytes from 143.54.12.186: icmp_seq=2 ttl=64 time=0.501 ms
64 bytes from 143.54.12.186: icmp_seq=3 ttl=64 time=0.749 ms
64 bytes from 143.54.12.186: icmp_seq=4 ttl=64 time=0.550 ms
64 bytes from 143.54.12.186: icmp_seq=5 ttl=64 time=0.731 ms
64 bytes from 143.54.12.186: icmp_seq=6 ttl=64 time=0.621 ms
64 bytes from 143.54.12.186: icmp_seq=7 ttl=64 time=0.451 ms
64 bytes from 143.54.12.186: icmp_seq=8 ttl=64 time=0.775 ms
64 bytes from 143.54.12.186: icmp_seq=9 ttl=64 time=0.866 ms
64 bytes from 143.54.12.186: icmp_seq=10 ttl=64 time=0.887 ms
64 bytes from 143.54.12.186: icmp_seq=11 ttl=64 time=0.785 ms
64 bytes from 143.54.12.186: icmp_seq=12 ttl=64 time=0.758 ms
64 bytes from 143.54.12.186: icmp_seq=13 ttl=64 time=0.512 ms
64 bytes from 143.54.12.186: icmp_seq=14 ttl=64 time=0.641 ms
64 bytes from 143.54.12.186: icmp_seq=15 ttl=64 time=0.557 ms
64 bytes from 143.54.12.186: icmp_seq=16 ttl=64 time=0.914 ms
64 bytes from 143.54.12.186: icmp_seq=17 ttl=64 time=0.634 ms
64 bytes from 143.54.12.186: icmp_seq=18 ttl=64 time=0.871 ms
64 bytes from 143.54.12.186: icmp_seq=19 ttl=64 time=0.767 ms
64 bytes from 143.54.12.186: icmp_seq=20 ttl=64 time=0.817 ms
64 bytes from 143.54.12.186: icmp_seq=21 ttl=64 time=0.791 ms
64 bytes from 143.54.12.186: icmp_seq=22 ttl=64 time=0.314 ms
64 bytes from 143.54.12.186: icmp_seq=23 ttl=64 time=0.559 ms
64 bytes from 143.54.12.186: icmp_seq=24 ttl=64 time=0.648 ms
64 bytes from 143.54.12.186: icmp_seq=25 ttl=64 time=0.606 ms
64 bytes from 143.54.12.186: icmp_seq=26 ttl=64 time=0.703 ms
64 bytes from 143.54.12.186: icmp_seq=27 ttl=64 time=0.383 ms
64 bytes from 143.54.12.186: icmp_seq=28 ttl=64 time=0.778 ms
64 bytes from 143.54.12.186: icmp_seq=29 ttl=64 time=0.426 ms
64 bytes from 143.54.12.186: icmp_seq=30 ttl=64 time=0.728 ms
64 bytes from 143.54.12.186: icmp_seq=31 ttl=64 time=0.470 ms
64 bytes from 143.54.12.186: icmp_seq=32 ttl=64 time=0.670 ms
64 bytes from 143.54.12.186: icmp_seq=33 ttl=64 time=0.750 ms
64 bytes from 143.54.12.186: icmp_seq=34 ttl=64 time=0.634 ms
64 bytes from 143.54.12.186: icmp_seq=35 ttl=64 time=0.702 ms
64 bytes from 143.54.12.186: icmp_seq=36 ttl=64 time=0.443 ms
64 bytes from 143.54.12.186: icmp_seq=37 ttl=64 time=0.517 ms
64 bytes from 143.54.12.186: icmp_seq=38 ttl=64 time=0.860 ms
64 bytes from 143.54.12.186: icmp_seq=39 ttl=64 time=0.728 ms
64 bytes from 143.54.12.186: icmp_seq=40 ttl=64 time=0.458 ms
64 bytes from 143.54.12.186: icmp_seq=41 ttl=64 time=0.586 ms
64 bytes from 143.54.12.186: icmp_seq=42 ttl=64 time=0.733 ms
64 bytes from 143.54.12.186: icmp_seq=43 ttl=64 time=0.802 ms
64 bytes from 143.54.12.186: icmp_seq=44 ttl=64 time=0.647 ms
64 bytes from 143.54.12.186: icmp_seq=45 ttl=64 time=0.530 ms
64 bytes from 143.54.12.186: icmp_seq=46 ttl=64 time=0.754 ms
64 bytes from 143.54.12.186: icmp_seq=47 ttl=64 time=0.718 ms
64 bytes from 143.54.12.186: icmp_seq=48 ttl=64 time=0.624 ms
64 bytes from 143.54.12.186: icmp_seq=49 ttl=64 time=0.833 ms
64 bytes from 143.54.12.186: icmp_seq=50 ttl=64 time=0.911 ms
64 bytes from 143.54.12.186: icmp_seq=51 ttl=64 time=0.598 ms
64 bytes from 143.54.12.186: icmp_seq=52 ttl=64 time=0.899 ms
64 bytes from 143.54.12.186: icmp_seq=53 ttl=64 time=0.735 ms
64 bytes from 143.54.12.186: icmp_seq=54 ttl=64 time=0.612 ms
64 bytes from 143.54.12.186: icmp_seq=55 ttl=64 time=0.723 ms
64 bytes from 143.54.12.186: icmp_seq=56 ttl=64 time=0.653 ms
64 bytes from 143.54.12.186: icmp_seq=57 ttl=64 time=0.613 ms
64 bytes from 143.54.12.186: icmp_seq=58 ttl=64 time=0.680 ms
64 bytes from 143.54.12.186: icmp_seq=59 ttl=64 time=0.338 ms
64 bytes from 143.54.12.186: icmp_seq=60 ttl=64 time=0.470 ms
64 bytes from 143.54.12.186: icmp_seq=61 ttl=64 time=0.598 ms
64 bytes from 143.54.12.186: icmp_seq=62 ttl=64 time=0.820 ms
64 bytes from 143.54.12.186: icmp_seq=63 ttl=64 time=0.694 ms
64 bytes from 143.54.12.186: icmp_seq=64 ttl=64 time=0.420 ms
64 bytes from 143.54.12.186: icmp_seq=65 ttl=64 time=0.532 ms
64 bytes from 143.54.12.186: icmp_seq=66 ttl=64 time=0.601 ms
64 bytes from 143.54.12.186: icmp_seq=67 ttl=64 time=0.668 ms
64 bytes from 143.54.12.186: icmp_seq=68 ttl=64 time=0.675 ms
64 bytes from 143.54.12.186: icmp_seq=69 ttl=64 time=0.511 ms
64 bytes from 143.54.12.186: icmp_seq=70 ttl=64 time=0.475 ms
64 bytes from 143.54.12.186: icmp_seq=71 ttl=64 time=0.780 ms
64 bytes from 143.54.12.186: icmp_seq=72 ttl=64 time=0.859 ms
64 bytes from 143.54.12.186: icmp_seq=73 ttl=64 time=0.516 ms
64 bytes from 143.54.12.186: icmp_seq=74 ttl=64 time=0.673 ms
64 bytes from 143.54.12.186: icmp_seq=75 ttl=64 time=0.373 ms
64 bytes from 143.54.12.186: icmp_seq=76 ttl=64 time=0.852 ms
64 bytes from 143.54.12.186: icmp_seq=77 ttl=64 time=0.662 ms
64 bytes from 143.54.12.186: icmp_seq=78 ttl=64 time=0.625 ms
64 bytes from 143.54.12.186: icmp_seq=79 ttl=64 time=0.868 ms
64 bytes from 143.54.12.186: icmp_seq=80 ttl=64 time=0.666 ms
64 bytes from 143.54.12.186: icmp_seq=81 ttl=64 time=0.317 ms
64 bytes from 143.54.12.186: icmp_seq=82 ttl=64 time=0.524 ms
64 bytes from 143.54.12.186: icmp_seq=83 ttl=64 time=0.655 ms
64 bytes from 143.54.12.186: icmp_seq=84 ttl=64 time=0.611 ms
64 bytes from 143.54.12.186: icmp_seq=85 ttl=64 time=0.712 ms
64 bytes from 143.54.12.186: icmp_seq=86 ttl=64 time=0.275 ms
64 bytes from 143.54.12.186: icmp_seq=87 ttl=64 time=0.411 ms
64 bytes from 143.54.12.186: icmp_seq=88 ttl=64 time=0.651 ms
64 bytes from 143.54.12.186: icmp_seq=89 ttl=64 time=0.247 ms
