PING 143.54.12.186 (143.54.12.186) 56(84) bytes of data.
64 bytes from 143.54.12.186: icmp_seq=1 ttl=64 time=0.200 ms
64 bytes from 143.54.12.186: icmp_seq=2 ttl=64 time=0.665 ms
64 bytes from 143.54.12.186: icmp_seq=3 ttl=64 time=0.992 ms
64 bytes from 143.54.12.186: icmp_seq=4 ttl=64 time=0.387 ms
64 bytes from 143.54.12.186: icmp_seq=5 ttl=64 time=0.402 ms
64 bytes from 143.54.12.186: icmp_seq=6 ttl=64 time=0.204 ms
64 bytes from 143.54.12.186: icmp_seq=7 ttl=64 time=0.135 ms
64 bytes from 143.54.12.186: icmp_seq=8 ttl=64 time=0.236 ms
64 bytes from 143.54.12.186: icmp_seq=9 ttl=64 time=0.163 ms
64 bytes from 143.54.12.186: icmp_seq=10 ttl=64 time=0.186 ms
64 bytes from 143.54.12.186: icmp_seq=11 ttl=64 time=0.282 ms
64 bytes from 143.54.12.186: icmp_seq=12 ttl=64 time=0.198 ms
64 bytes from 143.54.12.186: icmp_seq=13 ttl=64 time=0.257 ms
64 bytes from 143.54.12.186: icmp_seq=14 ttl=64 time=0.190 ms
64 bytes from 143.54.12.186: icmp_seq=15 ttl=64 time=0.235 ms
64 bytes from 143.54.12.186: icmp_seq=16 ttl=64 time=0.273 ms
64 bytes from 143.54.12.186: icmp_seq=17 ttl=64 time=0.345 ms
64 bytes from 143.54.12.186: icmp_seq=18 ttl=64 time=0.601 ms
64 bytes from 143.54.12.186: icmp_seq=19 ttl=64 time=0.948 ms
64 bytes from 143.54.12.186: icmp_seq=20 ttl=64 time=0.232 ms
64 bytes from 143.54.12.186: icmp_seq=21 ttl=64 time=0.213 ms
64 bytes from 143.54.12.186: icmp_seq=22 ttl=64 time=0.429 ms
64 bytes from 143.54.12.186: icmp_seq=23 ttl=64 time=0.191 ms
64 bytes from 143.54.12.186: icmp_seq=24 ttl=64 time=0.206 ms
64 bytes from 143.54.12.186: icmp_seq=25 ttl=64 time=0.391 ms
64 bytes from 143.54.12.186: icmp_seq=26 ttl=64 time=0.188 ms
64 bytes from 143.54.12.186: icmp_seq=27 ttl=64 time=0.249 ms
64 bytes from 143.54.12.186: icmp_seq=28 ttl=64 time=0.243 ms
64 bytes from 143.54.12.186: icmp_seq=29 ttl=64 time=0.170 ms
64 bytes from 143.54.12.186: icmp_seq=30 ttl=64 time=0.173 ms
64 bytes from 143.54.12.186: icmp_seq=31 ttl=64 time=0.368 ms
64 bytes from 143.54.12.186: icmp_seq=32 ttl=64 time=0.344 ms
64 bytes from 143.54.12.186: icmp_seq=33 ttl=64 time=0.199 ms
64 bytes from 143.54.12.186: icmp_seq=34 ttl=64 time=2.01 ms
64 bytes from 143.54.12.186: icmp_seq=35 ttl=64 time=0.212 ms
64 bytes from 143.54.12.186: icmp_seq=36 ttl=64 time=0.728 ms
64 bytes from 143.54.12.186: icmp_seq=37 ttl=64 time=0.258 ms
64 bytes from 143.54.12.186: icmp_seq=38 ttl=64 time=0.154 ms
64 bytes from 143.54.12.186: icmp_seq=39 ttl=64 time=0.209 ms
64 bytes from 143.54.12.186: icmp_seq=40 ttl=64 time=0.176 ms
64 bytes from 143.54.12.186: icmp_seq=41 ttl=64 time=0.192 ms
64 bytes from 143.54.12.186: icmp_seq=42 ttl=64 time=0.960 ms
64 bytes from 143.54.12.186: icmp_seq=43 ttl=64 time=0.191 ms
64 bytes from 143.54.12.186: icmp_seq=44 ttl=64 time=0.262 ms
64 bytes from 143.54.12.186: icmp_seq=45 ttl=64 time=0.224 ms
64 bytes from 143.54.12.186: icmp_seq=46 ttl=64 time=0.376 ms
64 bytes from 143.54.12.186: icmp_seq=47 ttl=64 time=0.457 ms
64 bytes from 143.54.12.186: icmp_seq=48 ttl=64 time=0.250 ms
64 bytes from 143.54.12.186: icmp_seq=49 ttl=64 time=0.277 ms
64 bytes from 143.54.12.186: icmp_seq=50 ttl=64 time=0.217 ms
64 bytes from 143.54.12.186: icmp_seq=51 ttl=64 time=0.199 ms
64 bytes from 143.54.12.186: icmp_seq=52 ttl=64 time=0.485 ms
64 bytes from 143.54.12.186: icmp_seq=53 ttl=64 time=0.182 ms
64 bytes from 143.54.12.186: icmp_seq=54 ttl=64 time=0.190 ms
64 bytes from 143.54.12.186: icmp_seq=55 ttl=64 time=0.533 ms
64 bytes from 143.54.12.186: icmp_seq=56 ttl=64 time=0.502 ms
64 bytes from 143.54.12.186: icmp_seq=57 ttl=64 time=0.374 ms
64 bytes from 143.54.12.186: icmp_seq=58 ttl=64 time=0.191 ms
64 bytes from 143.54.12.186: icmp_seq=59 ttl=64 time=0.463 ms
64 bytes from 143.54.12.186: icmp_seq=60 ttl=64 time=0.928 ms
64 bytes from 143.54.12.186: icmp_seq=61 ttl=64 time=0.169 ms
64 bytes from 143.54.12.186: icmp_seq=62 ttl=64 time=0.189 ms
64 bytes from 143.54.12.186: icmp_seq=63 ttl=64 time=0.429 ms
64 bytes from 143.54.12.186: icmp_seq=64 ttl=64 time=0.806 ms
64 bytes from 143.54.12.186: icmp_seq=65 ttl=64 time=0.643 ms
64 bytes from 143.54.12.186: icmp_seq=66 ttl=64 time=0.186 ms
64 bytes from 143.54.12.186: icmp_seq=67 ttl=64 time=0.229 ms
64 bytes from 143.54.12.186: icmp_seq=68 ttl=64 time=0.543 ms
64 bytes from 143.54.12.186: icmp_seq=69 ttl=64 time=0.476 ms
64 bytes from 143.54.12.186: icmp_seq=70 ttl=64 time=0.194 ms
64 bytes from 143.54.12.186: icmp_seq=71 ttl=64 time=0.236 ms
64 bytes from 143.54.12.186: icmp_seq=72 ttl=64 time=1.29 ms
64 bytes from 143.54.12.186: icmp_seq=73 ttl=64 time=0.243 ms
64 bytes from 143.54.12.186: icmp_seq=74 ttl=64 time=0.468 ms
64 bytes from 143.54.12.186: icmp_seq=75 ttl=64 time=0.202 ms
64 bytes from 143.54.12.186: icmp_seq=76 ttl=64 time=0.282 ms
64 bytes from 143.54.12.186: icmp_seq=77 ttl=64 time=0.550 ms
64 bytes from 143.54.12.186: icmp_seq=78 ttl=64 time=0.340 ms
64 bytes from 143.54.12.186: icmp_seq=79 ttl=64 time=0.188 ms
64 bytes from 143.54.12.186: icmp_seq=80 ttl=64 time=0.201 ms
64 bytes from 143.54.12.186: icmp_seq=81 ttl=64 time=3.28 ms
64 bytes from 143.54.12.186: icmp_seq=82 ttl=64 time=0.350 ms
64 bytes from 143.54.12.186: icmp_seq=83 ttl=64 time=0.428 ms
64 bytes from 143.54.12.186: icmp_seq=84 ttl=64 time=0.257 ms
64 bytes from 143.54.12.186: icmp_seq=85 ttl=64 time=0.214 ms
64 bytes from 143.54.12.186: icmp_seq=86 ttl=64 time=0.246 ms
64 bytes from 143.54.12.186: icmp_seq=87 ttl=64 time=0.205 ms
64 bytes from 143.54.12.186: icmp_seq=88 ttl=64 time=0.264 ms
64 bytes from 143.54.12.186: icmp_seq=89 ttl=64 time=0.199 ms
64 bytes from 143.54.12.186: icmp_seq=90 ttl=64 time=0.307 ms
64 bytes from 143.54.12.186: icmp_seq=91 ttl=64 time=0.202 ms
64 bytes from 143.54.12.186: icmp_seq=92 ttl=64 time=0.213 ms
64 bytes from 143.54.12.186: icmp_seq=93 ttl=64 time=0.365 ms
64 bytes from 143.54.12.186: icmp_seq=94 ttl=64 time=0.203 ms
64 bytes from 143.54.12.186: icmp_seq=95 ttl=64 time=2.11 ms
64 bytes from 143.54.12.186: icmp_seq=96 ttl=64 time=0.197 ms
64 bytes from 143.54.12.186: icmp_seq=97 ttl=64 time=0.397 ms
64 bytes from 143.54.12.186: icmp_seq=98 ttl=64 time=0.180 ms
64 bytes from 143.54.12.186: icmp_seq=99 ttl=64 time=0.264 ms
64 bytes from 143.54.12.186: icmp_seq=100 ttl=64 time=0.402 ms
64 bytes from 143.54.12.186: icmp_seq=101 ttl=64 time=0.553 ms
64 bytes from 143.54.12.186: icmp_seq=102 ttl=64 time=0.250 ms
64 bytes from 143.54.12.186: icmp_seq=103 ttl=64 time=0.366 ms
64 bytes from 143.54.12.186: icmp_seq=104 ttl=64 time=0.201 ms
64 bytes from 143.54.12.186: icmp_seq=105 ttl=64 time=0.276 ms
64 bytes from 143.54.12.186: icmp_seq=106 ttl=64 time=0.202 ms
64 bytes from 143.54.12.186: icmp_seq=107 ttl=64 time=0.246 ms
64 bytes from 143.54.12.186: icmp_seq=108 ttl=64 time=0.231 ms
64 bytes from 143.54.12.186: icmp_seq=109 ttl=64 time=0.198 ms
64 bytes from 143.54.12.186: icmp_seq=110 ttl=64 time=0.201 ms
64 bytes from 143.54.12.186: icmp_seq=111 ttl=64 time=0.191 ms
64 bytes from 143.54.12.186: icmp_seq=112 ttl=64 time=0.162 ms
64 bytes from 143.54.12.186: icmp_seq=113 ttl=64 time=0.194 ms
64 bytes from 143.54.12.186: icmp_seq=114 ttl=64 time=0.200 ms
64 bytes from 143.54.12.186: icmp_seq=115 ttl=64 time=0.180 ms
