PING 143.54.12.55 (143.54.12.55) 56(84) bytes of data.
64 bytes from 143.54.12.55: icmp_seq=1 ttl=64 time=11.3 ms
64 bytes from 143.54.12.55: icmp_seq=2 ttl=64 time=11.0 ms
64 bytes from 143.54.12.55: icmp_seq=3 ttl=64 time=2.32 ms
64 bytes from 143.54.12.55: icmp_seq=4 ttl=64 time=14.3 ms
64 bytes from 143.54.12.55: icmp_seq=5 ttl=64 time=12.0 ms
64 bytes from 143.54.12.55: icmp_seq=6 ttl=64 time=13.7 ms
64 bytes from 143.54.12.55: icmp_seq=7 ttl=64 time=6.85 ms
64 bytes from 143.54.12.55: icmp_seq=8 ttl=64 time=14.5 ms
64 bytes from 143.54.12.55: icmp_seq=9 ttl=64 time=0.642 ms
64 bytes from 143.54.12.55: icmp_seq=10 ttl=64 time=14.3 ms
64 bytes from 143.54.12.55: icmp_seq=11 ttl=64 time=11.7 ms
64 bytes from 143.54.12.55: icmp_seq=12 ttl=64 time=22.2 ms
64 bytes from 143.54.12.55: icmp_seq=13 ttl=64 time=11.8 ms
64 bytes from 143.54.12.55: icmp_seq=14 ttl=64 time=7.14 ms
64 bytes from 143.54.12.55: icmp_seq=15 ttl=64 time=4.01 ms
64 bytes from 143.54.12.55: icmp_seq=16 ttl=64 time=3.07 ms
64 bytes from 143.54.12.55: icmp_seq=17 ttl=64 time=3.19 ms
64 bytes from 143.54.12.55: icmp_seq=18 ttl=64 time=13.1 ms
64 bytes from 143.54.12.55: icmp_seq=19 ttl=64 time=5.91 ms
64 bytes from 143.54.12.55: icmp_seq=20 ttl=64 time=3.38 ms
64 bytes from 143.54.12.55: icmp_seq=21 ttl=64 time=8.98 ms
64 bytes from 143.54.12.55: icmp_seq=22 ttl=64 time=10.5 ms
64 bytes from 143.54.12.55: icmp_seq=23 ttl=64 time=9.16 ms
64 bytes from 143.54.12.55: icmp_seq=24 ttl=64 time=13.8 ms
64 bytes from 143.54.12.55: icmp_seq=25 ttl=64 time=4.20 ms
64 bytes from 143.54.12.55: icmp_seq=26 ttl=64 time=6.35 ms
64 bytes from 143.54.12.55: icmp_seq=27 ttl=64 time=17.4 ms
