PING 143.54.12.55 (143.54.12.55) 56(84) bytes of data.
64 bytes from 143.54.12.55: icmp_seq=1 ttl=64 time=0.549 ms
64 bytes from 143.54.12.55: icmp_seq=2 ttl=64 time=0.368 ms
64 bytes from 143.54.12.55: icmp_seq=3 ttl=64 time=0.636 ms
64 bytes from 143.54.12.55: icmp_seq=4 ttl=64 time=0.403 ms
64 bytes from 143.54.12.55: icmp_seq=5 ttl=64 time=0.241 ms
64 bytes from 143.54.12.55: icmp_seq=6 ttl=64 time=0.423 ms
64 bytes from 143.54.12.55: icmp_seq=7 ttl=64 time=0.692 ms
64 bytes from 143.54.12.55: icmp_seq=8 ttl=64 time=0.382 ms
64 bytes from 143.54.12.55: icmp_seq=9 ttl=64 time=0.500 ms
64 bytes from 143.54.12.55: icmp_seq=10 ttl=64 time=0.677 ms
64 bytes from 143.54.12.55: icmp_seq=11 ttl=64 time=0.354 ms
64 bytes from 143.54.12.55: icmp_seq=12 ttl=64 time=0.396 ms
64 bytes from 143.54.12.55: icmp_seq=13 ttl=64 time=0.508 ms
64 bytes from 143.54.12.55: icmp_seq=14 ttl=64 time=0.507 ms
64 bytes from 143.54.12.55: icmp_seq=15 ttl=64 time=0.354 ms
64 bytes from 143.54.12.55: icmp_seq=16 ttl=64 time=0.238 ms
64 bytes from 143.54.12.55: icmp_seq=17 ttl=64 time=0.587 ms
64 bytes from 143.54.12.55: icmp_seq=18 ttl=64 time=0.582 ms
64 bytes from 143.54.12.55: icmp_seq=19 ttl=64 time=0.387 ms
64 bytes from 143.54.12.55: icmp_seq=20 ttl=64 time=0.468 ms
64 bytes from 143.54.12.55: icmp_seq=21 ttl=64 time=0.238 ms
64 bytes from 143.54.12.55: icmp_seq=22 ttl=64 time=0.611 ms
64 bytes from 143.54.12.55: icmp_seq=23 ttl=64 time=0.381 ms
64 bytes from 143.54.12.55: icmp_seq=24 ttl=64 time=0.259 ms
64 bytes from 143.54.12.55: icmp_seq=25 ttl=64 time=0.423 ms
64 bytes from 143.54.12.55: icmp_seq=26 ttl=64 time=0.374 ms
64 bytes from 143.54.12.55: icmp_seq=27 ttl=64 time=0.273 ms
64 bytes from 143.54.12.55: icmp_seq=28 ttl=64 time=0.407 ms
64 bytes from 143.54.12.55: icmp_seq=29 ttl=64 time=0.375 ms
64 bytes from 143.54.12.55: icmp_seq=30 ttl=64 time=0.215 ms
64 bytes from 143.54.12.55: icmp_seq=31 ttl=64 time=0.238 ms
64 bytes from 143.54.12.55: icmp_seq=32 ttl=64 time=0.327 ms
64 bytes from 143.54.12.55: icmp_seq=33 ttl=64 time=0.539 ms
64 bytes from 143.54.12.55: icmp_seq=34 ttl=64 time=0.442 ms
64 bytes from 143.54.12.55: icmp_seq=35 ttl=64 time=0.501 ms
64 bytes from 143.54.12.55: icmp_seq=36 ttl=64 time=0.427 ms
64 bytes from 143.54.12.55: icmp_seq=37 ttl=64 time=0.589 ms
64 bytes from 143.54.12.55: icmp_seq=38 ttl=64 time=0.522 ms
64 bytes from 143.54.12.55: icmp_seq=39 ttl=64 time=0.516 ms
64 bytes from 143.54.12.55: icmp_seq=40 ttl=64 time=0.498 ms
64 bytes from 143.54.12.55: icmp_seq=41 ttl=64 time=0.431 ms
64 bytes from 143.54.12.55: icmp_seq=42 ttl=64 time=0.620 ms
64 bytes from 143.54.12.55: icmp_seq=43 ttl=64 time=0.514 ms
64 bytes from 143.54.12.55: icmp_seq=44 ttl=64 time=0.529 ms
64 bytes from 143.54.12.55: icmp_seq=45 ttl=64 time=0.410 ms
64 bytes from 143.54.12.55: icmp_seq=46 ttl=64 time=0.356 ms
64 bytes from 143.54.12.55: icmp_seq=47 ttl=64 time=0.371 ms
64 bytes from 143.54.12.55: icmp_seq=48 ttl=64 time=0.338 ms
64 bytes from 143.54.12.55: icmp_seq=49 ttl=64 time=0.479 ms
64 bytes from 143.54.12.55: icmp_seq=50 ttl=64 time=0.650 ms
64 bytes from 143.54.12.55: icmp_seq=51 ttl=64 time=0.255 ms
64 bytes from 143.54.12.55: icmp_seq=52 ttl=64 time=0.354 ms
64 bytes from 143.54.12.55: icmp_seq=53 ttl=64 time=0.438 ms
64 bytes from 143.54.12.55: icmp_seq=54 ttl=64 time=0.489 ms
64 bytes from 143.54.12.55: icmp_seq=55 ttl=64 time=0.576 ms
