PING 143.54.12.72 (143.54.12.72) 56(84) bytes of data.
64 bytes from 143.54.12.72: icmp_seq=1 ttl=64 time=0.350 ms
64 bytes from 143.54.12.72: icmp_seq=2 ttl=64 time=0.542 ms
64 bytes from 143.54.12.72: icmp_seq=3 ttl=64 time=1.11 ms
64 bytes from 143.54.12.72: icmp_seq=4 ttl=64 time=0.285 ms
64 bytes from 143.54.12.72: icmp_seq=5 ttl=64 time=0.302 ms
64 bytes from 143.54.12.72: icmp_seq=6 ttl=64 time=0.510 ms
64 bytes from 143.54.12.72: icmp_seq=7 ttl=64 time=1.08 ms
64 bytes from 143.54.12.72: icmp_seq=8 ttl=64 time=0.252 ms
64 bytes from 143.54.12.72: icmp_seq=9 ttl=64 time=0.644 ms
64 bytes from 143.54.12.72: icmp_seq=10 ttl=64 time=0.393 ms
64 bytes from 143.54.12.72: icmp_seq=11 ttl=64 time=3.01 ms
64 bytes from 143.54.12.72: icmp_seq=12 ttl=64 time=0.295 ms
64 bytes from 143.54.12.72: icmp_seq=13 ttl=64 time=3.83 ms
64 bytes from 143.54.12.72: icmp_seq=14 ttl=64 time=0.427 ms
64 bytes from 143.54.12.72: icmp_seq=15 ttl=64 time=2.39 ms
64 bytes from 143.54.12.72: icmp_seq=16 ttl=64 time=2.84 ms
64 bytes from 143.54.12.72: icmp_seq=17 ttl=64 time=2.12 ms
64 bytes from 143.54.12.72: icmp_seq=18 ttl=64 time=3.56 ms
64 bytes from 143.54.12.72: icmp_seq=19 ttl=64 time=1.08 ms
64 bytes from 143.54.12.72: icmp_seq=20 ttl=64 time=4.76 ms
64 bytes from 143.54.12.72: icmp_seq=22 ttl=64 time=2.81 ms
64 bytes from 143.54.12.72: icmp_seq=23 ttl=64 time=0.614 ms
64 bytes from 143.54.12.72: icmp_seq=24 ttl=64 time=2.40 ms
64 bytes from 143.54.12.72: icmp_seq=25 ttl=64 time=6.38 ms
64 bytes from 143.54.12.72: icmp_seq=26 ttl=64 time=8.25 ms
64 bytes from 143.54.12.72: icmp_seq=27 ttl=64 time=6.02 ms
64 bytes from 143.54.12.72: icmp_seq=28 ttl=64 time=4.03 ms
64 bytes from 143.54.12.72: icmp_seq=29 ttl=64 time=4.62 ms
64 bytes from 143.54.12.72: icmp_seq=31 ttl=64 time=4.61 ms
64 bytes from 143.54.12.72: icmp_seq=32 ttl=64 time=2.65 ms
64 bytes from 143.54.12.72: icmp_seq=33 ttl=64 time=3.56 ms
64 bytes from 143.54.12.72: icmp_seq=34 ttl=64 time=4.95 ms
64 bytes from 143.54.12.72: icmp_seq=35 ttl=64 time=4.59 ms
64 bytes from 143.54.12.72: icmp_seq=36 ttl=64 time=3.79 ms
64 bytes from 143.54.12.72: icmp_seq=37 ttl=64 time=4.53 ms
64 bytes from 143.54.12.72: icmp_seq=38 ttl=64 time=4.65 ms
64 bytes from 143.54.12.72: icmp_seq=39 ttl=64 time=3.10 ms
64 bytes from 143.54.12.72: icmp_seq=40 ttl=64 time=3.17 ms
64 bytes from 143.54.12.72: icmp_seq=41 ttl=64 time=6.05 ms
64 bytes from 143.54.12.72: icmp_seq=42 ttl=64 time=3.20 ms
64 bytes from 143.54.12.72: icmp_seq=43 ttl=64 time=3.53 ms
64 bytes from 143.54.12.72: icmp_seq=44 ttl=64 time=3.83 ms
64 bytes from 143.54.12.72: icmp_seq=45 ttl=64 time=5.34 ms
64 bytes from 143.54.12.72: icmp_seq=46 ttl=64 time=0.475 ms
64 bytes from 143.54.12.72: icmp_seq=47 ttl=64 time=5.10 ms
64 bytes from 143.54.12.72: icmp_seq=49 ttl=64 time=7.01 ms
64 bytes from 143.54.12.72: icmp_seq=50 ttl=64 time=2.59 ms
64 bytes from 143.54.12.72: icmp_seq=51 ttl=64 time=4.87 ms
64 bytes from 143.54.12.72: icmp_seq=52 ttl=64 time=11.9 ms
64 bytes from 143.54.12.72: icmp_seq=53 ttl=64 time=3.02 ms
64 bytes from 143.54.12.72: icmp_seq=54 ttl=64 time=4.01 ms
64 bytes from 143.54.12.72: icmp_seq=55 ttl=64 time=5.51 ms
64 bytes from 143.54.12.72: icmp_seq=56 ttl=64 time=1.97 ms
64 bytes from 143.54.12.72: icmp_seq=57 ttl=64 time=2.93 ms
64 bytes from 143.54.12.72: icmp_seq=58 ttl=64 time=0.898 ms
64 bytes from 143.54.12.72: icmp_seq=60 ttl=64 time=4.36 ms
64 bytes from 143.54.12.72: icmp_seq=61 ttl=64 time=3.28 ms
64 bytes from 143.54.12.72: icmp_seq=62 ttl=64 time=3.72 ms
64 bytes from 143.54.12.72: icmp_seq=63 ttl=64 time=5.43 ms
64 bytes from 143.54.12.72: icmp_seq=65 ttl=64 time=5.43 ms
64 bytes from 143.54.12.72: icmp_seq=66 ttl=64 time=5.53 ms
64 bytes from 143.54.12.72: icmp_seq=67 ttl=64 time=4.65 ms
64 bytes from 143.54.12.72: icmp_seq=68 ttl=64 time=1.07 ms
64 bytes from 143.54.12.72: icmp_seq=69 ttl=64 time=5.28 ms
64 bytes from 143.54.12.72: icmp_seq=70 ttl=64 time=4.40 ms
64 bytes from 143.54.12.72: icmp_seq=71 ttl=64 time=8.06 ms
64 bytes from 143.54.12.72: icmp_seq=72 ttl=64 time=12.2 ms
64 bytes from 143.54.12.72: icmp_seq=73 ttl=64 time=4.41 ms
64 bytes from 143.54.12.72: icmp_seq=74 ttl=64 time=5.69 ms
64 bytes from 143.54.12.72: icmp_seq=75 ttl=64 time=4.21 ms
64 bytes from 143.54.12.72: icmp_seq=76 ttl=64 time=2.62 ms
64 bytes from 143.54.12.72: icmp_seq=77 ttl=64 time=5.07 ms
64 bytes from 143.54.12.72: icmp_seq=78 ttl=64 time=4.32 ms
64 bytes from 143.54.12.72: icmp_seq=79 ttl=64 time=6.20 ms
64 bytes from 143.54.12.72: icmp_seq=80 ttl=64 time=3.50 ms
64 bytes from 143.54.12.72: icmp_seq=81 ttl=64 time=5.56 ms
64 bytes from 143.54.12.72: icmp_seq=82 ttl=64 time=4.72 ms
64 bytes from 143.54.12.72: icmp_seq=83 ttl=64 time=4.32 ms
64 bytes from 143.54.12.72: icmp_seq=84 ttl=64 time=5.30 ms
64 bytes from 143.54.12.72: icmp_seq=85 ttl=64 time=5.86 ms
64 bytes from 143.54.12.72: icmp_seq=86 ttl=64 time=3.87 ms
64 bytes from 143.54.12.72: icmp_seq=87 ttl=64 time=5.36 ms
64 bytes from 143.54.12.72: icmp_seq=88 ttl=64 time=5.40 ms
64 bytes from 143.54.12.72: icmp_seq=89 ttl=64 time=3.38 ms
64 bytes from 143.54.12.72: icmp_seq=90 ttl=64 time=3.42 ms
64 bytes from 143.54.12.72: icmp_seq=91 ttl=64 time=4.22 ms
64 bytes from 143.54.12.72: icmp_seq=93 ttl=64 time=4.86 ms
64 bytes from 143.54.12.72: icmp_seq=94 ttl=64 time=6.00 ms
64 bytes from 143.54.12.72: icmp_seq=95 ttl=64 time=7.97 ms
64 bytes from 143.54.12.72: icmp_seq=96 ttl=64 time=3.60 ms
64 bytes from 143.54.12.72: icmp_seq=97 ttl=64 time=12.5 ms
64 bytes from 143.54.12.72: icmp_seq=98 ttl=64 time=4.07 ms
64 bytes from 143.54.12.72: icmp_seq=99 ttl=64 time=5.19 ms
64 bytes from 143.54.12.72: icmp_seq=100 ttl=64 time=3.17 ms
64 bytes from 143.54.12.72: icmp_seq=101 ttl=64 time=5.54 ms
64 bytes from 143.54.12.72: icmp_seq=102 ttl=64 time=3.09 ms
64 bytes from 143.54.12.72: icmp_seq=103 ttl=64 time=0.339 ms
64 bytes from 143.54.12.72: icmp_seq=104 ttl=64 time=3.00 ms
64 bytes from 143.54.12.72: icmp_seq=105 ttl=64 time=6.26 ms
64 bytes from 143.54.12.72: icmp_seq=106 ttl=64 time=3.66 ms
64 bytes from 143.54.12.72: icmp_seq=108 ttl=64 time=2.96 ms
64 bytes from 143.54.12.72: icmp_seq=109 ttl=64 time=2.31 ms
64 bytes from 143.54.12.72: icmp_seq=110 ttl=64 time=2.85 ms
64 bytes from 143.54.12.72: icmp_seq=111 ttl=64 time=4.30 ms
64 bytes from 143.54.12.72: icmp_seq=112 ttl=64 time=6.08 ms
64 bytes from 143.54.12.72: icmp_seq=113 ttl=64 time=2.82 ms
64 bytes from 143.54.12.72: icmp_seq=114 ttl=64 time=3.89 ms
64 bytes from 143.54.12.72: icmp_seq=115 ttl=64 time=3.23 ms
64 bytes from 143.54.12.72: icmp_seq=116 ttl=64 time=5.76 ms
64 bytes from 143.54.12.72: icmp_seq=117 ttl=64 time=2.56 ms
64 bytes from 143.54.12.72: icmp_seq=118 ttl=64 time=3.83 ms
64 bytes from 143.54.12.72: icmp_seq=120 ttl=64 time=3.43 ms
64 bytes from 143.54.12.72: icmp_seq=121 ttl=64 time=5.84 ms
64 bytes from 143.54.12.72: icmp_seq=122 ttl=64 time=2.94 ms
64 bytes from 143.54.12.72: icmp_seq=123 ttl=64 time=7.12 ms
64 bytes from 143.54.12.72: icmp_seq=124 ttl=64 time=3.43 ms
64 bytes from 143.54.12.72: icmp_seq=125 ttl=64 time=3.76 ms
64 bytes from 143.54.12.72: icmp_seq=126 ttl=64 time=0.331 ms
64 bytes from 143.54.12.72: icmp_seq=127 ttl=64 time=0.711 ms
64 bytes from 143.54.12.72: icmp_seq=128 ttl=64 time=0.873 ms
64 bytes from 143.54.12.72: icmp_seq=129 ttl=64 time=0.971 ms
64 bytes from 143.54.12.72: icmp_seq=130 ttl=64 time=0.753 ms
64 bytes from 143.54.12.72: icmp_seq=131 ttl=64 time=0.608 ms
64 bytes from 143.54.12.72: icmp_seq=132 ttl=64 time=1.24 ms
64 bytes from 143.54.12.72: icmp_seq=133 ttl=64 time=0.604 ms
64 bytes from 143.54.12.72: icmp_seq=134 ttl=64 time=0.825 ms
64 bytes from 143.54.12.72: icmp_seq=135 ttl=64 time=0.909 ms
64 bytes from 143.54.12.72: icmp_seq=136 ttl=64 time=0.673 ms
64 bytes from 143.54.12.72: icmp_seq=137 ttl=64 time=0.729 ms
64 bytes from 143.54.12.72: icmp_seq=138 ttl=64 time=0.368 ms
64 bytes from 143.54.12.72: icmp_seq=139 ttl=64 time=0.715 ms
64 bytes from 143.54.12.72: icmp_seq=140 ttl=64 time=0.696 ms

--- 143.54.12.72 ping statistics ---
140 packets transmitted, 132 received, 5% packet loss, time 139158ms
rtt min/avg/max/mdev = 0.252/3.601/12.501/2.372 ms
