PING 143.54.12.72 (143.54.12.72) 56(84) bytes of data.
64 bytes from 143.54.12.72: icmp_seq=1 ttl=64 time=0.377 ms
64 bytes from 143.54.12.72: icmp_seq=2 ttl=64 time=0.482 ms
64 bytes from 143.54.12.72: icmp_seq=3 ttl=64 time=0.560 ms
64 bytes from 143.54.12.72: icmp_seq=4 ttl=64 time=0.841 ms
64 bytes from 143.54.12.72: icmp_seq=5 ttl=64 time=0.340 ms
64 bytes from 143.54.12.72: icmp_seq=6 ttl=64 time=0.317 ms
64 bytes from 143.54.12.72: icmp_seq=7 ttl=64 time=0.185 ms
64 bytes from 143.54.12.72: icmp_seq=8 ttl=64 time=0.265 ms
64 bytes from 143.54.12.72: icmp_seq=9 ttl=64 time=0.151 ms
64 bytes from 143.54.12.72: icmp_seq=10 ttl=64 time=0.178 ms
64 bytes from 143.54.12.72: icmp_seq=11 ttl=64 time=0.142 ms
64 bytes from 143.54.12.72: icmp_seq=12 ttl=64 time=0.158 ms
64 bytes from 143.54.12.72: icmp_seq=13 ttl=64 time=0.305 ms
64 bytes from 143.54.12.72: icmp_seq=14 ttl=64 time=0.139 ms
64 bytes from 143.54.12.72: icmp_seq=15 ttl=64 time=0.189 ms
64 bytes from 143.54.12.72: icmp_seq=16 ttl=64 time=0.145 ms
64 bytes from 143.54.12.72: icmp_seq=17 ttl=64 time=0.322 ms
64 bytes from 143.54.12.72: icmp_seq=18 ttl=64 time=0.120 ms
64 bytes from 143.54.12.72: icmp_seq=19 ttl=64 time=0.156 ms
64 bytes from 143.54.12.72: icmp_seq=20 ttl=64 time=0.128 ms
64 bytes from 143.54.12.72: icmp_seq=21 ttl=64 time=0.169 ms
64 bytes from 143.54.12.72: icmp_seq=22 ttl=64 time=0.145 ms
64 bytes from 143.54.12.72: icmp_seq=23 ttl=64 time=0.133 ms
64 bytes from 143.54.12.72: icmp_seq=24 ttl=64 time=0.134 ms
64 bytes from 143.54.12.72: icmp_seq=25 ttl=64 time=0.124 ms
64 bytes from 143.54.12.72: icmp_seq=26 ttl=64 time=0.119 ms
64 bytes from 143.54.12.72: icmp_seq=27 ttl=64 time=0.116 ms
64 bytes from 143.54.12.72: icmp_seq=28 ttl=64 time=2.34 ms
64 bytes from 143.54.12.72: icmp_seq=29 ttl=64 time=1.91 ms
64 bytes from 143.54.12.72: icmp_seq=30 ttl=64 time=94.6 ms
64 bytes from 143.54.12.72: icmp_seq=31 ttl=64 time=0.125 ms
64 bytes from 143.54.12.72: icmp_seq=32 ttl=64 time=4.09 ms
64 bytes from 143.54.12.72: icmp_seq=33 ttl=64 time=2.51 ms
64 bytes from 143.54.12.72: icmp_seq=34 ttl=64 time=1.35 ms
64 bytes from 143.54.12.72: icmp_seq=35 ttl=64 time=16.7 ms
64 bytes from 143.54.12.72: icmp_seq=36 ttl=64 time=4.86 ms
64 bytes from 143.54.12.72: icmp_seq=37 ttl=64 time=0.126 ms
64 bytes from 143.54.12.72: icmp_seq=38 ttl=64 time=3.09 ms
64 bytes from 143.54.12.72: icmp_seq=39 ttl=64 time=7.33 ms
64 bytes from 143.54.12.72: icmp_seq=40 ttl=64 time=4.79 ms
64 bytes from 143.54.12.72: icmp_seq=41 ttl=64 time=2.29 ms
64 bytes from 143.54.12.72: icmp_seq=42 ttl=64 time=3.77 ms
64 bytes from 143.54.12.72: icmp_seq=43 ttl=64 time=12.1 ms
64 bytes from 143.54.12.72: icmp_seq=44 ttl=64 time=2.28 ms
64 bytes from 143.54.12.72: icmp_seq=45 ttl=64 time=10.2 ms
64 bytes from 143.54.12.72: icmp_seq=46 ttl=64 time=0.148 ms
64 bytes from 143.54.12.72: icmp_seq=47 ttl=64 time=39.0 ms
64 bytes from 143.54.12.72: icmp_seq=48 ttl=64 time=0.163 ms
64 bytes from 143.54.12.72: icmp_seq=49 ttl=64 time=2.88 ms
64 bytes from 143.54.12.72: icmp_seq=50 ttl=64 time=2.58 ms
64 bytes from 143.54.12.72: icmp_seq=51 ttl=64 time=3.69 ms
64 bytes from 143.54.12.72: icmp_seq=52 ttl=64 time=22.2 ms
64 bytes from 143.54.12.72: icmp_seq=53 ttl=64 time=2.03 ms
64 bytes from 143.54.12.72: icmp_seq=54 ttl=64 time=0.113 ms
64 bytes from 143.54.12.72: icmp_seq=56 ttl=64 time=102 ms
64 bytes from 143.54.12.72: icmp_seq=57 ttl=64 time=9.25 ms
64 bytes from 143.54.12.72: icmp_seq=58 ttl=64 time=1.68 ms
64 bytes from 143.54.12.72: icmp_seq=59 ttl=64 time=4.61 ms
64 bytes from 143.54.12.72: icmp_seq=60 ttl=64 time=3.93 ms
64 bytes from 143.54.12.72: icmp_seq=61 ttl=64 time=63.3 ms
64 bytes from 143.54.12.72: icmp_seq=62 ttl=64 time=47.4 ms
64 bytes from 143.54.12.72: icmp_seq=63 ttl=64 time=12.8 ms
64 bytes from 143.54.12.72: icmp_seq=64 ttl=64 time=60.9 ms
64 bytes from 143.54.12.72: icmp_seq=65 ttl=64 time=58.1 ms
64 bytes from 143.54.12.72: icmp_seq=66 ttl=64 time=5.48 ms
64 bytes from 143.54.12.72: icmp_seq=67 ttl=64 time=57.7 ms
64 bytes from 143.54.12.72: icmp_seq=68 ttl=64 time=2.40 ms
64 bytes from 143.54.12.72: icmp_seq=69 ttl=64 time=3.89 ms
64 bytes from 143.54.12.72: icmp_seq=70 ttl=64 time=4.81 ms
64 bytes from 143.54.12.72: icmp_seq=71 ttl=64 time=0.410 ms
64 bytes from 143.54.12.72: icmp_seq=72 ttl=64 time=9.53 ms
64 bytes from 143.54.12.72: icmp_seq=73 ttl=64 time=1.99 ms
64 bytes from 143.54.12.72: icmp_seq=74 ttl=64 time=1.64 ms
64 bytes from 143.54.12.72: icmp_seq=75 ttl=64 time=7.55 ms
64 bytes from 143.54.12.72: icmp_seq=76 ttl=64 time=6.53 ms
64 bytes from 143.54.12.72: icmp_seq=77 ttl=64 time=4.43 ms
64 bytes from 143.54.12.72: icmp_seq=78 ttl=64 time=5.41 ms
