       eth0       
 KB/s in  KB/s out
    1.36      0.78
    1.93      1.30
    2.16      0.39
    1.14      0.39
    0.61      0.39
    0.95      0.39
    1.54      0.39
    0.34      0.39
    0.56      0.39
    0.51      0.73
    0.63      0.39
    1.73      0.39
    1.48      0.73
    1.87      0.39
    0.43      0.39
    0.73      0.34
    0.79      0.30
    1.81      0.30
    0.30      0.30
    1.51      0.30
    1.21      0.30
    0.21      0.30
       eth0       
 KB/s in  KB/s out
    1.79      0.30
    0.73      0.30
    0.62      0.30
    0.64      0.30
    0.21      0.30
    0.21      0.30
    0.59      0.30
    0.58      0.30
    0.54      0.63
    2.05      0.63
    1.61      0.30
    1.16      0.30
    0.66      0.30
    1.34      0.30
    0.69      0.30
    0.80      0.30
    0.26      0.34
    0.99      0.34
    0.59      0.30
    1.52      0.63
    1.26      0.63
    1.77      0.34
       eth0       
 KB/s in  KB/s out
    0.35      0.34
    0.73      0.30
    0.79      0.30
    0.99      0.30
    0.26      0.30
    2.16      0.30
    1.18      0.30
    1.01      0.63
    1.79      0.30
    1.05      0.30
    0.67      0.30
    1.07      0.63
    0.30      0.30
    1.05      0.30
    0.21      0.30
    1.01      0.30
    4.64      0.76
    3.20      0.81
    3.60      0.65
    1.42      1.02
    0.95      0.44
    1.79      0.51
       eth0       
 KB/s in  KB/s out
    0.82      0.40
    1.16      0.61
    0.66      0.44
    1.05      0.51
    0.64      0.30
    1.71      0.63
    1.03      0.30
    1.48      0.30
    0.47      0.30
    0.76      0.61
    0.85      0.82
    0.98      0.41
    0.35      0.30
    2.20      0.30
    1.13      0.30
    0.69      0.30
    1.84      0.30
    1.07      0.30
    0.78      0.30
    2.51      0.30
    1.29      0.30
    0.58      0.67
       eth0       
 KB/s in  KB/s out
    0.30      0.30
    0.88      0.30
    0.69      0.30
    1.70      0.95
    2.12      0.44
    0.70      0.37
    1.41      0.63
    0.96      0.34
    0.95      0.30
    0.26      0.30
    1.59      0.30
    0.26      0.30
    0.93      0.00
    1.00      0.63
    1.28      0.30
    1.18      0.30
    0.78      0.34
    0.35      0.30
    0.59      0.30
    1.55      0.63
    0.86      0.30
    1.47      0.30
       eth0       
 KB/s in  KB/s out
    1.47      0.30
    0.37      0.30
    2.27      0.30
    0.59      0.30
    1.10      0.63
    0.77      0.34
    0.61      0.34
    0.33      0.30
    0.86      0.30
    0.53      0.30
    0.64      0.30
    1.21      0.30
    2.13      0.34
    0.68      0.63
    1.28      0.63
    0.91      0.30
    0.90      0.30
    0.41      0.30
    1.33      0.30
    0.26      0.30
    1.45      0.30
    1.00      0.34
       eth0       
 KB/s in  KB/s out
    1.43      0.30
    1.59      0.97
    0.69      0.30
    0.47      0.30
    0.21      0.30
    1.19      0.30
    0.52      0.30
    1.73      0.30
