       eth0       
 KB/s in  KB/s out
    1.23      0.78
    1.16      0.78
    1.40      1.15
    3.42      1.22
   47.57     46.27
 8100.36   8180.86
 8613.63   8701.71
 8768.15   8860.75
 8774.90   8867.32
 8776.00   8868.95
 8744.44   8837.04
 8738.34   8829.28
 8789.78   8880.08
 8831.18   8923.30
 8794.46   8886.53
12499.45  12656.91
12736.59  12895.51
12700.84  12860.85
12716.00  12875.16
12666.69  12826.93
12494.32  12651.46
12546.21  12702.71
       eth0       
 KB/s in  KB/s out
12712.48  12872.85
12726.10  12885.28
12633.99  12791.85
17243.05  17482.86
17247.39  17488.23
17340.19  17581.74
16894.03  17130.27
17087.69  17325.19
17238.04  17478.58
17241.92  17483.85
16843.22  17080.21
17350.68  17591.43
17337.33  17579.31
18268.42  18529.36
18665.16  18930.58
19167.29  19443.58
17764.90  18012.05
17428.34  17677.49
17856.45  18106.29
17887.44  18147.22
17481.93  17728.83
17571.53  17821.16
       eth0       
 KB/s in  KB/s out
18256.84  18518.85
18260.78  18521.06
18133.64  18393.46
17940.37  18196.72
17914.05  18165.72
18051.34  18307.16
17759.87  18013.93
18362.79  18623.14
18567.80  18834.52
18375.50  18636.14
18302.74  18560.36
17885.46  18140.09
18183.44  18438.35
18029.21  18288.36
17656.68  17903.94
18659.40  18928.08
18031.04  18287.22
17586.65  17834.98
17777.60  18026.95
18614.78  18875.26
17953.88  18204.62
17538.14  17786.15
       eth0       
 KB/s in  KB/s out
17483.59  17727.14
17860.43  18111.48
17843.61  18099.25
17956.92  18215.59
17439.20  17685.41
17151.03  17392.72
18031.71  18284.97
    0.00      0.00
16316.87  16546.50
16994.45  17232.06
17599.48  17847.87
16863.59  17100.56
15791.64  16007.65
17698.17  17948.73
17577.32  17822.72
17274.12  17512.05
18125.27  18380.32
17781.91  18033.58
16818.95  17054.23
18287.04  18547.46
17999.19  18254.19
17562.92  17809.20
       eth0       
 KB/s in  KB/s out
16101.70  16324.18
18177.97  18436.52
18452.52  18713.96
17230.26  17471.43
17710.16  17960.20
17433.71  17676.11
17648.29  17894.71
17660.86  17910.07
17392.90  17638.87
18019.84  18272.37
17580.41  17832.58
17994.05  18254.31
17135.45  17376.67
16259.26  16484.73
17111.36  17350.43
18455.05  18714.82
18074.31  18331.16
16486.70  16719.01
17470.83  17719.09
17584.01  17831.70
17548.24  17790.18
17211.27  17456.44
       eth0       
 KB/s in  KB/s out
17528.78  17775.89
16823.53  17061.30
15702.99  15916.72
12649.57  12808.76
11196.83  11328.81
 8773.36   8865.75
 8717.64   8809.29
 8809.30   8902.32
 8787.20   8879.58
 8810.67   8903.44
 8778.85   8871.16
 8825.20   8917.47
 8730.59   8821.29
 8819.56   8910.11
 3499.32   3537.87
   12.93     12.28
   10.58      9.67
    0.98      0.53
    1.04      0.54
    2.40      0.70
    0.86      0.65
    2.77      0.59
       eth0       
 KB/s in  KB/s out
    2.90      0.82
    2.28      0.82
    0.92      0.53
    1.82      0.54
    1.10      0.70
    1.00      0.69
    1.49      0.64
    3.07      0.49
