Linux 4.4.0-31-generic (fw-suricata) 	12/08/2017 	_i686_	(1 CPU)

06:06:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:06:06 PM  all    1.98    0.00   11.88    0.00    0.00    0.00    0.00    0.00    0.00   86.14
06:06:07 PM  all    1.02    0.00    5.10    2.04    0.00    0.00    0.00    0.00    0.00   91.84
06:06:08 PM  all    0.99    0.00    5.94    0.00    0.00    0.00    0.99    0.00    0.00   92.08
06:06:09 PM  all    1.02    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   94.90
06:06:10 PM  all    2.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
06:06:11 PM  all    1.98    0.00    1.98    0.00    0.00    0.00    0.99    0.00    0.00   95.05
06:06:12 PM  all    1.01    0.00    3.03    4.04    0.00    0.00    0.00    0.00    0.00   91.92
06:06:13 PM  all    0.99    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   95.05
06:06:14 PM  all    1.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
06:06:15 PM  all    1.98    0.00    1.98    0.00    0.00    0.00    0.99    0.00    0.00   95.05
06:06:16 PM  all    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
06:06:17 PM  all    1.00    0.00    3.00    4.00    0.00    0.00    1.00    0.00    0.00   91.00
06:06:18 PM  all    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
06:06:19 PM  all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
06:06:20 PM  all    1.00    0.00    2.00    0.00    0.00    0.00    1.00    0.00    0.00   96.00
06:06:21 PM  all    1.02    0.00    2.04    0.00    0.00    0.00    1.02    0.00    0.00   95.92
06:06:22 PM  all    2.02    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   94.95
06:06:23 PM  all    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
06:06:24 PM  all    0.99    0.00    1.98    0.00    0.00    0.99    0.99    0.00    0.00   95.05
06:06:25 PM  all    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
06:06:26 PM  all    1.01    0.00    2.02    0.00    0.00    0.00    1.01    0.00    0.00   95.96
06:06:27 PM  all    2.00    0.00    3.00   10.00    0.00    0.00    0.00    0.00    0.00   85.00
06:06:28 PM  all    0.00    0.00    4.00    0.00    0.00    0.00    1.00    0.00    0.00   95.00
06:06:29 PM  all    0.99    0.00    3.96    0.00    0.00    0.00    0.99    0.00    0.00   94.06
06:06:30 PM  all    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
06:06:31 PM  all    1.00    0.00    4.00    0.00    0.00    0.00    1.00    0.00    0.00   94.00
06:06:32 PM  all    1.01    0.00    3.03   20.20    0.00    0.00    0.00    0.00    0.00   75.76
06:06:33 PM  all    1.98    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   94.06
06:06:34 PM  all    0.00    0.00    3.96    0.00    0.00    0.00    0.99    0.00    0.00   95.05
06:06:35 PM  all    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
06:06:36 PM  all    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
06:06:37 PM  all    1.00    0.00    3.00   11.00    0.00    0.00    1.00    0.00    0.00   84.00
06:06:38 PM  all    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
06:06:39 PM  all    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
06:06:40 PM  all    1.00    0.00    3.00    0.00    0.00    0.00    1.00    0.00    0.00   95.00
06:06:41 PM  all    0.99    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   94.06
06:06:42 PM  all    1.01    0.00    2.02    4.04    0.00    0.00    0.00    0.00    0.00   92.93
06:06:43 PM  all    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
06:06:44 PM  all    1.02    0.00    2.04    0.00    0.00    0.00    1.02    0.00    0.00   95.92
06:06:45 PM  all    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
06:06:46 PM  all    1.00    0.00    3.00    0.00    0.00    0.00    1.00    0.00    0.00   95.00
06:06:47 PM  all    1.03    0.00    2.06    1.03    0.00    0.00    0.00    0.00    0.00   95.88
06:06:48 PM  all    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
06:06:49 PM  all    1.01    0.00    3.03    0.00    0.00    0.00    1.01    0.00    0.00   94.95
06:06:50 PM  all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
06:06:51 PM  all    1.00    0.00    2.00    0.00    0.00    1.00    1.00    0.00    0.00   95.00
06:06:52 PM  all    1.01    0.00    2.02    2.02    0.00    0.00    0.00    0.00    0.00   94.95
06:06:53 PM  all    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
06:06:54 PM  all    1.01    0.00    2.02    0.00    0.00    0.00    1.01    0.00    0.00   95.96
06:06:55 PM  all    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
