Linux 4.4.0-31-generic (dpi-suricata) 	12/08/2017 	_i686_	(1 CPU)

03:27:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:27:31 PM  all    1.01    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   86.87
03:27:32 PM  all    2.04    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   94.90
03:27:33 PM  all    2.97    0.00    3.96    1.98    0.00    0.00    0.00    0.00    0.00   91.09
03:27:34 PM  all    3.03    0.00    4.04    0.00    0.00    0.00    1.01    0.00    0.00   91.92
03:27:35 PM  all    3.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
03:27:36 PM  all   55.00    0.00    1.00    0.00    0.00   42.00    2.00    0.00    0.00    0.00
03:27:37 PM  all   60.00    0.00    0.00    0.00    0.00   39.00    1.00    0.00    0.00    0.00
03:27:38 PM  all   61.39    0.00    0.99    0.00    0.00   36.63    0.99    0.00    0.00    0.00
03:27:39 PM  all   59.41    0.00    0.00    0.00    0.00   39.60    0.99    0.00    0.00    0.00
03:27:40 PM  all   63.27    0.00    0.00    0.00    0.00   36.73    0.00    0.00    0.00    0.00
03:27:41 PM  all   61.39    0.00    0.99    0.00    0.00   35.64    1.98    0.00    0.00    0.00
03:27:42 PM  all   59.00    0.00    0.00    0.00    0.00   39.00    2.00    0.00    0.00    0.00
03:27:43 PM  all   54.46    0.00    0.99    0.00    0.00   41.58    2.97    0.00    0.00    0.00
03:27:44 PM  all   61.39    0.00    0.99    0.00    0.00   36.63    0.99    0.00    0.00    0.00
03:27:45 PM  all   51.00    0.00    1.00    0.00    0.00   44.00    4.00    0.00    0.00    0.00
03:27:46 PM  all   46.46    0.00    0.00    0.00    0.00   50.51    3.03    0.00    0.00    0.00
03:27:47 PM  all   44.55    0.00    0.99    0.00    0.00   52.48    1.98    0.00    0.00    0.00
03:27:48 PM  all   44.00    0.00    1.00    0.00    0.00   53.00    2.00    0.00    0.00    0.00
03:27:49 PM  all   38.61    0.00    1.98    0.00    0.00   57.43    1.98    0.00    0.00    0.00
03:27:50 PM  all   41.41    0.00    1.01    0.00    0.00   55.56    2.02    0.00    0.00    0.00
03:27:51 PM  all   41.58    0.00    0.99    0.00    0.00   55.45    1.98    0.00    0.00    0.00
03:27:52 PM  all   39.00    0.00    0.00    0.00    0.00   59.00    2.00    0.00    0.00    0.00
03:27:53 PM  all   41.41    0.00    0.00    0.00    0.00   56.57    2.02    0.00    0.00    0.00
