Linux 4.4.0-31-generic (ids-suricata) 	12/08/2017 	_i686_	(1 CPU)

02:26:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:26:57 PM  all    1.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
02:26:58 PM  all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
02:26:59 PM  all    0.99    0.00    0.99    0.00    0.00    0.00    0.99    0.00    0.00   97.03
02:27:00 PM  all    1.01    0.00    1.01    3.03    0.00    0.00    0.00    0.00    0.00   94.95
02:27:01 PM  all    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
02:27:02 PM  all    8.08    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   87.88
02:27:03 PM  all    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:27:04 PM  all    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
02:27:05 PM  all    0.00    0.00    1.00    4.00    0.00    0.00    0.00    0.00    0.00   95.00
02:27:06 PM  all    0.00    0.00    1.00    0.00    0.00    0.00    1.00    0.00    0.00   98.00
02:27:07 PM  all    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
02:27:08 PM  all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
02:27:09 PM  all    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:27:10 PM  all    1.00    0.00    1.00    3.00    0.00    0.00    0.00    0.00    0.00   95.00
02:27:11 PM  all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
02:27:12 PM  all   26.32    0.00    2.11    0.00    0.00   21.05    2.11    0.00    0.00   48.42
02:27:13 PM  all   43.96    0.00    1.10    0.00    0.00   39.56    2.20    0.00    0.00   13.19
02:27:14 PM  all   50.00    0.00    0.00    0.00    0.00   39.58    2.08    0.00    0.00    8.33
02:27:15 PM  all   49.00    0.00    2.00    2.00    0.00   40.00    2.00    0.00    0.00    5.00
02:27:16 PM  all   51.55    0.00    1.03    0.00    0.00   37.11    1.03    0.00    0.00    9.28
02:27:17 PM  all   48.39    0.00    2.15    0.00    0.00   40.86    1.08    0.00    0.00    7.53
02:27:18 PM  all   46.88    0.00    1.04    0.00    0.00   38.54    0.00    0.00    0.00   13.54
02:27:19 PM  all   48.39    0.00    1.08    0.00    0.00   33.33    2.15    0.00    0.00   15.05
