Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
   12084        0     1556   100.0%           34        307
   12003        0     1562   100.0%           34        307
   12039        0     1542   100.0%           34        307
   12033        0     1529   100.0%           34        307
   12049        0     1534   100.0%           34        307
   21297        0     1531   100.0%           34        307
   43501        0     1546   100.0%           34        307
   11571        0     1526   100.0%           34        307
   12086        0     1541   100.0%           34        307
   12061        0     1547   100.0%           34        307
   12074        0     1543   100.0%           34        307
   12056        1     1530   100.0%           34        307
   12029        0     1537   100.0%           34        307
   12092        0     1545   100.0%           34        307
   12108        0     1564   100.0%           34        307
   11885        0     1538   100.0%           34        307
   11673        2     1560   100.0%           34        307
   11631        0     1598   100.0%           34        307
   11723        0     1572   100.0%           34        307
   12122        0     1566   100.0%           34        307
   11674        0     1579   100.0%           34        307
   12090        0     1559   100.0%           34        307
   12073        0     1548   100.0%           34        307
   12118        0     1581   100.0%           34        308
   11629        0     1578   100.0%           34        308
   12077        0     1556   100.0%           34        308
   12113        0     1551   100.0%           34        308
   11617        0     1569   100.0%           34        308
   11610        0     1571   100.0%           34        308
   12025        0     1589   100.0%           34        308
   11263        0     1565   100.0%           34        308
   11706        0     1556   100.0%           34        308
   11556        0     1579   100.0%           34        308
   11648        0     1594   100.0%           34        308
   11659        0     1571   100.0%           34        308
   11562        0     1543   100.0%           34        308
   11581        2     1572   100.0%           34        308
   12168        0     1566   100.0%           34        308
   11682        0     1579   100.0%           34        308
   11622        0     1562   100.0%           34        308
   11637        0     1561   100.0%           34        308
   12187        0     1555   100.0%           34        308
   11635        0     1556   100.0%           34        308
   11599        0     1548   100.0%           34        308
   11630        0     1546   100.0%           34        309
   11599        0     1544   100.0%           34        309
   11563        1     1546   100.0%           34        309
   11633        0     1531   100.0%           34        309
   11622        0     1538   100.0%           34        309
   11563        0     1533   100.0%           34        309
   12008        0     1559   100.0%           34        309
   11694        2     1543   100.0%           34        309
   12045        0     1534   100.0%           34        309
   11618        0     1550   100.0%           34        309
   12135        0     1540   100.0%           34        309
   12044        0     1533   100.0%           34        309
   12040        0     1539   100.0%           34        309
   11583        0     1540   100.0%           34        309
   11683        0     1546   100.0%           34        309
   11541        0     1524   100.0%           34        309
   11661        0     1543   100.0%           34        309
   11634        1     1542   100.0%           34        309
   11663        0     1534   100.0%           34        309
   11600        0     1536   100.0%           34        309
   12044        0     1525   100.0%           34        309
   11608        0     1535   100.0%           34        309
   12122        0     1547   100.0%           34        309
   12083        0     1537   100.0%           34        309
   12027        0     1533   100.0%           34        309
   12073        0     1552   100.0%           34        309
   11647        2     1543   100.0%           34        309
   11679        0     1533   100.0%           34        310
   12119        0     1544   100.0%           34        310
   11513        0     1519   100.0%           34        310
   11207        0     1541   100.0%           34        310
   12039        0     1529   100.0%           34        310
   12104        0     1532   100.0%           34        310
   11675        0     1566   100.0%           34        310
   11604        0     1550   100.0%           34        310
   11277        0     1547   100.0%           34        310
   11277        2     1560   100.0%           34        310
   11568        0     1564   100.0%           34        310
   11585        0     1540   100.0%           34        310
   11616        0     1550   100.0%           34        310
   12442        0     1554   100.0%           34        310
   11759        2     1551   100.0%           34        310
   11564        0     1566   100.0%           34        310
   12063        0     1554   100.0%           34        310
   11601        0     1552   100.0%           34        310
   12041        0     1543   100.0%           34        310
   12037        0     1546   100.0%           34        310
   11589        0     1541   100.0%           34        310
   12058        0     1564   100.0%           34        310
   11562        0     1542   100.0%           34        310
   11710        0     1555   100.0%           34        310
   11651        1     1547   100.0%           34        311
   11586        0     1550   100.0%           34        311
   11593        0     1554   100.0%           34        311
   11609        0     1538   100.0%           34        311
   11769        0     1589   100.0%           34        311
   12452        0     1570   100.0%           34        311
   11637        0     1549   100.0%           34        311
   11553        0     1572   100.0%           34        311
   11643        0     1544   100.0%           34        311
   12140        0     1547   100.0%           34        311
   12116        2     1558   100.0%           34        311
   12121        0     1550   100.0%           34        311
   11604        0     1564   100.0%           34        311
   11620        0     1564   100.0%           34        311
   11578        0     1550   100.0%           34        311
   12045        0     1571   100.0%           34        311
   11616        0     1557   100.0%           34        311
   11643        0     1567   100.0%           34        311
   11675        0     1591   100.0%           34        311
   11672        0     1569   100.0%           34        311
   11590        2     1553   100.0%           34        311
   10367        0     1598   100.0%           34        311
   11584        0     1547   100.0%           34        312
   11612        0     1555   100.0%           34        312
    9210        0     1541   100.0%           34        312
   12125        2     1574   100.0%           34        312
   12124        0     1567   100.0%           34        312
   12086        0     1564   100.0%           34        312
   12123        0     1551   100.0%           34        312
   12080        0     1552   100.0%           34        312
   12040        0     1563   100.0%           34        312
   12059        0     1550   100.0%           34        312
   12155        0     1576   100.0%           34        312
   12024        0     1532   100.0%           34        312
   12086        0     1575   100.0%           34        312
   12085        2     1567   100.0%           34        312
   12140        0     1574   100.0%           34        312
   12114        0     1540   100.0%           34        312
   12021        0     1541   100.0%           34        312
   12366        0     1558   100.0%           34        312
   12125        0     1560   100.0%           34        312
   12508        0     1520   100.0%           34        312
   16034        0     3012   100.0%           34        312
    7216        0       28   100.0%           34        312

Ending tracing...
