Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
   11587        0      934   100.0%           21        132
   11542        0      916   100.0%           21        132
   11471        0      903   100.0%           21        132
   11163        0      895   100.0%           21        132
   11843        0      916   100.0%           21        132
   11498        0      909   100.0%           21        132
   11587        0      911   100.0%           21        132
   11558        0      905   100.0%           21        132
   11514        0      910   100.0%           21        132
   11541        2      907   100.0%           21        132
   11529        0      900   100.0%           21        132
   11501        0      887   100.0%           21        132
   11570        0      927   100.0%           21        132
   11467        0      896   100.0%           21        132
   11552        2      913   100.0%           21        132
   11560        0      905   100.0%           21        133
   11559        0      904   100.0%           21        133
   11657        0      907   100.0%           21        133
   11810        0      902   100.0%           21        133
   11559        0      914   100.0%           21        133
   10837        0      903   100.0%           21        133
   10475        0      892   100.0%           21        133
    9027        0      899   100.0%           21        133
   11606        0      905   100.0%           21        133
   11566        2      913   100.0%           21        133
   11174        0      898   100.0%           21        133
   11191        0      902   100.0%           21        133
   10438        0      901   100.0%           21        133
   11918        0      915   100.0%           21        133
   11237        2      906   100.0%           21        133
   10809        0      893   100.0%           21        133
    9920        0      896   100.0%           21        133
   11127        0      906   100.0%           21        133
   11565        0      908   100.0%           21        133
   11505        2      893   100.0%           21        133
   11565        0      887   100.0%           21        133
   11488        0      886   100.0%           21        133
   11483        0      887   100.0%           21        133
   11473        0      886   100.0%           21        133
   11543        2      888   100.0%           21        133
   11470        0      892   100.0%           21        133
   11542        0      899   100.0%           21        133
   12361        0     1752   100.0%           21        133
   11541        2      889   100.0%           21        133
    8666        0      878   100.0%           21        133
   10366        0      882   100.0%           21        133
    9955        0      877   100.0%           21        133
   11157        0      887   100.0%           21        133
   11575        2      892   100.0%           21        133
   11525        0      884   100.0%           21        133
   11191        0      884   100.0%           21        133
    9906        0      877   100.0%           21        133
   11114        0      887   100.0%           21        133
   11544        0      897   100.0%           21        133
   11612        0      888   100.0%           21        133
   11202        0      883   100.0%           21        133
   11548        0      887   100.0%           21        133
   11567        0      887   100.0%           21        133
   11559        2      890   100.0%           21        133
   11493        0      886   100.0%           21        133
   11638        0      891   100.0%           21        133
   11168        0      886   100.0%           21        133
   11551        0      887   100.0%           21        133
   11564        2      888   100.0%           21        133
   11490        0      895   100.0%           21        133
    8947        0      884   100.0%           21        133
   11482        0      896   100.0%           21        133
   11139        0      891   100.0%           21        134
    9063        1      888   100.0%           21        134
   11548        0      891   100.0%           21        134
   11610        0      894   100.0%           21        134
   11544        0      893   100.0%           21        134
   11537        0      891   100.0%           21        134
   11588        0      902   100.0%           21        134
   11574        0      900   100.0%           21        134
   11567        0      897   100.0%           21        134
   11205        0      894   100.0%           21        134
   10835        0      894   100.0%           21        134
   11448        2      897   100.0%           21        134
   11539        0      897   100.0%           21        134
   11544        0      896   100.0%           21        134
   11580        0      898   100.0%           21        134
   11571        0      895   100.0%           21        134
   11545        2      900   100.0%           21        134
   11499        0      896   100.0%           21        134
   11505        0      896   100.0%           21        134
   11885        0      898   100.0%           21        134
   11173        0      892   100.0%           21        134
   11469        1      903   100.0%           21        134
   11523        0      894   100.0%           21        134
   11533        0      896   100.0%           21        134
   11490        0      895   100.0%           21        134
   11517        0      901   100.0%           21        134
   11542        2      915   100.0%           21        134
   11576        0      900   100.0%           21        134
   11515        0      895   100.0%           21        134
   11465        0      895   100.0%           21        134
   11850        0      898   100.0%           21        134
   11505        2      898   100.0%           21        134
   11511        0      895   100.0%           21        134
   11586        0      896   100.0%           21        134
