Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
   11478        0      911   100.0%           61        437
   11622        0      911   100.0%           61        437
   11539        0      923   100.0%           61        437
   11600        0      924   100.0%           61        437
   11501        0      930   100.0%           61        437
   11616        0      977   100.0%           61        437
   11540        0      928   100.0%           61        437
   11628        0      989   100.0%           61        437
   11614        0      949   100.0%           61        437
   11608        2     1010   100.0%           61        437
   10058        0     1029   100.0%           61        438
   11666        0      984   100.0%           61        438
   11731        0      967   100.0%           61        438
   11614        0      981   100.0%           61        438
   11651        0     1002   100.0%           61        438
   11580        0      974   100.0%           61        438
   11289        0      993   100.0%           61        438
   11698        0      985   100.0%           61        438
   11617        0     1000   100.0%           61        438
   11623        1      952   100.0%           61        438
   11614        0     1016   100.0%           61        438
   11622        0      993   100.0%           61        438
   11677        0     1016   100.0%           61        438
   11736        1      984   100.0%           61        438
   11629        0     1046   100.0%           61        438
   11637        0      977   100.0%           61        438
   11943        0      963   100.0%           61        439
   11611        0     1025   100.0%           61        439
   11681        0     1017   100.0%           61        439
   11626        0      994   100.0%           61        439
   11316        0     1014   100.0%           61        439
   11635        0      970   100.0%           61        439
   11745        0      978   100.0%           61        439
   11689        0      938   100.0%           61        439
   11645        0      984   100.0%           61        439
   11679        0     1020   100.0%           61        439
   11592        0      951   100.0%           61        439
    8112        0      934   100.0%           61        439
   12314        0      971   100.0%           61        439
   11683        0      956   100.0%           61        439
    9141        0      992   100.0%           61        439
    6299        0      984   100.0%           61        439
    9871        0      961   100.0%           61        439
   11219        0      944   100.0%           61        439
   11342        0      961   100.0%           61        440
    8037        0      932   100.0%           61        440
   11645        0      948   100.0%           61        440
   10755        0      982   100.0%           61        440
    8092        0     1008   100.0%           61        440
   11622        1      988   100.0%           61        440
   11679        0      963   100.0%           61        440
    9780        0      960   100.0%           61        440
   11648        0      962   100.0%           61        440
    9398        0     1012   100.0%           61        440
   11728        1      977   100.0%           61        440
    9856        0      993   100.0%           61        440
   13379        0      968   100.0%           61        440
    9786        0      959   100.0%           61        440
    8134        1     1027   100.0%           61        440
   11138        0      946   100.0%           61        440
   11233        0      967   100.0%           61        440
   11189        0      976   100.0%           61        440
   12613        0     1809   100.0%           61        440
    9805        0      942   100.0%           61        441
   11721        0     1022   100.0%           61        441
   11274        0     1000   100.0%           61        441
    8018        0      969   100.0%           61        441
   11987        0     1030   100.0%           61        441
   13047        0     1001   100.0%           61        441
    9364        0     1031   100.0%           61        441
   11349        0      984   100.0%           61        441
    8099        0     1028   100.0%           61        441
   13420        0      988   100.0%           61        441
    8803        1      986   100.0%           61        441
   11217        0     1022   100.0%           61        441
   10219        0      961   100.0%           61        441
    9353        0      979   100.0%           61        441
   11538        0      984   100.0%           61        441
   12119        0     1061   100.0%           61        442
    9322        0      986   100.0%           61        442
   11650        0      972   100.0%           61        442
   11696        0     1000   100.0%           61        442
   11759        0     1028   100.0%           61        442
   11650        0      975   100.0%           61        442
   11713        0     1042   100.0%           61        442
   11691        0     1029   100.0%           61        442
   11657        0     1011   100.0%           61        442
   11665        0     1028   100.0%           61        442
   11678        1     1003   100.0%           61        442
   11677        0     1000   100.0%           61        442
   11265        0     1000   100.0%           61        442
   11705        0     1019   100.0%           61        442
   11701        0     1053   100.0%           61        443
   11590        0      973   100.0%           61        443
   11524        0      967   100.0%           61        443
   11694        0     1094   100.0%           61        443
   11632        0      967   100.0%           61        443
   11652        0     1032   100.0%           61        443
   11722        0     1058   100.0%           61        443
   11998        0     1025   100.0%           61        443
   11565        0     1022   100.0%           61        443
   11715        0      998   100.0%           61        443
   11902        0      971   100.0%           61        443
   11748        0     1047   100.0%           61        443
   11665        0      985   100.0%           61        443
   11727        0     1016   100.0%           61        443
   11682        0     1031   100.0%           61        444
   11620        0     1018   100.0%           61        444
   11653        1     1028   100.0%           61        444
   11759        0     1017   100.0%           61        444
   11706        0      988   100.0%           61        444
   11618        0      971   100.0%           61        444
   11612        0     1005   100.0%           61        444
   11684        0     1052   100.0%           61        444
   11641        0     1029   100.0%           61        444
   11677        0     1021   100.0%           61        444
   11580        0      977   100.0%           61        444
   11603        0      990   100.0%           61        444
   11661        0      988   100.0%           61        444
   11683        0     1037   100.0%           61        445
   11558        0      970   100.0%           61        445
   11587        0      989   100.0%           61        445
   11663        0      953   100.0%           61        445
   11614        2      954   100.0%           61        445
   11570        0      929   100.0%           61        445
   11497        0      911   100.0%           61        445
   11558        0      928   100.0%           61        445
   11570        0      916   100.0%           61        445
   11561        0      946   100.0%           61        445
   11585        0      923   100.0%           61        445
   11572        0      936   100.0%           61        445
   11514        0      932   100.0%           61        445
   11512        0      921   100.0%           61        445
   11530        0      923   100.0%           61        445
   11591        0      920   100.0%           61        445
   11293        0      902   100.0%           61        445
   12126        0      917   100.0%           61        445
   14804        0     1772   100.0%           61        445
   11132        0       52   100.0%           61        445
   10695        0       47   100.0%           61        445
   10437        0       26   100.0%           61        445

Ending tracing...
