       eth0       
 KB/s in  KB/s out
    0.81      0.48
    1.03      0.48
    1.01      0.48
    0.89      0.48
    0.84      0.48
 3724.68    413.53
 4787.77   1097.13
 5028.25   1366.16
 5266.69   1607.02
 5299.10   1648.27
 5215.18   1562.36
 5067.37   1419.28
 5186.93   1514.81
 5028.32   1387.94
 4750.80   1092.29
 5989.84   2334.96
 5261.94   1594.32
 5068.81   1398.20
 4968.68   1291.05
 5770.79   2174.02
 5588.47   1949.19
 5769.69   2184.29
       eth0       
 KB/s in  KB/s out
 4709.49   1041.67
 4915.87   1234.52
 5417.43   1773.45
 5588.95   1921.21
 6501.14   2914.77
 6276.25   2661.64
 5953.83   2326.74
 4968.66   1294.57
 5388.87   1753.52
 5743.38   2141.34
 5405.12   1759.68
 5789.61   2192.31
 5495.52   1855.35
 5892.52   2304.19
 5147.49   1500.13
 5515.23   1876.17
 5420.54   1786.08
 5191.76   1535.30
 4896.26   1232.87
 5579.26   1968.88
 5139.14   1509.33
 5310.11   1637.15
       eth0       
 KB/s in  KB/s out
 5379.60   1787.54
 5771.84   2146.58
 5563.93   1950.32
 4819.35   1184.15
 4818.61   1149.77
 5466.72   1849.54
 5766.34   2177.17
 5750.52   2119.07
 5867.79   2239.50
 5709.50   2067.57
 5160.48   1498.69
 5182.20   1542.60
 6249.63   2657.54
 5771.76   2111.84
 5220.04   1551.14
 6617.34   3014.13
 5486.41   1853.78
 6329.15   2704.84
 5951.88   2350.21
 5766.91   2149.59
 5764.30   2124.37
 5462.47   1804.89
       eth0       
 KB/s in  KB/s out
 6476.50   2883.52
 5395.65   1744.35
 6529.28   2973.13
 5666.22   2031.41
 5855.33   2248.50
 5653.49   2013.53
 5870.79   2281.86
 5819.04   2196.97
 5580.97   1984.94
 5365.61   1707.17
 5921.90   2351.06
 5222.68   1581.99
 5992.78   2389.59
 5876.78   2272.69
 5038.26   1367.28
 5345.94   1684.47
 5410.61   1751.20
 5387.45   1733.33
 5212.75   1554.23
 6133.62   2511.83
 4932.51   1248.89
 5909.82   2291.26
       eth0       
 KB/s in  KB/s out
 5300.54   1626.37
 4940.40   1295.08
 5742.26   2137.53
 4962.62   1286.68
 5596.33   1958.53
 5817.37   2190.61
 4723.47   1031.17
 5175.80   1545.51
 5565.05   1914.92
 5237.66   1613.41
 4666.37    999.45
 5527.09   1885.07
 5708.95   2064.74
 5420.01   1767.42
 5457.61   1818.71
 5901.00   2254.21
 5106.53   1431.18
 4572.17    870.81
 4623.98    960.36
 5301.92   1663.18
 5504.52   1837.94
 6330.30   2736.64
       eth0       
 KB/s in  KB/s out
 5406.69   1745.96
 5747.71   2107.97
 5185.53   1510.20
 5734.10   2156.41
 5284.05   1628.89
 4965.39   1286.91
 5172.21   1503.82
 5549.90   1933.47
 5957.64   2350.21
 5640.21   2001.35
 5200.10   1537.36
 5386.17   1758.76
 4982.92   1299.34
 6023.11   2391.88
 5460.14   1903.04
  763.97    771.12
    6.22      0.49
    1.84      0.49
    0.38      0.49
    1.24      0.49
    0.46      0.39
    2.03      1.87
       eth0       
 KB/s in  KB/s out
    2.71      1.99
    0.68      0.39
    1.29      0.39
    0.39      0.43
    0.30      0.39
    0.70      0.39
    0.34      0.39
    1.55      0.56
