Linux 4.4.0-31-generic (dpi-suricata) 	01/15/2018 	_i686_	(4 CPU)

11:27:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:27:11 AM  all    0.50    0.00    2.50    0.00    0.00    0.00    0.25    0.00    0.00   96.75
11:27:12 AM  all    0.25    0.00    1.00    0.00    0.00    0.00    0.25    0.00    0.00   98.50
11:27:13 AM  all    0.50    0.00    0.50    0.25    0.00    0.00    0.25    0.00    0.00   98.50
11:27:14 AM  all    0.50    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.75
11:27:15 AM  all    0.25    0.00    0.75    0.00    0.00    0.00    0.25    0.00    0.00   98.74
11:27:16 AM  all    4.04    0.00    2.27    0.00    0.00    0.00    0.25    0.00    0.00   93.43
11:27:17 AM  all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:27:18 AM  all    0.25    0.00    0.50    0.75    0.00    0.00    0.00    0.00    0.00   98.49
11:27:19 AM  all    0.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:27:20 AM  all    0.25    0.00    1.00    0.00    0.00    0.00    0.25    0.00    0.00   98.50
11:27:21 AM  all    0.50    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.75
11:27:22 AM  all    0.25    0.00    1.25    0.00    0.00    0.00    0.25    0.00    0.00   98.25
11:27:23 AM  all    0.25    0.00    1.00    0.00    0.00    0.00    0.25    0.00    0.00   98.50
11:27:24 AM  all    0.50    0.00    0.50    2.51    0.00    0.25    0.00    0.00    0.00   96.24
11:27:25 AM  all    0.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:27:26 AM  all    0.50    0.00    1.25    0.00    0.00    0.00    0.25    0.00    0.00   98.00
11:27:27 AM  all    2.78    0.00    1.01    0.00    0.00    0.76    1.01    0.00    0.00   94.44
11:27:28 AM  all    2.54    0.00    0.76    0.00    0.00    1.52    1.27    0.00    0.00   93.91
11:27:29 AM  all    3.02    0.00    1.26    0.25    0.00    1.51    2.01    0.00    0.00   91.96
11:27:30 AM  all    3.80    0.00    1.52    0.00    0.00    1.27    2.28    0.00    0.00   91.14
11:27:31 AM  all    3.52    0.00    1.01    0.00    0.00    1.51    1.76    0.00    0.00   92.21
11:27:32 AM  all    3.47    0.00    0.74    0.00    0.00    2.48    1.99    0.00    0.00   91.32
11:27:33 AM  all    4.29    0.00    1.26    0.25    0.00    1.77    1.26    0.00    0.00   91.16
11:27:34 AM  all    2.81    0.00    0.77    0.26    0.00    2.04    1.28    0.00    0.00   92.86
11:27:35 AM  all    3.31    0.00    0.25    0.00    0.00    1.53    0.76    0.00    0.00   94.15
11:27:36 AM  all    2.80    0.00    0.76    0.00    0.00    1.27    1.27    0.00    0.00   93.89
11:27:37 AM  all    8.48    0.00    1.54    0.00    0.00    5.66    4.63    0.00    0.00   79.69
11:27:38 AM  all    8.21    0.00    1.28    0.00    0.00    5.38    3.59    0.00    0.00   81.54
11:27:39 AM  all    8.16    0.00    1.28    2.81    0.00    6.38    3.57    0.00    0.00   77.81
11:27:40 AM  all    9.69    0.00    2.04    0.00    0.00    7.14    6.12    0.00    0.00   75.00
11:27:41 AM  all    5.72    0.00    1.74    0.00    0.00    5.22    3.48    0.00    0.00   83.83
11:27:42 AM  all    9.38    0.00    2.60    0.00    0.00    5.99    6.77    0.00    0.00   75.26
11:27:43 AM  all    8.74    0.00    1.54    0.00    0.00    6.43    4.63    0.00    0.00   78.66
11:27:44 AM  all    9.11    0.00    1.52    0.25    0.00    6.33    4.30    0.00    0.00   78.48
11:27:45 AM  all   11.63    0.00    1.81    0.00    0.00    8.79    5.43    0.00    0.00   72.35
11:27:46 AM  all    6.92    0.00    1.28    0.00    0.00    6.41    2.82    0.00    0.00   82.56
11:27:47 AM  all    8.25    0.00    2.06    0.00    0.00    4.38    6.19    0.00    0.00   79.12
11:27:48 AM  all    4.90    0.00    0.52    0.26    0.00    5.15    2.84    0.00    0.00   86.34
11:27:49 AM  all    8.48    0.00    2.06    0.00    0.00    4.11    5.14    0.00    0.00   80.21
11:27:50 AM  all    6.41    0.00    2.56    0.00    0.00    3.33    5.64    0.00    0.00   82.05
11:27:51 AM  all    6.82    0.00    2.02    0.00    0.00    7.58    3.79    0.00    0.00   79.80
11:27:52 AM  all    7.67    0.00    2.56    0.00    0.00    6.91    4.35    0.00    0.00   78.52
11:27:53 AM  all    7.16    0.00    2.56    0.26    0.00    4.60    4.86    0.00    0.00   80.56
11:27:54 AM  all   11.86    0.00    2.58    2.32    0.00    8.76    5.93    0.00    0.00   68.56
11:27:55 AM  all    9.00    0.00    1.00    0.00    0.00    7.00    3.00    0.00    0.00   80.00
11:27:56 AM  all    5.12    0.00    1.02    0.00    0.00    2.56    3.58    0.00    0.00   87.72
11:27:57 AM  all    9.55    0.00    2.76    0.00    0.00    6.28   12.31    0.00    0.00   69.10
11:27:58 AM  all    7.16    0.00    1.53    0.00    0.00    3.84    5.12    0.00    0.00   82.35
11:27:59 AM  all    5.68    0.00    1.55    1.03    0.00    3.10    3.36    0.00    0.00   85.27
11:28:00 AM  all    5.61    0.00    2.30    0.00    0.00    5.87    4.59    0.00    0.00   81.63
11:28:01 AM  all    5.08    0.00    2.03    0.00    0.00    4.06    4.57    0.00    0.00   84.26
11:28:02 AM  all    7.22    0.00    1.80    0.00    0.00    3.87    4.38    0.00    0.00   82.73
11:28:03 AM  all   10.03    0.00    2.06    0.00    0.00    6.17    5.14    0.00    0.00   76.61
11:28:04 AM  all    7.73    0.00    2.00    0.25    0.00    5.99    3.74    0.00    0.00   80.30
11:28:05 AM  all   10.53    0.00    3.01    0.00    0.00    7.77    6.02    0.00    0.00   72.68
