Linux 4.4.0-31-generic (dpi-suricata) 	12/10/2017 	_i686_	(1 CPU)

02:43:28 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:43:29 AM  all    2.02    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   88.89
02:43:30 AM  all    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92
02:43:31 AM  all    1.98    0.00    2.97    0.00    0.00    0.00    0.99    0.00    0.00   94.06
02:43:32 AM  all    2.04    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   94.90
02:43:33 AM  all   10.20    0.00    4.08    0.00    0.00   10.20    0.00    0.00    0.00   75.51
02:43:34 AM  all   58.00    0.00    1.00    0.00    0.00   40.00    1.00    0.00    0.00    0.00
02:43:35 AM  all   60.00    0.00    1.00    0.00    0.00   39.00    0.00    0.00    0.00    0.00
02:43:36 AM  all   52.00    0.00    2.00    0.00    0.00   44.00    2.00    0.00    0.00    0.00
02:43:37 AM  all   54.46    0.00    2.97    0.00    0.00   41.58    0.99    0.00    0.00    0.00
02:43:38 AM  all   54.08    0.00    1.02    0.00    0.00   44.90    0.00    0.00    0.00    0.00
02:43:39 AM  all   57.28    0.00    1.94    0.00    0.00   39.81    0.97    0.00    0.00    0.00
02:43:40 AM  all   62.63    0.00    2.02    0.00    0.00   32.32    3.03    0.00    0.00    0.00
02:43:41 AM  all   55.00    0.00    0.00    0.00    0.00   43.00    2.00    0.00    0.00    0.00
02:43:42 AM  all   51.00    0.00    2.00    0.00    0.00   45.00    2.00    0.00    0.00    0.00
02:43:43 AM  all   58.00    0.00    1.00    0.00    0.00   40.00    1.00    0.00    0.00    0.00
02:43:44 AM  all   50.50    0.00    0.99    0.00    0.00   47.52    0.99    0.00    0.00    0.00
02:43:45 AM  all   45.45    0.00    0.00    0.00    0.00   52.53    2.02    0.00    0.00    0.00
02:43:46 AM  all   43.00    0.00    1.00    0.00    0.00   52.00    4.00    0.00    0.00    0.00
02:43:47 AM  all   42.00    0.00    1.00    0.00    0.00   56.00    1.00    0.00    0.00    0.00
02:43:48 AM  all   46.53    0.00    0.00    0.00    0.00   50.50    2.97    0.00    0.00    0.00
02:43:49 AM  all   42.00    0.00    1.00    0.00    0.00   55.00    2.00    0.00    0.00    0.00
02:43:50 AM  all   52.00    0.00    1.00    0.00    0.00   46.00    1.00    0.00    0.00    0.00
02:43:51 AM  all   37.62    0.00    0.00    0.00    0.00   60.40    1.98    0.00    0.00    0.00
02:43:52 AM  all   48.51    0.00    0.99    0.00    0.00   48.51    1.98    0.00    0.00    0.00
02:43:53 AM  all   37.37    0.00    1.01    0.00    0.00   58.59    3.03    0.00    0.00    0.00
02:43:54 AM  all   48.51    0.00    0.99    0.00    0.00   47.52    2.97    0.00    0.00    0.00
02:43:55 AM  all   44.00    0.00    1.00    0.00    0.00   53.00    2.00    0.00    0.00    0.00
02:43:56 AM  all   41.00    0.00    0.00    0.00    0.00   58.00    1.00    0.00    0.00    0.00
02:43:57 AM  all   53.00    0.00    0.00    0.00    0.00   45.00    2.00    0.00    0.00    0.00
02:43:58 AM  all   50.50    0.00    0.99    0.00    0.00   46.53    1.98    0.00    0.00    0.00
02:43:59 AM  all   43.56    0.00    0.00    0.00    0.00   54.46    1.98    0.00    0.00    0.00
02:44:00 AM  all   39.60    0.00    1.98    0.00    0.00   57.43    0.99    0.00    0.00    0.00
02:44:01 AM  all   34.34    0.00    1.01    0.00    0.00   61.62    3.03    0.00    0.00    0.00
02:44:02 AM  all   42.16    0.00    1.96    0.00    0.00   52.94    2.94    0.00    0.00    0.00
02:44:04 AM  all   40.82    0.00    1.02    0.00    0.00   56.12    2.04    0.00    0.00    0.00
02:44:05 AM  all   41.58    0.00    0.99    0.00    0.00   54.46    2.97    0.00    0.00    0.00
02:44:06 AM  all   40.59    0.00    0.00    0.00    0.00   55.45    3.96    0.00    0.00    0.00
02:44:07 AM  all   45.00    0.00    0.00    0.00    0.00   53.00    2.00    0.00    0.00    0.00
02:44:08 AM  all   38.00    0.00    3.00    0.00    0.00   58.00    1.00    0.00    0.00    0.00
02:44:09 AM  all   32.00    0.00    1.00    0.00    0.00   65.00    2.00    0.00    0.00    0.00
02:44:10 AM  all   41.00    0.00    2.00    0.00    0.00   55.00    2.00    0.00    0.00    0.00
02:44:11 AM  all   41.00    0.00    1.00    0.00    0.00   56.00    2.00    0.00    0.00    0.00
02:44:12 AM  all   45.00    0.00    2.00    0.00    0.00   50.00    3.00    0.00    0.00    0.00
02:44:13 AM  all   47.00    0.00    1.00    0.00    0.00   51.00    1.00    0.00    0.00    0.00
02:44:14 AM  all   43.00    0.00    1.00    0.00    0.00   53.00    3.00    0.00    0.00    0.00
02:44:15 AM  all   50.50    0.00    1.98    0.00    0.00   46.53    0.99    0.00    0.00    0.00
02:44:16 AM  all   44.44    0.00    1.01    0.00    0.00   51.52    3.03    0.00    0.00    0.00
02:44:17 AM  all   43.56    0.00    0.00    0.00    0.00   54.46    1.98    0.00    0.00    0.00
02:44:18 AM  all   43.56    0.00    1.98    0.00    0.00   51.49    2.97    0.00    0.00    0.00
02:44:19 AM  all   43.00    0.00    1.00    0.00    0.00   54.00    2.00    0.00    0.00    0.00
02:44:20 AM  all   43.00    0.00    3.00    0.00    0.00   51.00    3.00    0.00    0.00    0.00
02:44:21 AM  all   45.00    0.00    2.00    0.00    0.00   53.00    0.00    0.00    0.00    0.00
02:44:22 AM  all   41.00    0.00    2.00    0.00    0.00   55.00    2.00    0.00    0.00    0.00
02:44:23 AM  all   41.58    0.00    0.99    0.00    0.00   53.47    3.96    0.00    0.00    0.00
02:44:24 AM  all   35.00    0.00    1.00    0.00    0.00   61.00    3.00    0.00    0.00    0.00
02:44:25 AM  all   41.00    0.00    0.00    0.00    0.00   56.00    3.00    0.00    0.00    0.00
02:44:26 AM  all   38.61    0.00    1.98    0.00    0.00   57.43    1.98    0.00    0.00    0.00
02:44:27 AM  all   48.48    0.00    3.03    0.00    0.00   46.46    2.02    0.00    0.00    0.00
02:44:28 AM  all   46.53    0.00    0.99    0.00    0.00   51.49    0.99    0.00    0.00    0.00
02:44:29 AM  all   46.00    0.00    1.00    0.00    0.00   51.00    2.00    0.00    0.00    0.00
02:44:30 AM  all   51.00    0.00    0.00    0.00    0.00   46.00    3.00    0.00    0.00    0.00
02:44:31 AM  all   50.00    0.00    1.00    0.00    0.00   48.00    1.00    0.00    0.00    0.00
02:44:32 AM  all   44.55    0.00    0.99    0.00    0.00   51.49    2.97    0.00    0.00    0.00
02:44:33 AM  all   44.44    0.00    1.01    0.00    0.00   53.54    1.01    0.00    0.00    0.00
02:44:34 AM  all   50.00    0.00    1.96    0.00    0.00   46.08    1.96    0.00    0.00    0.00
02:44:35 AM  all   53.54    0.00    1.01    0.00    0.00   44.44    1.01    0.00    0.00    0.00
02:44:36 AM  all   44.55    0.00    0.99    0.00    0.00   52.48    1.98    0.00    0.00    0.00
02:44:37 AM  all   48.00    0.00    1.00    0.00    0.00   48.00    3.00    0.00    0.00    0.00
02:44:38 AM  all   50.51    0.00    1.01    0.00    0.00   47.47    1.01    0.00    0.00    0.00
02:44:39 AM  all   44.12    0.00    2.94    0.00    0.00   50.98    1.96    0.00    0.00    0.00
02:44:40 AM  all   55.45    0.00    2.97    0.00    0.00   41.58    0.00    0.00    0.00    0.00
02:44:41 AM  all   40.40    0.00    1.01    0.00    0.00   54.55    4.04    0.00    0.00    0.00
02:44:42 AM  all   39.60    0.00    0.99    0.00    0.00   58.42    0.99    0.00    0.00    0.00
02:44:43 AM  all   46.53    0.00    0.99    0.00    0.00   48.51    3.96    0.00    0.00    0.00
02:44:44 AM  all   42.31    0.00    1.92    0.00    0.00   53.85    1.92    0.00    0.00    0.00
02:44:45 AM  all   43.16    0.00    2.11    0.00    0.00   51.58    3.16    0.00    0.00    0.00
02:44:46 AM  all   45.54    0.00    0.99    0.00    0.00   51.49    1.98    0.00    0.00    0.00
02:44:47 AM  all   49.50    0.00    0.99    0.00    0.00   48.51    0.99    0.00    0.00    0.00
02:44:48 AM  all   40.00    0.00    1.00    0.00    0.00   58.00    1.00    0.00    0.00    0.00
02:44:49 AM  all   35.64    0.00    1.98    0.00    0.00   59.41    2.97    0.00    0.00    0.00
02:44:50 AM  all   32.00    0.00    2.00    0.00    0.00   65.00    1.00    0.00    0.00    0.00
02:44:51 AM  all   39.60    0.00    0.99    0.00    0.00   53.47    5.94    0.00    0.00    0.00
02:44:52 AM  all   52.00    0.00    1.00    0.00    0.00   45.00    2.00    0.00    0.00    0.00
02:44:53 AM  all   42.42    0.00    2.02    0.00    0.00   54.55    1.01    0.00    0.00    0.00
02:44:54 AM  all   40.00    0.00    2.00    0.00    0.00   58.00    0.00    0.00    0.00    0.00
02:44:55 AM  all   39.60    0.00    0.99    0.00    0.00   53.47    5.94    0.00    0.00    0.00
02:44:56 AM  all   44.55    0.00    0.99    0.00    0.00   51.49    2.97    0.00    0.00    0.00
02:44:57 AM  all   37.00    0.00    2.00    0.00    0.00   60.00    1.00    0.00    0.00    0.00
02:44:58 AM  all   40.40    0.00    3.03    0.00    0.00   54.55    2.02    0.00    0.00    0.00
02:44:59 AM  all   37.62    0.00    1.98    0.00    0.00   57.43    2.97    0.00    0.00    0.00
02:45:00 AM  all   41.58    0.00    0.99    0.00    0.00   55.45    1.98    0.00    0.00    0.00
02:45:01 AM  all   48.98    0.00    1.02    0.00    0.00   47.96    2.04    0.00    0.00    0.00
02:45:02 AM  all   52.94    0.00    0.98    0.00    0.00   44.12    1.96    0.00    0.00    0.00
02:45:03 AM  all   41.41    0.00    1.01    0.00    0.00   55.56    2.02    0.00    0.00    0.00
02:45:04 AM  all   45.00    0.00    1.00    0.00    0.00   53.00    1.00    0.00    0.00    0.00
