Linux 4.4.0-31-generic (dpi-suricata) 	01/15/2018 	_i686_	(4 CPU)

12:22:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:22:43 PM  all    0.50    0.00    2.74    1.50    0.00    0.00    0.00    0.00    0.00   95.26
12:22:44 PM  all    0.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:22:45 PM  all    0.25    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.74
12:22:46 PM  all    1.00    0.00    0.75    0.00    0.00    0.00    0.25    0.00    0.00   98.01
12:22:47 PM  all    0.75    0.00    0.25    0.00    0.00    0.00    0.25    0.00    0.00   98.75
12:22:48 PM  all    4.27    0.00    2.01    0.50    0.00    0.00    0.25    0.00    0.00   92.96
12:22:49 PM  all    0.50    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   99.00
12:22:50 PM  all    0.25    0.00    1.00    0.00    0.00    0.00    0.25    0.00    0.00   98.51
12:22:51 PM  all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
12:22:52 PM  all    0.00    0.00    0.75    0.00    0.00    0.00    0.25    0.00    0.00   99.00
12:22:53 PM  all    0.50    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.74
12:22:54 PM  all    0.50    0.00    1.00    0.25    0.00    0.00    0.25    0.00    0.00   98.00
12:22:55 PM  all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.24
12:22:56 PM  all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
12:22:57 PM  all    0.25    0.00    0.75    0.00    0.00    0.00    0.25    0.00    0.00   98.75
12:22:58 PM  all    1.00    0.00    1.00    0.00    0.00    0.00    0.50    0.00    0.00   97.49
12:22:59 PM  all    2.02    0.00    1.01    0.50    0.00    0.76    1.51    0.00    0.00   94.21
12:23:00 PM  all    3.79    0.00    1.26    0.00    0.00    1.01    1.77    0.00    0.00   92.17
