Linux 4.4.0-31-generic (fw-suricata) 	01/15/2018 	_i686_	(1 CPU)

11:50:04 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:05 AM  all    1.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
11:50:06 AM  all    1.00    0.00    3.00    0.00    0.00    0.00    1.00    0.00    0.00   95.00
11:50:07 AM  all    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
11:50:08 AM  all    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
11:50:09 AM  all    0.99    0.00    3.96    0.00    0.00    0.00    0.99    0.00    0.00   94.06
11:50:10 AM  all   13.00    0.00    1.00    6.00    0.00   16.00    0.00    0.00    0.00   64.00
11:50:11 AM  all   19.42    0.00    1.94    0.00    0.00   23.30    0.97    0.00    0.00   54.37
11:50:12 AM  all   20.00    0.00    2.00    0.00    0.00   21.00    1.00    0.00    0.00   56.00
11:50:13 AM  all   20.62    0.00    2.06    0.00    0.00   20.62    0.00    0.00    0.00   56.70
11:50:14 AM  all   20.79    0.00    1.98    0.00    0.00   19.80    1.98    0.00    0.00   55.45
11:50:15 AM  all   26.47    0.00    0.98    0.98    0.00   23.53    0.00    0.00    0.00   48.04
11:50:16 AM  all   25.25    0.00    1.01    0.00    0.00   19.19    1.01    0.00    0.00   53.54
11:50:17 AM  all   22.45    0.00    2.04    0.00    0.00   16.33    0.00    0.00    0.00   59.18
11:50:18 AM  all   22.55    0.00    1.96    0.00    0.00   22.55    0.98    0.00    0.00   51.96
11:50:19 AM  all   18.75    0.00    1.04    0.00    0.00   18.75    1.04    0.00    0.00   60.42
11:50:20 AM  all   48.48    0.00    1.01    3.03    0.00   39.39    2.02    0.00    0.00    6.06
11:50:21 AM  all   28.71    0.00    2.97    0.00    0.00   27.72    0.99    0.00    0.00   39.60
11:50:22 AM  all   30.69    0.00    0.99    0.00    0.00   35.64    2.97    0.00    0.00   29.70
11:50:23 AM  all   33.33    0.00    1.04    0.00    0.00   33.33    1.04    0.00    0.00   31.25
11:50:24 AM  all   23.76    0.00    1.98    0.00    0.00   27.72    1.98    0.00    0.00   44.55
11:50:25 AM  all   34.65    0.00    0.99    0.00    0.00   31.68    1.98    0.00    0.00   30.69
