Linux 4.4.0-31-generic (ids-suricata) 	01/15/2018 	_i686_	(1 CPU)

11:42:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:42:30 AM  all    0.99    0.00    9.90    0.99    0.00    0.00    0.99    0.00    0.00   87.13
11:42:31 AM  all    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
11:42:32 AM  all    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
11:42:33 AM  all    1.96    0.00    3.92    0.00    0.00    0.00    0.00    0.00    0.00   94.12
11:42:34 AM  all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
11:42:35 AM  all   16.67    0.00    1.96    0.00    0.00   10.78    1.96    0.00    0.00   68.63
11:42:36 AM  all   22.22    0.00    1.01    0.00    0.00    9.09    0.00    0.00    0.00   67.68
11:42:37 AM  all   30.00    0.00    2.00    0.00    0.00   10.00    1.00    0.00    0.00   57.00
11:42:38 AM  all   17.82    0.00    2.97    0.00    0.00   10.89    0.99    0.00    0.00   67.33
11:42:39 AM  all   28.28    0.00    2.02    0.00    0.00   16.16    0.00    0.00    0.00   53.54
11:42:40 AM  all   25.25    0.00    2.02    0.00    0.00   14.14    1.01    0.00    0.00   57.58
11:42:41 AM  all   15.00    0.00    1.00    0.00    0.00   10.00    1.00    0.00    0.00   73.00
11:42:42 AM  all   37.00    0.00    2.00    0.00    0.00   12.00    1.00    0.00    0.00   48.00
11:42:43 AM  all   21.00    0.00    3.00    0.00    0.00   10.00    0.00    0.00    0.00   66.00
11:42:44 AM  all   33.00    0.00    0.00    0.00    0.00   16.00    2.00    0.00    0.00   49.00
11:42:45 AM  all   54.00    0.00    2.00    0.00    0.00   42.00    2.00    0.00    0.00    0.00
11:42:46 AM  all   49.00    0.00    1.00    0.00    0.00   28.00    2.00    0.00    0.00   20.00
11:42:47 AM  all   43.56    0.00    1.98    0.00    0.00   35.64    1.98    0.00    0.00   16.83
11:42:48 AM  all   42.42    0.00    0.00    0.00    0.00   21.21    1.01    0.00    0.00   35.35
11:42:49 AM  all   37.00    0.00    1.00    0.00    0.00   14.00    1.00    0.00    0.00   47.00
11:42:50 AM  all   47.00    0.00    1.00    0.00    0.00   30.00    1.00    0.00    0.00   21.00
11:42:51 AM  all   49.00    0.00    2.00    0.00    0.00   27.00    1.00    0.00    0.00   21.00
11:42:52 AM  all   39.39    0.00    1.01    0.00    0.00   40.40    1.01    0.00    0.00   18.18
11:42:53 AM  all   51.00    0.00    1.00    0.00    0.00   34.00    3.00    0.00    0.00   11.00
11:42:54 AM  all   54.46    0.00    1.98    0.00    0.00   39.60    1.98    0.00    0.00    1.98
11:42:55 AM  all   46.94    0.00    4.08    0.00    0.00   33.67    2.04    0.00    0.00   13.27
11:42:56 AM  all   39.60    0.00    0.00    0.00    0.00   51.49    2.97    0.00    0.00    5.94
11:42:57 AM  all   32.32    0.00    1.01    0.00    0.00   44.44    2.02    0.00    0.00   20.20
11:42:58 AM  all   47.00    0.00    3.00    0.00    0.00   37.00    2.00    0.00    0.00   11.00
11:42:59 AM  all   48.00    0.00    1.00    0.00    0.00   26.00    0.00    0.00    0.00   25.00
11:43:00 AM  all   47.52    0.00    0.99    0.00    0.00   42.57    1.98    0.00    0.00    6.93
11:43:01 AM  all   48.51    0.00    1.98    0.00    0.00   28.71    0.99    0.00    0.00   19.80
11:43:02 AM  all   50.00    0.00    1.00    0.00    0.00   47.00    2.00    0.00    0.00    0.00
11:43:03 AM  all   48.00    0.00    1.00    0.00    0.00   40.00    1.00    0.00    0.00   10.00
11:43:04 AM  all   50.00    0.00    1.00    0.00    0.00   37.00    5.00    0.00    0.00    7.00
11:43:05 AM  all   56.44    0.00    0.99    0.00    0.00   41.58    0.99    0.00    0.00    0.00
11:43:06 AM  all   27.27    0.00    1.01    0.00    0.00   14.14    0.00    0.00    0.00   57.58
11:43:07 AM  all   38.24    0.00    0.98    0.00    0.00   29.41    2.94    0.00    0.00   28.43
11:43:08 AM  all   48.98    0.00    1.02    0.00    0.00   37.76    3.06    0.00    0.00    9.18
11:43:09 AM  all   45.00    0.00    1.00    0.00    0.00   43.00    2.00    0.00    0.00    9.00
11:43:10 AM  all   52.48    0.00    1.98    0.00    0.00   29.70    2.97    0.00    0.00   12.87
11:43:11 AM  all   51.00    0.00    0.00    0.00    0.00   47.00    2.00    0.00    0.00    0.00
11:43:12 AM  all   41.00    0.00    0.00    0.00    0.00   52.00    1.00    0.00    0.00    6.00
11:43:13 AM  all   56.00    0.00    1.00    0.00    0.00   28.00    1.00    0.00    0.00   14.00
11:43:14 AM  all   54.00    0.00    1.00    0.00    0.00   43.00    2.00    0.00    0.00    0.00
11:43:15 AM  all   44.55    0.00    0.00    0.00    0.00   28.71    2.97    0.00    0.00   23.76
11:43:16 AM  all   32.65    0.00    2.04    0.00    0.00   42.86    2.04    0.00    0.00   20.41
11:43:17 AM  all   31.68    0.00    0.99    0.00    0.00   37.62    1.98    0.00    0.00   27.72
11:43:18 AM  all   52.94    0.00    2.94    0.00    0.00   25.49    1.96    0.00    0.00   16.67
11:43:19 AM  all   46.46    0.00    1.01    0.00    0.00   33.33    2.02    0.00    0.00   17.17
11:43:20 AM  all   47.52    0.00    0.99    0.00    0.00   46.53    2.97    0.00    0.00    1.98
11:43:21 AM  all   52.53    0.00    2.02    0.00    0.00   44.44    1.01    0.00    0.00    0.00
11:43:22 AM  all   22.00    0.00    1.00    0.00    0.00   22.00    1.00    0.00    0.00   54.00
11:43:23 AM  all   61.00    0.00    1.00    0.00    0.00   37.00    1.00    0.00    0.00    0.00
11:43:24 AM  all   47.47    0.00    2.02    0.00    0.00   48.48    2.02    0.00    0.00    0.00
11:43:25 AM  all   57.43    0.00    0.99    0.00    0.00   29.70    0.99    0.00    0.00   10.89
11:43:26 AM  all   49.00    0.00    1.00    0.00    0.00   21.00    1.00    0.00    0.00   28.00
11:43:27 AM  all   47.00    0.00    1.00    0.00    0.00   27.00    2.00    0.00    0.00   23.00
11:43:28 AM  all   52.53    0.00    1.01    0.00    0.00   20.20    1.01    0.00    0.00   25.25
11:43:29 AM  all   32.67    0.00    0.99    0.00    0.00   26.73    0.99    0.00    0.00   38.61
11:43:30 AM  all   43.43    0.00    2.02    0.00    0.00   45.45    2.02    0.00    0.00    7.07
11:43:31 AM  all   52.48    0.00    0.99    0.00    0.00   44.55    1.98    0.00    0.00    0.00
11:43:32 AM  all   53.54    0.00    3.03    0.00    0.00   34.34    2.02    0.00    0.00    7.07
11:43:33 AM  all   42.00    0.00    2.00    0.00    0.00   41.00    3.00    0.00    0.00   12.00
11:43:34 AM  all   52.94    0.00    2.94    0.00    0.00   41.18    0.98    0.00    0.00    1.96
11:43:35 AM  all   48.00    0.00    2.00    0.00    0.00   39.00    2.00    0.00    0.00    9.00
11:43:36 AM  all   46.00    0.00    1.00    0.00    0.00   48.00    1.00    0.00    0.00    4.00
11:43:37 AM  all   53.00    0.00    1.00    0.00    0.00   38.00    2.00    0.00    0.00    6.00
11:43:38 AM  all   43.88    0.00    1.02    0.00    0.00   25.51    1.02    0.00    0.00   28.57
11:43:39 AM  all   24.00    0.00    1.00    0.00    0.00   18.00    1.00    0.00    0.00   56.00
11:43:40 AM  all   58.00    0.00    0.00    0.00    0.00   39.00    2.00    0.00    0.00    1.00
11:43:41 AM  all   47.52    0.00    1.98    0.00    0.00   29.70    0.99    0.00    0.00   19.80
11:43:42 AM  all   60.00    0.00    0.00    0.00    0.00   38.00    1.00    0.00    0.00    1.00
11:43:43 AM  all   46.00    0.00    1.00    0.00    0.00   48.00    2.00    0.00    0.00    3.00
11:43:44 AM  all   47.47    0.00    1.01    0.00    0.00   38.38    1.01    0.00    0.00   12.12
11:43:45 AM  all   21.00    0.00    1.00    0.00    0.00   36.00    5.00    0.00    0.00   37.00
11:43:46 AM  all   57.58    0.00    1.01    0.00    0.00   32.32    1.01    0.00    0.00    8.08
11:43:47 AM  all   40.59    0.00    1.98    0.00    0.00   25.74    0.99    0.00    0.00   30.69
11:43:48 AM  all   37.00    0.00    2.00    0.00    0.00   18.00    2.00    0.00    0.00   41.00
11:43:49 AM  all   43.43    0.00    2.02    0.00    0.00   39.39    2.02    0.00    0.00   13.13
11:43:50 AM  all   50.50    0.00    0.99    0.00    0.00   32.67    0.99    0.00    0.00   14.85
11:43:51 AM  all   50.51    0.00    1.01    0.00    0.00   32.32    1.01    0.00    0.00   15.15
