Linux 4.4.0-31-generic (ids-suricata) 	01/15/2018 	_i686_	(1 CPU)

12:05:13 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:05:14 PM  all    1.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
12:05:15 PM  all    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
12:05:16 PM  all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
12:05:17 PM  all    1.00    0.00    2.00    4.00    0.00    0.00    1.00    0.00    0.00   92.00
12:05:18 PM  all   15.84    0.00    1.98    0.00    0.00    4.95    0.00    0.00    0.00   77.23
12:05:19 PM  all   20.41    0.00    1.02    0.00    0.00   10.20    1.02    0.00    0.00   67.35
12:05:20 PM  all   26.00    0.00    1.00    0.00    0.00   16.00    1.00    0.00    0.00   56.00
12:05:21 PM  all   21.00    0.00    1.00    0.00    0.00   13.00    1.00    0.00    0.00   64.00
12:05:22 PM  all   31.31    0.00    0.00    1.01    0.00   12.12    2.02    0.00    0.00   53.54
12:05:23 PM  all   27.00    0.00    1.00    0.00    0.00   13.00    1.00    0.00    0.00   58.00
12:05:24 PM  all   22.22    0.00    2.02    0.00    0.00   11.11    2.02    0.00    0.00   62.63
12:05:25 PM  all   28.28    0.00    1.01    0.00    0.00   13.13    2.02    0.00    0.00   55.56
12:05:26 PM  all   22.45    0.00    2.04    0.00    0.00    9.18    3.06    0.00    0.00   63.27
12:05:27 PM  all   31.63    0.00    3.06    1.02    0.00   13.27    2.04    0.00    0.00   48.98
12:05:28 PM  all   43.56    0.00    2.97    0.00    0.00   28.71    0.99    0.00    0.00   23.76
12:05:29 PM  all   41.18    0.00    0.98    0.00    0.00   22.55    1.96    0.00    0.00   33.33
12:05:30 PM  all   45.45    0.00    2.02    0.00    0.00   18.18    2.02    0.00    0.00   32.32
12:05:31 PM  all   42.00    0.00    1.00    0.00    0.00   20.00    2.00    0.00    0.00   35.00
12:05:32 PM  all   33.00    0.00    2.00    0.00    0.00   19.00    0.00    0.00    0.00   46.00
12:05:33 PM  all   55.45    0.00    1.98    0.00    0.00   27.72    3.96    0.00    0.00   10.89
12:05:34 PM  all   42.00    0.00    2.00    0.00    0.00   27.00    1.00    0.00    0.00   28.00
12:05:35 PM  all   42.86    0.00    1.02    0.00    0.00   26.53    2.04    0.00    0.00   27.55
12:05:36 PM  all   54.00    0.00    1.00    0.00    0.00   36.00    1.00    0.00    0.00    8.00
12:05:37 PM  all   56.44    0.00    0.99    0.00    0.00   30.69    1.98    0.00    0.00    9.90
12:05:38 PM  all   26.26    0.00    1.01    0.00    0.00   18.18    2.02    0.00    0.00   52.53
12:05:39 PM  all   51.02    0.00    1.02    0.00    0.00   19.39    0.00    0.00    0.00   28.57
