Linux 4.4.0-31-generic (ids-suricata) 	12/10/2017 	_i686_	(1 CPU)

02:50:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:50:52 AM  all    1.01    0.00    8.08    2.02    0.00    0.00    1.01    0.00    0.00   87.88
02:50:53 AM  all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
02:50:54 AM  all    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
02:50:55 AM  all    2.00    0.00    1.00    0.00    0.00    0.00    1.00    0.00    0.00   96.00
02:50:56 AM  all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
02:50:57 AM  all   10.00    0.00    8.00    2.00    0.00    0.00    0.00    0.00    0.00   80.00
02:50:58 AM  all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
02:50:59 AM  all    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:51:00 AM  all    0.98    0.00    1.96    0.00    0.00    0.00    0.98    0.00    0.00   96.08
02:51:01 AM  all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
02:51:02 AM  all    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
02:51:03 AM  all    1.98    0.00    1.98    8.91    0.00    0.00    0.99    0.00    0.00   86.14
02:51:04 AM  all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
02:51:05 AM  all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
02:51:06 AM  all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
02:51:07 AM  all    7.22    0.00    2.06    0.00    0.00    6.19    1.03    0.00    0.00   83.51
02:51:08 AM  all   38.55    0.00    2.41    2.41    0.00   25.30    1.20    0.00    0.00   30.12
02:51:09 AM  all   46.94    0.00    1.02    0.00    0.00   46.94    1.02    0.00    0.00    4.08
02:51:10 AM  all   40.00    0.00    4.21    0.00    0.00   40.00    1.05    0.00    0.00   14.74
02:51:11 AM  all   44.79    0.00    1.04    0.00    0.00   41.67    2.08    0.00    0.00   10.42
02:51:12 AM  all   42.22    0.00    3.33    0.00    0.00   35.56    2.22    0.00    0.00   16.67
02:51:13 AM  all   43.82    0.00    2.25    1.12    0.00   34.83    0.00    0.00    0.00   17.98
02:51:14 AM  all   39.18    0.00    2.06    0.00    0.00   40.21    2.06    0.00    0.00   16.49
02:51:15 AM  all   38.55    0.00    4.82    0.00    0.00   39.76    1.20    0.00    0.00   15.66
02:51:16 AM  all   45.74    0.00    2.13    0.00    0.00   39.36    1.06    0.00    0.00   11.70
02:51:17 AM  all   38.14    0.00    1.03    0.00    0.00   44.33    3.09    0.00    0.00   13.40
02:51:18 AM  all   36.00    0.00    1.00    0.00    0.00   62.00    1.00    0.00    0.00    0.00
02:51:19 AM  all   42.42    0.00    2.02    0.00    0.00   53.54    1.01    0.00    0.00    1.01
02:51:20 AM  all   39.00    0.00    3.00    0.00    0.00   57.00    1.00    0.00    0.00    0.00
02:51:21 AM  all   21.00    0.00    2.00    0.00    0.00   75.00    2.00    0.00    0.00    0.00
02:51:22 AM  all   44.55    0.00    0.99    0.00    0.00   51.49    1.98    0.00    0.00    0.99
02:51:23 AM  all   43.62    0.00    1.06    0.00    0.00   43.62    0.00    0.00    0.00   11.70
