1,0,10Mbps,1,2,0.042521,4
ids,fw,0.39,0.277,.0000380859,0,50
fw,dpi,0.39,0.330,.0000380859,0,50
2,0,10Mbps,1,2,0.096642,5
ids,fw,0.29,0.239,.0000283203,0,50
fw,dpi,0.49,0.280,.0000478515,0,50
3,0,10Mbps,1,2,0.095578,5
ids,fw,0.39,0.325,.0000380859,0,50
fw,dpi,0.39,0.334,.0000380859,0,50
4,0,10Mbps,1,2,0.099330,5
ids,fw,0.39,0.384,.0000380859,0,50
fw,dpi,0.39,0.341,.0000380859,0,50
5,0,10Mbps,1,2,0.098946,5
ids,fw,0.39,0.345,.0000380859,0,50
fw,dpi,0.39,0.317,.0000380859,0,50
6,0,10Mbps,1,2,0.096274,5
ids,fw,4326.35,0.152,.4224951171,0,50
fw,dpi,717.81,0.255,.0700986328,0,50
7,0,10Mbps,1,2,0.081969,5
ids,fw,5204.20,0.122,.5082226562,0,50
fw,dpi,1476.68,0.292,.1442070312,0,50
8,0,10Mbps,1,2,0.091666,5
ids,fw,5051.06,0.148,.4932675781,0,50
fw,dpi,1310.03,0.200,.1279326171,0,50
9,0,10Mbps,1,2,0.097389,5
ids,fw,5218.14,0.146,.5095839843,0,50
fw,dpi,1454.99,0.140,.1420888671,0,50
10,0,10Mbps,1,2,0.088020,5
ids,fw,5225.03,0.114,.5102568359,0,50
fw,dpi,1469.21,1.786,.1434775390,0,50
11,0,10Mbps,1,2,0.104439,7
ids,fw,5209.89,0.134,.5087783203,0,50
fw,dpi,1461.24,0.216,.1426992187,0,50
12,0,10Mbps,1,2,0.132020,10
ids,fw,5056.26,0.115,.4937753906,0,50
fw,dpi,1292.70,0.199,.1262402343,0,50
13,0,10Mbps,1,2,0.179400,11
ids,fw,5224.55,0.157,.5102099609,0,50
fw,dpi,1472.64,0.219,.1438125000,0,50
14,0,10Mbps,1,2,0.200973,13
ids,fw,5347.76,0.138,.5222421875,0,50
fw,dpi,1595.63,0.219,.1558232421,0,50
15,0,10Mbps,1,2,0.205321,16
ids,fw,5202.30,0.808,.5080371093,0,50
fw,dpi,1448.82,0.205,.1414863281,0,50
16,0,10Mbps,1,2,0.228006,16
ids,fw,8776.39,1.942,.8570693359,0,50
fw,dpi,4913.47,0.143,.4798310546,0,50
17,0,10Mbps,1,2,0.229934,15
ids,fw,8929.57,1.174,.8720283203,0,50
fw,dpi,5364.00,2.389,.5238281250,0,50
18,0,10Mbps,1,2,0.187013,17
ids,fw,6515.13,0.131,.6362431640,0,50
fw,dpi,2778.82,0.239,.2713691406,0,50
19,0,10Mbps,1,2,0.158978,18
ids,fw,8839.16,3.813,.8631992187,0,50
fw,dpi,5005.90,1.091,.4888574218,0,50
20,0,10Mbps,1,2,0.152903,18
ids,fw,8493.40,2.505,.8294335937,0,50
fw,dpi,4710.28,0.147,.4599882812,0,50
21,0,10Mbps,1,2,0.148056,18
ids,fw,8426.94,2.300,.8229433593,0,50
fw,dpi,4705.89,0.169,.4595595703,0,50
22,0,10Mbps,1,2,0.169307,17
ids,fw,8827.42,2.450,.8620527343,0,50
fw,dpi,5120.43,0.798,.5000419921,0,50
23,0,10Mbps,1,2,0.171876,18
ids,fw,8658.71,2.400,.8455771484,0,50
fw,dpi,4932.78,0.461,.4817167968,0,50
24,0,10Mbps,1,2,0.189689,18
ids,fw,9538.32,2.372,.9314765625,0,50
fw,dpi,5849.56,0.187,.5712460937,0,50
25,0,10Mbps,1,2,0.201012,17
ids,fw,8812.60,1.260,.8606054687,0,50
fw,dpi,5130.10,0.171,.5009863281,0,50
26,0,10Mbps,1,2,0.208932,18
ids,fw,8216.28,2.299,.8023710937,0,50
fw,dpi,4533.06,0.182,.4426816406,0,50
27,0,10Mbps,1,2,0.197044,18
ids,fw,8193.91,2.207,.8001865234,0,50
fw,dpi,4445.78,0.181,.4341582031,0,50
28,0,10Mbps,1,2,0.195650,18
ids,fw,9612.75,3.453,.9387451171,0,50
fw,dpi,5887.19,0.352,.5749208984,0,50
29,0,10Mbps,1,2,0.200765,19
ids,fw,9333.16,1.921,.9114414062,0,50
fw,dpi,5837.09,0.155,.5700283203,0,50
30,0,10Mbps,1,2,0.188587,19
ids,fw,8164.43,2.184,.7973076171,0,50
fw,dpi,4233.04,0.273,.4133828125,0,50
31,0,10Mbps,1,2,0.180803,18
ids,fw,8968.67,0.461,.8758466796,0,50
fw,dpi,5243.63,0.211,.5120732421,0,50
32,0,10Mbps,1,2,0.172889,19
ids,fw,8755.36,1.302,.8550156250,0,50
fw,dpi,5040.50,0.222,.4922363281,0,50
33,0,10Mbps,1,2,0.180453,18
ids,fw,9468.40,5.047,.9246484375,0,50
fw,dpi,5767.02,0.161,.5631855468,0,50
34,0,10Mbps,1,2,0.165202,18
ids,fw,9492.72,0.149,.9270234375,0,50
fw,dpi,5796.46,5.979,.5660605468,0,50
35,0,10Mbps,1,2,0.172783,16
ids,fw,9390.62,2.041,.9170527343,0,50
fw,dpi,5657.68,0.200,.5525078125,0,50
36,0,10Mbps,1,2,0.182546,16
ids,fw,8160.65,0.151,.7969384765,0,50
fw,dpi,4425.09,0.162,.4321376953,0,50
37,0,10Mbps,1,2,0.177179,15
ids,fw,9478.05,7.268,.9255908203,0,50
fw,dpi,5766.80,0.110,.5631640625,0,50
38,0,10Mbps,1,2,0.180111,15
ids,fw,8273.50,0.130,.8079589843,0,50
fw,dpi,4925.75,0.220,.4810302734,0,50
39,0,10Mbps,1,2,0.195569,14
ids,fw,9323.01,3.323,.9104501953,0,50
fw,dpi,5242.34,0.197,.5119472656,0,50
40,0,10Mbps,1,2,0.192067,16
ids,fw,5542.40,3.809,.5412500000,0,50
fw,dpi,2150.12,0.253,.2099726562,0,50
41,0,10Mbps,1,2,0.188623,16
ids,fw,8119.30,1.313,.7929003906,0,50
fw,dpi,4064.73,0.113,.3969462890,0,50
42,0,10Mbps,1,2,0.189692,16
ids,fw,8461.13,0.834,.8262822265,0,50
fw,dpi,4751.65,0.182,.4640283203,0,50
43,0,10Mbps,1,2,0.181883,16
ids,fw,7810.82,4.861,.7627753906,0,50
fw,dpi,4068.06,0.330,.3972714843,0,50
44,0,10Mbps,1,2,0.189007,15
ids,fw,8239.86,3.228,.8046738281,0,50
