PING 143.54.12.186 (143.54.12.186) 56(84) bytes of data.
64 bytes from 143.54.12.186: icmp_seq=1 ttl=64 time=0.314 ms
64 bytes from 143.54.12.186: icmp_seq=2 ttl=64 time=0.697 ms
64 bytes from 143.54.12.186: icmp_seq=3 ttl=64 time=0.861 ms
64 bytes from 143.54.12.186: icmp_seq=4 ttl=64 time=0.279 ms
64 bytes from 143.54.12.186: icmp_seq=5 ttl=64 time=0.281 ms
64 bytes from 143.54.12.186: icmp_seq=6 ttl=64 time=0.483 ms
64 bytes from 143.54.12.186: icmp_seq=7 ttl=64 time=0.549 ms
64 bytes from 143.54.12.186: icmp_seq=8 ttl=64 time=0.674 ms
64 bytes from 143.54.12.186: icmp_seq=9 ttl=64 time=0.543 ms
64 bytes from 143.54.12.186: icmp_seq=10 ttl=64 time=0.252 ms
64 bytes from 143.54.12.186: icmp_seq=11 ttl=64 time=0.455 ms
64 bytes from 143.54.12.186: icmp_seq=12 ttl=64 time=0.413 ms
64 bytes from 143.54.12.186: icmp_seq=13 ttl=64 time=0.666 ms
64 bytes from 143.54.12.186: icmp_seq=14 ttl=64 time=0.860 ms
64 bytes from 143.54.12.186: icmp_seq=15 ttl=64 time=0.369 ms
64 bytes from 143.54.12.186: icmp_seq=16 ttl=64 time=0.527 ms
64 bytes from 143.54.12.186: icmp_seq=17 ttl=64 time=0.573 ms
64 bytes from 143.54.12.186: icmp_seq=18 ttl=64 time=0.481 ms
64 bytes from 143.54.12.186: icmp_seq=19 ttl=64 time=0.679 ms
64 bytes from 143.54.12.186: icmp_seq=20 ttl=64 time=0.366 ms
64 bytes from 143.54.12.186: icmp_seq=21 ttl=64 time=0.521 ms
64 bytes from 143.54.12.186: icmp_seq=22 ttl=64 time=0.399 ms
64 bytes from 143.54.12.186: icmp_seq=23 ttl=64 time=0.515 ms
64 bytes from 143.54.12.186: icmp_seq=24 ttl=64 time=0.450 ms
64 bytes from 143.54.12.186: icmp_seq=25 ttl=64 time=0.462 ms
64 bytes from 143.54.12.186: icmp_seq=26 ttl=64 time=0.372 ms
64 bytes from 143.54.12.186: icmp_seq=27 ttl=64 time=0.312 ms
64 bytes from 143.54.12.186: icmp_seq=28 ttl=64 time=0.838 ms
64 bytes from 143.54.12.186: icmp_seq=29 ttl=64 time=0.577 ms
64 bytes from 143.54.12.186: icmp_seq=30 ttl=64 time=0.773 ms
64 bytes from 143.54.12.186: icmp_seq=31 ttl=64 time=0.608 ms
64 bytes from 143.54.12.186: icmp_seq=32 ttl=64 time=0.436 ms
64 bytes from 143.54.12.186: icmp_seq=33 ttl=64 time=0.438 ms
64 bytes from 143.54.12.186: icmp_seq=34 ttl=64 time=0.361 ms
64 bytes from 143.54.12.186: icmp_seq=35 ttl=64 time=0.443 ms
64 bytes from 143.54.12.186: icmp_seq=36 ttl=64 time=0.604 ms
64 bytes from 143.54.12.186: icmp_seq=37 ttl=64 time=0.287 ms
64 bytes from 143.54.12.186: icmp_seq=38 ttl=64 time=0.467 ms
64 bytes from 143.54.12.186: icmp_seq=39 ttl=64 time=0.417 ms
64 bytes from 143.54.12.186: icmp_seq=40 ttl=64 time=0.453 ms
64 bytes from 143.54.12.186: icmp_seq=41 ttl=64 time=0.433 ms
64 bytes from 143.54.12.186: icmp_seq=42 ttl=64 time=0.431 ms
64 bytes from 143.54.12.186: icmp_seq=43 ttl=64 time=0.485 ms
64 bytes from 143.54.12.186: icmp_seq=44 ttl=64 time=0.501 ms
64 bytes from 143.54.12.186: icmp_seq=45 ttl=64 time=0.916 ms
64 bytes from 143.54.12.186: icmp_seq=46 ttl=64 time=0.436 ms
64 bytes from 143.54.12.186: icmp_seq=47 ttl=64 time=0.315 ms
64 bytes from 143.54.12.186: icmp_seq=48 ttl=64 time=0.836 ms
64 bytes from 143.54.12.186: icmp_seq=49 ttl=64 time=0.861 ms
64 bytes from 143.54.12.186: icmp_seq=50 ttl=64 time=0.472 ms
64 bytes from 143.54.12.186: icmp_seq=51 ttl=64 time=0.521 ms
64 bytes from 143.54.12.186: icmp_seq=52 ttl=64 time=1.08 ms
64 bytes from 143.54.12.186: icmp_seq=53 ttl=64 time=0.552 ms
64 bytes from 143.54.12.186: icmp_seq=54 ttl=64 time=0.635 ms
64 bytes from 143.54.12.186: icmp_seq=55 ttl=64 time=0.542 ms
64 bytes from 143.54.12.186: icmp_seq=56 ttl=64 time=0.406 ms
64 bytes from 143.54.12.186: icmp_seq=57 ttl=64 time=0.323 ms
64 bytes from 143.54.12.186: icmp_seq=58 ttl=64 time=0.532 ms
64 bytes from 143.54.12.186: icmp_seq=59 ttl=64 time=0.466 ms
