PING 143.54.12.55 (143.54.12.55) 56(84) bytes of data.
64 bytes from 143.54.12.55: icmp_seq=1 ttl=64 time=0.484 ms
64 bytes from 143.54.12.55: icmp_seq=2 ttl=64 time=0.543 ms
64 bytes from 143.54.12.55: icmp_seq=3 ttl=64 time=0.297 ms
64 bytes from 143.54.12.55: icmp_seq=4 ttl=64 time=0.476 ms
64 bytes from 143.54.12.55: icmp_seq=5 ttl=64 time=0.292 ms
64 bytes from 143.54.12.55: icmp_seq=6 ttl=64 time=0.358 ms
64 bytes from 143.54.12.55: icmp_seq=7 ttl=64 time=0.411 ms
64 bytes from 143.54.12.55: icmp_seq=8 ttl=64 time=0.416 ms
64 bytes from 143.54.12.55: icmp_seq=9 ttl=64 time=0.382 ms
64 bytes from 143.54.12.55: icmp_seq=10 ttl=64 time=0.420 ms
64 bytes from 143.54.12.55: icmp_seq=11 ttl=64 time=0.338 ms
64 bytes from 143.54.12.55: icmp_seq=12 ttl=64 time=0.233 ms
64 bytes from 143.54.12.55: icmp_seq=13 ttl=64 time=0.265 ms
64 bytes from 143.54.12.55: icmp_seq=14 ttl=64 time=0.310 ms
64 bytes from 143.54.12.55: icmp_seq=15 ttl=64 time=0.386 ms
64 bytes from 143.54.12.55: icmp_seq=16 ttl=64 time=0.695 ms
64 bytes from 143.54.12.55: icmp_seq=17 ttl=64 time=0.245 ms
64 bytes from 143.54.12.55: icmp_seq=18 ttl=64 time=0.457 ms
64 bytes from 143.54.12.55: icmp_seq=19 ttl=64 time=0.351 ms
64 bytes from 143.54.12.55: icmp_seq=20 ttl=64 time=8.61 ms
64 bytes from 143.54.12.55: icmp_seq=21 ttl=64 time=0.224 ms
64 bytes from 143.54.12.55: icmp_seq=22 ttl=64 time=0.220 ms
64 bytes from 143.54.12.55: icmp_seq=23 ttl=64 time=0.245 ms
64 bytes from 143.54.12.55: icmp_seq=24 ttl=64 time=0.273 ms
64 bytes from 143.54.12.55: icmp_seq=25 ttl=64 time=0.557 ms
64 bytes from 143.54.12.55: icmp_seq=26 ttl=64 time=0.268 ms
64 bytes from 143.54.12.55: icmp_seq=27 ttl=64 time=0.264 ms
64 bytes from 143.54.12.55: icmp_seq=28 ttl=64 time=0.315 ms
64 bytes from 143.54.12.55: icmp_seq=29 ttl=64 time=0.258 ms
64 bytes from 143.54.12.55: icmp_seq=30 ttl=64 time=0.255 ms
64 bytes from 143.54.12.55: icmp_seq=31 ttl=64 time=0.234 ms
64 bytes from 143.54.12.55: icmp_seq=32 ttl=64 time=9.04 ms
64 bytes from 143.54.12.55: icmp_seq=33 ttl=64 time=0.211 ms
64 bytes from 143.54.12.55: icmp_seq=34 ttl=64 time=0.221 ms
64 bytes from 143.54.12.55: icmp_seq=35 ttl=64 time=0.222 ms
64 bytes from 143.54.12.55: icmp_seq=36 ttl=64 time=0.257 ms
64 bytes from 143.54.12.55: icmp_seq=37 ttl=64 time=0.232 ms
64 bytes from 143.54.12.55: icmp_seq=38 ttl=64 time=8.11 ms
64 bytes from 143.54.12.55: icmp_seq=39 ttl=64 time=0.357 ms
64 bytes from 143.54.12.55: icmp_seq=40 ttl=64 time=0.204 ms
64 bytes from 143.54.12.55: icmp_seq=41 ttl=64 time=30.5 ms
64 bytes from 143.54.12.55: icmp_seq=42 ttl=64 time=0.282 ms
64 bytes from 143.54.12.55: icmp_seq=43 ttl=64 time=1.51 ms
64 bytes from 143.54.12.55: icmp_seq=44 ttl=64 time=6.10 ms
64 bytes from 143.54.12.55: icmp_seq=45 ttl=64 time=0.234 ms
64 bytes from 143.54.12.55: icmp_seq=46 ttl=64 time=17.8 ms
64 bytes from 143.54.12.55: icmp_seq=47 ttl=64 time=4.38 ms
64 bytes from 143.54.12.55: icmp_seq=48 ttl=64 time=0.282 ms
64 bytes from 143.54.12.55: icmp_seq=49 ttl=64 time=0.226 ms
64 bytes from 143.54.12.55: icmp_seq=50 ttl=64 time=15.8 ms
64 bytes from 143.54.12.55: icmp_seq=51 ttl=64 time=0.236 ms
64 bytes from 143.54.12.55: icmp_seq=52 ttl=64 time=0.243 ms
64 bytes from 143.54.12.55: icmp_seq=53 ttl=64 time=0.240 ms
64 bytes from 143.54.12.55: icmp_seq=54 ttl=64 time=0.586 ms
64 bytes from 143.54.12.55: icmp_seq=55 ttl=64 time=0.263 ms
64 bytes from 143.54.12.55: icmp_seq=56 ttl=64 time=5.92 ms
64 bytes from 143.54.12.55: icmp_seq=57 ttl=64 time=0.204 ms
64 bytes from 143.54.12.55: icmp_seq=58 ttl=64 time=7.66 ms
64 bytes from 143.54.12.55: icmp_seq=59 ttl=64 time=22.6 ms
64 bytes from 143.54.12.55: icmp_seq=60 ttl=64 time=27.3 ms
64 bytes from 143.54.12.55: icmp_seq=61 ttl=64 time=0.725 ms
64 bytes from 143.54.12.55: icmp_seq=62 ttl=64 time=18.4 ms
