PING 143.54.12.55 (143.54.12.55) 56(84) bytes of data.
64 bytes from 143.54.12.55: icmp_seq=1 ttl=64 time=0.330 ms
64 bytes from 143.54.12.55: icmp_seq=2 ttl=64 time=0.442 ms
64 bytes from 143.54.12.55: icmp_seq=3 ttl=64 time=0.495 ms
64 bytes from 143.54.12.55: icmp_seq=4 ttl=64 time=0.654 ms
64 bytes from 143.54.12.55: icmp_seq=5 ttl=64 time=0.313 ms
64 bytes from 143.54.12.55: icmp_seq=6 ttl=64 time=0.383 ms
64 bytes from 143.54.12.55: icmp_seq=7 ttl=64 time=0.221 ms
64 bytes from 143.54.12.55: icmp_seq=8 ttl=64 time=0.323 ms
64 bytes from 143.54.12.55: icmp_seq=9 ttl=64 time=0.246 ms
64 bytes from 143.54.12.55: icmp_seq=10 ttl=64 time=0.272 ms
64 bytes from 143.54.12.55: icmp_seq=11 ttl=64 time=0.199 ms
64 bytes from 143.54.12.55: icmp_seq=12 ttl=64 time=0.234 ms
64 bytes from 143.54.12.55: icmp_seq=13 ttl=64 time=0.183 ms
64 bytes from 143.54.12.55: icmp_seq=14 ttl=64 time=0.298 ms
64 bytes from 143.54.12.55: icmp_seq=15 ttl=64 time=0.245 ms
64 bytes from 143.54.12.55: icmp_seq=16 ttl=64 time=0.256 ms
64 bytes from 143.54.12.55: icmp_seq=17 ttl=64 time=0.395 ms
64 bytes from 143.54.12.55: icmp_seq=18 ttl=64 time=0.203 ms
64 bytes from 143.54.12.55: icmp_seq=19 ttl=64 time=0.272 ms
64 bytes from 143.54.12.55: icmp_seq=20 ttl=64 time=0.259 ms
64 bytes from 143.54.12.55: icmp_seq=21 ttl=64 time=0.234 ms
64 bytes from 143.54.12.55: icmp_seq=22 ttl=64 time=0.326 ms
64 bytes from 143.54.12.55: icmp_seq=23 ttl=64 time=0.241 ms
64 bytes from 143.54.12.55: icmp_seq=24 ttl=64 time=0.212 ms
64 bytes from 143.54.12.55: icmp_seq=25 ttl=64 time=0.427 ms
64 bytes from 143.54.12.55: icmp_seq=26 ttl=64 time=0.237 ms
64 bytes from 143.54.12.55: icmp_seq=27 ttl=64 time=0.215 ms
64 bytes from 143.54.12.55: icmp_seq=28 ttl=64 time=0.396 ms
64 bytes from 143.54.12.55: icmp_seq=29 ttl=64 time=0.322 ms
64 bytes from 143.54.12.55: icmp_seq=30 ttl=64 time=15.4 ms
64 bytes from 143.54.12.55: icmp_seq=31 ttl=64 time=0.297 ms
64 bytes from 143.54.12.55: icmp_seq=32 ttl=64 time=0.262 ms
64 bytes from 143.54.12.55: icmp_seq=33 ttl=64 time=0.831 ms
64 bytes from 143.54.12.55: icmp_seq=34 ttl=64 time=1.13 ms
64 bytes from 143.54.12.55: icmp_seq=35 ttl=64 time=12.6 ms
