PING 143.54.12.72 (143.54.12.72) 56(84) bytes of data.
64 bytes from 143.54.12.72: icmp_seq=1 ttl=64 time=0.318 ms
64 bytes from 143.54.12.72: icmp_seq=2 ttl=64 time=0.267 ms
64 bytes from 143.54.12.72: icmp_seq=3 ttl=64 time=0.424 ms
64 bytes from 143.54.12.72: icmp_seq=4 ttl=64 time=0.609 ms
64 bytes from 143.54.12.72: icmp_seq=5 ttl=64 time=0.721 ms
64 bytes from 143.54.12.72: icmp_seq=6 ttl=64 time=0.488 ms
64 bytes from 143.54.12.72: icmp_seq=7 ttl=64 time=0.232 ms
64 bytes from 143.54.12.72: icmp_seq=8 ttl=64 time=0.168 ms
64 bytes from 143.54.12.72: icmp_seq=9 ttl=64 time=0.180 ms
64 bytes from 143.54.12.72: icmp_seq=10 ttl=64 time=0.211 ms
64 bytes from 143.54.12.72: icmp_seq=11 ttl=64 time=0.549 ms
64 bytes from 143.54.12.72: icmp_seq=12 ttl=64 time=0.239 ms
64 bytes from 143.54.12.72: icmp_seq=13 ttl=64 time=0.390 ms
64 bytes from 143.54.12.72: icmp_seq=14 ttl=64 time=0.193 ms
64 bytes from 143.54.12.72: icmp_seq=15 ttl=64 time=0.610 ms
64 bytes from 143.54.12.72: icmp_seq=16 ttl=64 time=0.237 ms
64 bytes from 143.54.12.72: icmp_seq=17 ttl=64 time=0.547 ms
64 bytes from 143.54.12.72: icmp_seq=18 ttl=64 time=1.20 ms
64 bytes from 143.54.12.72: icmp_seq=19 ttl=64 time=0.174 ms
64 bytes from 143.54.12.72: icmp_seq=20 ttl=64 time=0.199 ms
64 bytes from 143.54.12.72: icmp_seq=21 ttl=64 time=3.19 ms
64 bytes from 143.54.12.72: icmp_seq=22 ttl=64 time=0.883 ms
64 bytes from 143.54.12.72: icmp_seq=23 ttl=64 time=0.224 ms
64 bytes from 143.54.12.72: icmp_seq=24 ttl=64 time=0.420 ms
64 bytes from 143.54.12.72: icmp_seq=25 ttl=64 time=0.509 ms
64 bytes from 143.54.12.72: icmp_seq=26 ttl=64 time=0.482 ms
64 bytes from 143.54.12.72: icmp_seq=27 ttl=64 time=1.02 ms
64 bytes from 143.54.12.72: icmp_seq=28 ttl=64 time=0.195 ms
64 bytes from 143.54.12.72: icmp_seq=29 ttl=64 time=0.681 ms
64 bytes from 143.54.12.72: icmp_seq=30 ttl=64 time=0.163 ms
64 bytes from 143.54.12.72: icmp_seq=31 ttl=64 time=2.18 ms
64 bytes from 143.54.12.72: icmp_seq=32 ttl=64 time=0.852 ms
64 bytes from 143.54.12.72: icmp_seq=33 ttl=64 time=0.415 ms
64 bytes from 143.54.12.72: icmp_seq=34 ttl=64 time=3.31 ms
64 bytes from 143.54.12.72: icmp_seq=35 ttl=64 time=0.648 ms
64 bytes from 143.54.12.72: icmp_seq=36 ttl=64 time=0.395 ms
64 bytes from 143.54.12.72: icmp_seq=37 ttl=64 time=1.01 ms
64 bytes from 143.54.12.72: icmp_seq=38 ttl=64 time=0.219 ms
64 bytes from 143.54.12.72: icmp_seq=39 ttl=64 time=4.04 ms
64 bytes from 143.54.12.72: icmp_seq=40 ttl=64 time=0.982 ms
64 bytes from 143.54.12.72: icmp_seq=41 ttl=64 time=0.361 ms
64 bytes from 143.54.12.72: icmp_seq=42 ttl=64 time=0.537 ms
64 bytes from 143.54.12.72: icmp_seq=43 ttl=64 time=2.82 ms
64 bytes from 143.54.12.72: icmp_seq=44 ttl=64 time=0.838 ms
64 bytes from 143.54.12.72: icmp_seq=45 ttl=64 time=0.180 ms
64 bytes from 143.54.12.72: icmp_seq=46 ttl=64 time=2.32 ms
64 bytes from 143.54.12.72: icmp_seq=47 ttl=64 time=0.877 ms
64 bytes from 143.54.12.72: icmp_seq=48 ttl=64 time=2.72 ms
64 bytes from 143.54.12.72: icmp_seq=49 ttl=64 time=0.579 ms
64 bytes from 143.54.12.72: icmp_seq=50 ttl=64 time=0.221 ms
64 bytes from 143.54.12.72: icmp_seq=51 ttl=64 time=0.935 ms
64 bytes from 143.54.12.72: icmp_seq=52 ttl=64 time=5.49 ms
64 bytes from 143.54.12.72: icmp_seq=53 ttl=64 time=1.59 ms
64 bytes from 143.54.12.72: icmp_seq=54 ttl=64 time=1.53 ms
64 bytes from 143.54.12.72: icmp_seq=55 ttl=64 time=0.268 ms
64 bytes from 143.54.12.72: icmp_seq=56 ttl=64 time=1.04 ms
64 bytes from 143.54.12.72: icmp_seq=57 ttl=64 time=1.44 ms
64 bytes from 143.54.12.72: icmp_seq=58 ttl=64 time=1.69 ms
64 bytes from 143.54.12.72: icmp_seq=59 ttl=64 time=0.188 ms
64 bytes from 143.54.12.72: icmp_seq=61 ttl=64 time=1.54 ms
64 bytes from 143.54.12.72: icmp_seq=62 ttl=64 time=0.217 ms
