PING 143.54.12.72 (143.54.12.72) 56(84) bytes of data.
64 bytes from 143.54.12.72: icmp_seq=1 ttl=64 time=0.418 ms
64 bytes from 143.54.12.72: icmp_seq=2 ttl=64 time=0.276 ms
64 bytes from 143.54.12.72: icmp_seq=3 ttl=64 time=0.466 ms
64 bytes from 143.54.12.72: icmp_seq=4 ttl=64 time=0.381 ms
64 bytes from 143.54.12.72: icmp_seq=5 ttl=64 time=0.523 ms
64 bytes from 143.54.12.72: icmp_seq=6 ttl=64 time=0.564 ms
64 bytes from 143.54.12.72: icmp_seq=7 ttl=64 time=0.125 ms
64 bytes from 143.54.12.72: icmp_seq=8 ttl=64 time=0.178 ms
64 bytes from 143.54.12.72: icmp_seq=9 ttl=64 time=0.190 ms
64 bytes from 143.54.12.72: icmp_seq=10 ttl=64 time=0.158 ms
64 bytes from 143.54.12.72: icmp_seq=11 ttl=64 time=0.254 ms
64 bytes from 143.54.12.72: icmp_seq=12 ttl=64 time=0.287 ms
64 bytes from 143.54.12.72: icmp_seq=13 ttl=64 time=1.09 ms
64 bytes from 143.54.12.72: icmp_seq=14 ttl=64 time=0.130 ms
64 bytes from 143.54.12.72: icmp_seq=15 ttl=64 time=0.866 ms
64 bytes from 143.54.12.72: icmp_seq=16 ttl=64 time=0.427 ms
64 bytes from 143.54.12.72: icmp_seq=17 ttl=64 time=0.218 ms
64 bytes from 143.54.12.72: icmp_seq=18 ttl=64 time=0.122 ms
64 bytes from 143.54.12.72: icmp_seq=19 ttl=64 time=0.938 ms
64 bytes from 143.54.12.72: icmp_seq=20 ttl=64 time=0.141 ms
64 bytes from 143.54.12.72: icmp_seq=21 ttl=64 time=0.158 ms
64 bytes from 143.54.12.72: icmp_seq=22 ttl=64 time=1.10 ms
64 bytes from 143.54.12.72: icmp_seq=23 ttl=64 time=1.40 ms
64 bytes from 143.54.12.72: icmp_seq=24 ttl=64 time=2.20 ms
64 bytes from 143.54.12.72: icmp_seq=25 ttl=64 time=0.142 ms
64 bytes from 143.54.12.72: icmp_seq=26 ttl=64 time=0.154 ms
64 bytes from 143.54.12.72: icmp_seq=27 ttl=64 time=5.45 ms
64 bytes from 143.54.12.72: icmp_seq=28 ttl=64 time=2.33 ms
64 bytes from 143.54.12.72: icmp_seq=29 ttl=64 time=29.9 ms
64 bytes from 143.54.12.72: icmp_seq=30 ttl=64 time=23.7 ms
64 bytes from 143.54.12.72: icmp_seq=31 ttl=64 time=4.47 ms
64 bytes from 143.54.12.72: icmp_seq=32 ttl=64 time=2.31 ms
64 bytes from 143.54.12.72: icmp_seq=33 ttl=64 time=2.30 ms
64 bytes from 143.54.12.72: icmp_seq=34 ttl=64 time=4.20 ms
64 bytes from 143.54.12.72: icmp_seq=35 ttl=64 time=5.01 ms
64 bytes from 143.54.12.72: icmp_seq=36 ttl=64 time=2.56 ms
64 bytes from 143.54.12.72: icmp_seq=37 ttl=64 time=0.379 ms
64 bytes from 143.54.12.72: icmp_seq=38 ttl=64 time=30.0 ms
64 bytes from 143.54.12.72: icmp_seq=39 ttl=64 time=23.9 ms
64 bytes from 143.54.12.72: icmp_seq=40 ttl=64 time=2.50 ms
64 bytes from 143.54.12.72: icmp_seq=41 ttl=64 time=0.200 ms
64 bytes from 143.54.12.72: icmp_seq=42 ttl=64 time=2.03 ms
64 bytes from 143.54.12.72: icmp_seq=43 ttl=64 time=30.4 ms
64 bytes from 143.54.12.72: icmp_seq=44 ttl=64 time=2.84 ms
64 bytes from 143.54.12.72: icmp_seq=45 ttl=64 time=26.8 ms
64 bytes from 143.54.12.72: icmp_seq=46 ttl=64 time=2.94 ms
64 bytes from 143.54.12.72: icmp_seq=47 ttl=64 time=0.157 ms
64 bytes from 143.54.12.72: icmp_seq=48 ttl=64 time=2.21 ms
64 bytes from 143.54.12.72: icmp_seq=49 ttl=64 time=0.322 ms
