       eth0       
 KB/s in  KB/s out
    0.88      0.64
    1.57      0.53
    1.69      0.48
    0.97      0.48
    2.83      0.52
 7585.59   7660.58
 8766.69   8859.07
 8638.03   8727.22
 8818.61   8910.56
 8789.44   8881.09
 8672.44   8762.95
 8771.78   8864.05
 8785.38   8877.86
 8780.84   8872.34
 8772.04   8861.48
11970.34  12118.52
12614.44  12771.44
12701.53  12860.24
12813.46  12972.91
12518.71  12676.75
12560.51  12718.43
12553.37  12709.00
       eth0       
 KB/s in  KB/s out
12583.47  12740.85
12613.92  12772.03
12694.33  12853.11
15436.77  15651.08
17199.81  17442.97
16833.05  17072.19
17323.90  17564.68
17102.35  17341.94
16746.88  16982.59
17093.89  17334.10
17001.84  17237.32
17246.25  17484.70
17365.45  17607.72
17223.48  17466.33
17045.35  17283.34
16945.35  17184.00
18560.47  18822.43
17223.50  17464.47
17923.65  18177.01
17441.20  17686.21
16148.92  16369.04
17575.70  17826.73
       eth0       
 KB/s in  KB/s out
17428.24  17674.42
17788.23  18040.96
18486.81  18750.86
17477.42  17727.61
17833.29  18089.37
17920.85  18178.73
18324.75  18583.60
17928.11  18183.92
18387.75  18647.78
17999.22  18258.06
17805.82  18056.83
17722.62  17975.79
17215.19  17458.59
17746.58  17998.12
18244.72  18504.23
17729.49  17988.97
17813.14  18068.01
17727.96  17982.14
17484.79  17734.17
17184.63  17427.96
18044.48  18298.50
17797.18  18051.52
       eth0       
 KB/s in  KB/s out
18591.48  18854.89
17566.57  17819.34
18062.48  18322.99
17880.56  18136.85
18060.35  18320.78
16670.96  16902.93
16851.94  17087.30
18188.41  18448.49
16828.36  17061.53
17662.86  17911.03
17994.54  18252.04
18273.92  18531.50
18201.75  18461.29
17660.89  17911.05
17865.01  18118.50
18056.30  18310.45
18213.15  18477.22
17440.73  17685.94
17680.46  17928.17
17326.28  17569.93
17199.26  17439.55
17499.76  17748.82
       eth0       
 KB/s in  KB/s out
16931.39  17171.34
17826.60  18081.22
16469.74  16700.84
17560.47  17806.91
18195.61  18453.55
17769.27  18024.11
15651.81  15863.23
17246.76  17486.20
17043.63  17279.01
17932.48  18186.25
17616.77  17868.91
16820.85  17056.81
16850.85  17087.17
16439.55  16666.08
17332.21  17577.53
17667.42  17923.05
17769.14  18019.01
17435.35  17683.97
17154.96  17398.12
17444.30  17688.94
17896.63  18150.45
17753.74  18003.78
       eth0       
 KB/s in  KB/s out
18427.67  18688.05
17176.40  17420.51
15809.90  16025.29
12650.31  12808.83
11727.59  11868.54
 8824.41   8917.04
 8817.23   8910.19
 8761.78   8853.45
 8696.68   8788.56
 8815.12   8907.49
 8764.12   8856.24
 8762.33   8853.69
 8761.80   8854.32
 8828.51   8920.86
 5145.48   5199.56
   13.73     12.28
   13.02     12.39
    2.32      0.70
    0.64      0.69
    1.33      0.54
    0.91      0.49
    0.82      0.53
       eth0       
 KB/s in  KB/s out
    0.77      0.53
    3.39      0.60
    2.42      1.03
    1.09      0.65
    1.33      0.54
    1.94      0.82
    1.28      0.53
    1.30      0.59
