Linux 4.4.0-31-generic (fw-suricata) 	12/08/2017 	_i686_	(1 CPU)

05:51:00 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:51:01 PM  all    0.00    0.00   11.22    2.04    0.00    0.00    0.00    0.00    0.00   86.73
05:51:02 PM  all    2.02    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   93.94
05:51:03 PM  all    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
05:51:04 PM  all    1.98    0.00    4.95    0.00    0.00    0.00    0.99    0.00    0.00   92.08
05:51:05 PM  all    1.98    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   93.07
05:51:06 PM  all    1.01    0.00    3.03    3.03    0.00    0.00    0.00    0.00    0.00   92.93
05:51:07 PM  all    1.00    0.00    3.00    5.00    0.00    0.00    1.00    0.00    0.00   90.00
05:51:08 PM  all    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
05:51:09 PM  all    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
05:51:10 PM  all    0.00    0.00    3.00    0.00    0.00    0.00    1.00    0.00    0.00   96.00
05:51:11 PM  all    1.01    0.00    3.03    2.02    0.00    0.00    0.00    0.00    0.00   93.94
05:51:12 PM  all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
05:51:13 PM  all    0.00    0.00    3.03    0.00    0.00    0.00    1.01    0.00    0.00   95.96
05:51:14 PM  all    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
05:51:15 PM  all    0.99    0.00    2.97    0.00    0.00    0.00    0.99    0.00    0.00   95.05
05:51:16 PM  all    1.00    0.00    4.00    3.00    0.00    0.00    0.00    0.00    0.00   92.00
05:51:17 PM  all    1.01    0.00    2.02    0.00    0.00    0.00    1.01    0.00    0.00   95.96
05:51:18 PM  all    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
05:51:19 PM  all    2.00    0.00    2.00    0.00    0.00    0.00    1.00    0.00    0.00   95.00
05:51:20 PM  all    0.00    0.00    3.96    0.00    0.00    0.00    0.99    0.00    0.00   95.05
05:51:21 PM  all    0.00    0.00    4.08    3.06    0.00    0.00    0.00    0.00    0.00   92.86
05:51:22 PM  all    1.00    0.00    3.00   18.00    0.00    0.00    1.00    0.00    0.00   77.00
