Linux 4.4.0-31-generic (ids-suricata) 	12/08/2017 	_i686_	(1 CPU)

05:40:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:40:47 PM  all    1.98    0.00    8.91    0.00    0.00    0.00    0.00    0.00    0.00   89.11
05:40:48 PM  all    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
05:40:49 PM  all    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
05:40:50 PM  all    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
05:40:51 PM  all    2.00    0.00    2.00    0.00    0.00    0.00    1.00    0.00    0.00   95.00
05:40:52 PM  all   15.46    0.00    8.25    1.03    0.00    0.00    0.00    0.00    0.00   75.26
05:40:53 PM  all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:40:54 PM  all    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:40:55 PM  all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:40:56 PM  all    2.02    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   96.97
05:40:57 PM  all    0.99    0.00    2.97    2.97    0.00    0.00    0.00    0.00    0.00   93.07
05:40:58 PM  all    2.00    0.00    2.00    0.00    0.00    0.00    1.00    0.00    0.00   95.00
05:40:59 PM  all    2.02    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   94.95
05:41:00 PM  all    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
05:41:01 PM  all    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
05:41:02 PM  all    9.47    0.00    2.11   15.79    0.00    4.21    0.00    0.00    0.00   68.42
05:41:03 PM  all   41.11    0.00    2.22    0.00    0.00   34.44    1.11    0.00    0.00   21.11
05:41:04 PM  all   45.16    0.00    2.15    0.00    0.00   36.56    1.08    0.00    0.00   15.05
05:41:05 PM  all   45.83    0.00    0.00    0.00    0.00   41.67    1.04    0.00    0.00   11.46
05:41:06 PM  all   44.57    0.00    1.09    0.00    0.00   42.39    0.00    0.00    0.00   11.96
05:41:07 PM  all   53.12    0.00    3.12    0.00    0.00   27.08    1.04    0.00    0.00   15.62
05:41:08 PM  all   45.65    0.00    2.17    0.00    0.00   36.96    0.00    0.00    0.00   15.22
05:41:09 PM  all   48.91    0.00    1.09    0.00    0.00   35.87    0.00    0.00    0.00   14.13
05:41:10 PM  all   45.26    0.00    2.11    0.00    0.00   38.95    1.05    0.00    0.00   12.63
05:41:11 PM  all   51.61    0.00    1.08    0.00    0.00   34.41    1.08    0.00    0.00   11.83
05:41:12 PM  all   45.45    0.00    2.02    1.01    0.00   42.42    1.01    0.00    0.00    8.08
05:41:13 PM  all   39.00    0.00    2.00    0.00    0.00   57.00    2.00    0.00    0.00    0.00
05:41:14 PM  all   41.41    0.00    0.00    0.00    0.00   57.58    1.01    0.00    0.00    0.00
05:41:15 PM  all   37.62    0.00    0.99    0.00    0.00   59.41    1.98    0.00    0.00    0.00
05:41:16 PM  all   43.00    0.00    1.00    0.00    0.00   55.00    1.00    0.00    0.00    0.00
05:41:17 PM  all   37.00    0.00    1.00    0.00    0.00   60.00    2.00    0.00    0.00    0.00
05:41:18 PM  all   44.44    0.00    1.01    0.00    0.00   53.54    1.01    0.00    0.00    0.00
05:41:19 PM  all   40.00    0.00    1.00    0.00    0.00   58.00    1.00    0.00    0.00    0.00
05:41:20 PM  all   34.65    0.00    0.99    0.00    0.00   62.38    1.98    0.00    0.00    0.00
05:41:21 PM  all   38.00    0.00    2.00    0.00    0.00   59.00    1.00    0.00    0.00    0.00
05:41:22 PM  all   34.65    0.00    0.99    0.00    0.00   61.39    2.97    0.00    0.00    0.00
05:41:23 PM  all   21.21    0.00    0.00    0.00    0.00   76.77    2.02    0.00    0.00    0.00
05:41:24 PM  all   15.84    0.00    1.98    0.00    0.00   79.21    2.97    0.00    0.00    0.00
05:41:25 PM  all   20.20    0.00    1.01    0.00    0.00   77.78    1.01    0.00    0.00    0.00
05:41:26 PM  all   17.82    0.00    1.98    0.00    0.00   79.21    0.99    0.00    0.00    0.00
05:41:27 PM  all   17.82    0.00    1.98    0.00    0.00   76.24    3.96    0.00    0.00    0.00
05:41:28 PM  all   16.16    0.00    0.00    0.00    0.00   80.81    3.03    0.00    0.00    0.00
05:41:29 PM  all   17.00    0.00    2.00    0.00    0.00   79.00    2.00    0.00    0.00    0.00
05:41:30 PM  all   15.84    0.00    1.98    0.00    0.00   79.21    2.97    0.00    0.00    0.00
05:41:31 PM  all   18.18    0.00    1.01    0.00    0.00   78.79    2.02    0.00    0.00    0.00
05:41:32 PM  all   15.84    0.00    2.97    0.00    0.00   78.22    2.97    0.00    0.00    0.00
05:41:33 PM  all   11.00    0.00    0.00    0.00    0.00   86.00    3.00    0.00    0.00    0.00
05:41:34 PM  all   10.10    0.00    2.02    0.00    0.00   85.86    2.02    0.00    0.00    0.00
05:41:35 PM  all   17.82    0.00    0.99    0.00    0.00   78.22    2.97    0.00    0.00    0.00
05:41:36 PM  all    7.92    0.00    1.98    0.00    0.00   88.12    1.98    0.00    0.00    0.00
05:41:37 PM  all   10.00    0.00    1.00    0.00    0.00   86.00    3.00    0.00    0.00    0.00
05:41:38 PM  all   11.11    0.00    1.01    0.00    0.00   84.85    3.03    0.00    0.00    0.00
05:41:39 PM  all   14.00    0.00    2.00    0.00    0.00   82.00    2.00    0.00    0.00    0.00
05:41:40 PM  all   13.00    0.00    1.00    0.00    0.00   83.00    3.00    0.00    0.00    0.00
05:41:41 PM  all   18.00    0.00    1.00    0.00    0.00   79.00    2.00    0.00    0.00    0.00
05:41:42 PM  all   10.00    0.00    1.00    0.00    0.00   87.00    2.00    0.00    0.00    0.00
05:41:43 PM  all   11.88    0.00    0.99    0.00    0.00   85.15    1.98    0.00    0.00    0.00
05:41:44 PM  all   12.12    0.00    1.01    0.00    0.00   85.86    1.01    0.00    0.00    0.00
05:41:45 PM  all   13.73    0.00    2.94    0.00    0.00   80.39    2.94    0.00    0.00    0.00
05:41:46 PM  all   10.00    0.00    2.00    0.00    0.00   86.00    2.00    0.00    0.00    0.00
05:41:47 PM  all    9.00    0.00    1.00    0.00    0.00   86.00    4.00    0.00    0.00    0.00
05:41:48 PM  all   10.00    0.00    1.00    0.00    0.00   87.00    2.00    0.00    0.00    0.00
05:41:49 PM  all   13.00    0.00    1.00    0.00    0.00   84.00    2.00    0.00    0.00    0.00
05:41:50 PM  all   10.89    0.00    1.98    0.00    0.00   85.15    1.98    0.00    0.00    0.00
05:41:51 PM  all    9.09    0.00    0.00    0.00    0.00   87.88    3.03    0.00    0.00    0.00
05:41:52 PM  all   14.00    0.00    1.00    0.00    0.00   83.00    2.00    0.00    0.00    0.00
05:41:53 PM  all   10.00    0.00    2.00    0.00    0.00   85.00    3.00    0.00    0.00    0.00
05:41:54 PM  all   13.00    0.00    1.00    0.00    0.00   82.00    4.00    0.00    0.00    0.00
05:41:55 PM  all   14.85    0.00    0.99    0.00    0.00   81.19    2.97    0.00    0.00    0.00
05:41:56 PM  all   10.89    0.00    0.99    0.00    0.00   85.15    2.97    0.00    0.00    0.00
05:41:57 PM  all   11.00    0.00    2.00    0.00    0.00   85.00    2.00    0.00    0.00    0.00
05:41:58 PM  all    9.00    0.00    0.00    0.00    0.00   88.00    3.00    0.00    0.00    0.00
05:41:59 PM  all   13.00    0.00    2.00    0.00    0.00   84.00    1.00    0.00    0.00    0.00
05:42:00 PM  all   16.00    0.00    0.00    0.00    0.00   82.00    2.00    0.00    0.00    0.00
05:42:01 PM  all    9.00    0.00    2.00    0.00    0.00   86.00    3.00    0.00    0.00    0.00
05:42:02 PM  all   16.67    0.00    0.98    0.00    0.00   80.39    1.96    0.00    0.00    0.00
05:42:03 PM  all   14.00    0.00    1.00    0.00    0.00   82.00    3.00    0.00    0.00    0.00
05:42:04 PM  all   13.00    0.00    1.00    0.00    0.00   84.00    2.00    0.00    0.00    0.00
05:42:05 PM  all   11.00    0.00    1.00    0.00    0.00   86.00    2.00    0.00    0.00    0.00
05:42:06 PM  all   11.11    0.00    1.01    0.00    0.00   85.86    2.02    0.00    0.00    0.00
05:42:07 PM  all   11.76    0.00    1.96    0.00    0.00   83.33    2.94    0.00    0.00    0.00
05:42:08 PM  all   14.71    0.00    0.98    0.00    0.00   82.35    1.96    0.00    0.00    0.00
05:42:09 PM  all   10.31    0.00    1.03    0.00    0.00   86.60    2.06    0.00    0.00    0.00
05:42:10 PM  all   11.88    0.00    0.99    0.00    0.00   86.14    0.99    0.00    0.00    0.00
05:42:11 PM  all   16.00    0.00    2.00    0.00    0.00   79.00    3.00    0.00    0.00    0.00
05:42:12 PM  all    8.08    0.00    0.00    0.00    0.00   89.90    2.02    0.00    0.00    0.00
05:42:13 PM  all   10.89    0.00    1.98    0.00    0.00   85.15    1.98    0.00    0.00    0.00
05:42:14 PM  all   11.00    0.00    1.00    0.00    0.00   85.00    3.00    0.00    0.00    0.00
05:42:15 PM  all   13.00    0.00    0.00    0.00    0.00   85.00    2.00    0.00    0.00    0.00
05:42:16 PM  all   11.00    0.00    1.00    0.00    0.00   86.00    2.00    0.00    0.00    0.00
05:42:17 PM  all   10.89    0.00    1.98    0.00    0.00   85.15    1.98    0.00    0.00    0.00
05:42:18 PM  all   11.00    0.00    1.00    0.00    0.00   86.00    2.00    0.00    0.00    0.00
05:42:19 PM  all   13.73    0.00    1.96    0.00    0.00   82.35    1.96    0.00    0.00    0.00
05:42:20 PM  all    5.88    0.00    0.98    0.00    0.00   91.18    1.96    0.00    0.00    0.00
05:42:21 PM  all   13.86    0.00    0.99    0.00    0.00   83.17    1.98    0.00    0.00    0.00
05:42:22 PM  all   18.00    0.00    1.00    0.00    0.00   80.00    1.00    0.00    0.00    0.00
05:42:23 PM  all   10.00    0.00    1.00    0.00    0.00   86.00    3.00    0.00    0.00    0.00
05:42:24 PM  all    8.08    0.00    0.00    0.00    0.00   90.91    1.01    0.00    0.00    0.00
05:42:25 PM  all   12.87    0.00    0.99    0.00    0.00   83.17    2.97    0.00    0.00    0.00
05:42:26 PM  all    9.00    0.00    1.00    0.00    0.00   88.00    2.00    0.00    0.00    0.00
05:42:27 PM  all   13.86    0.00    0.99    0.00    0.00   83.17    1.98    0.00    0.00    0.00
05:42:28 PM  all   11.00    0.00    0.00    0.00    0.00   87.00    2.00    0.00    0.00    0.00
05:42:29 PM  all   13.00    0.00    1.00    0.00    0.00   83.00    3.00    0.00    0.00    0.00
05:42:30 PM  all   13.86    0.00    0.99    0.00    0.00   84.16    0.99    0.00    0.00    0.00
05:42:31 PM  all   12.12    0.00    2.02    0.00    0.00   83.84    2.02    0.00    0.00    0.00
05:42:32 PM  all   10.78    0.00    1.96    0.00    0.00   84.31    2.94    0.00    0.00    0.00
05:42:33 PM  all   12.00    0.00    1.00    0.00    0.00   81.00    6.00    0.00    0.00    0.00
05:42:34 PM  all   13.13    0.00    2.02    0.00    0.00   83.84    1.01    0.00    0.00    0.00
05:42:35 PM  all   11.88    0.00    0.99    0.00    0.00   84.16    2.97    0.00    0.00    0.00
05:42:36 PM  all   11.00    0.00    0.00    0.00    0.00   87.00    2.00    0.00    0.00    0.00
