Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
   11434        0      903   100.0%           37        334
   11363        0      904   100.0%           37        334
   11363        0      887   100.0%           37        334
   10976        0      917   100.0%           37        334
   11657        0      928   100.0%           37        334
   11422        0      914   100.0%           37        334
   11144        0      911   100.0%           37        334
   11347        0      916   100.0%           37        334
   11388        0      912   100.0%           37        334
   11342        1      912   100.0%           37        334
   11378        4      907   100.0%           37        334
   11338        0      907   100.0%           37        334
   11314        0      900   100.0%           37        334
   11373        0      905   100.0%           37        334
   11423        0      919   100.0%           37        334
   11327        0      907   100.0%           37        334
   11334        0      910   100.0%           37        334
   11374        0      901   100.0%           37        334
   11325        0      897   100.0%           37        334
   11272        0      912   100.0%           37        334
   11319        0      908   100.0%           37        334
   11325        0      887   100.0%           37        334
   10977        0      913   100.0%           37        334
   11398        0      911   100.0%           37        334
   11329        1      905   100.0%           37        334
   10998        0      896   100.0%           37        334
   11355        0      906   100.0%           37        334
   10978        0      904   100.0%           37        334
   11312        0      893   100.0%           37        334
   11429        2      914   100.0%           37        335
   11693        0      900   100.0%           37        335
   11279        0      906   100.0%           37        335
   11359        0      904   100.0%           37        335
   10960        0      896   100.0%           37        335
   11057        2      893   100.0%           37        335
   10605        0      882   100.0%           37        335
   11020        0      885   100.0%           37        335
   10630        0      882   100.0%           37        335
   11001        0      883   100.0%           37        335
    8795        2      884   100.0%           37        335
   11368        0      887   100.0%           37        335
   10608        0      881   100.0%           37        335
   10957        0      883   100.0%           37        335
   11029        0      887   100.0%           37        335
   11329        1      894   100.0%           37        335
   11335        0      889   100.0%           37        335
   12577        0     1753   100.0%           37        335
   11389        0      886   100.0%           37        335
   11317        1      889   100.0%           37        335
   11399        0      886   100.0%           37        335
   11393        0      889   100.0%           37        335
   10611        0      879   100.0%           37        335
   10945        0      884   100.0%           37        335
   11036        0      889   100.0%           37        335
    9171        0      883   100.0%           37        335
   11292        0      886   100.0%           37        335
   10975        0      884   100.0%           37        335
    8482        0      882   100.0%           37        335
   11293        2      889   100.0%           37        335
   11029        0      883   100.0%           37        335
   11019        0      885   100.0%           37        335
   10995        0      886   100.0%           37        335
   10968        0      884   100.0%           37        335
   11023        2      885   100.0%           37        335
    9858        0      884   100.0%           37        335
   11722        0      894   100.0%           37        335
   11348        0      893   100.0%           37        335
   11382        0      892   100.0%           37        335
   11383        0      899   100.0%           37        335
   11332        0      891   100.0%           37        335
   10284        0      888   100.0%           37        335
   11418        0      892   100.0%           37        335
   11365        0      894   100.0%           37        335
   11357        2      891   100.0%           37        335
   11437        0      898   100.0%           37        335
   11334        0      897   100.0%           37        335
   11369        0      896   100.0%           37        335
   10967        0      897   100.0%           37        335
   10980        1      896   100.0%           37        335
   11020        0      892   100.0%           37        335
   11326        0      896   100.0%           37        335
   11314        0      897   100.0%           37        335
   11355        0      894   100.0%           37        335
   11330        1      896   100.0%           37        336
   11286        0      897   100.0%           37        336
   11304        0      895   100.0%           37        336
   11416        0      897   100.0%           37        336
    5662        2      896   100.0%           37        336
   10407        0      898   100.0%           37        336
    8856        0      889   100.0%           37        336
   11029        0      896   100.0%           37        336
    8525        0      891   100.0%           37        336
   11017        1      898   100.0%           37        336
    6947        0      888   100.0%           37        336
    7352        0      895   100.0%           37        336
    7286        0      894   100.0%           37        336
    9012        0      897   100.0%           37        336
    7754        2      912   100.0%           37        336
    9262        0      899   100.0%           37        336
    8216        0      899   100.0%           37        336
   10966        0      898   100.0%           37        336
   10970        0      894   100.0%           37        336
   10978        0      903   100.0%           37        336
    9648        0      894   100.0%           37        336
   11764        0      900   100.0%           37        336
    9647        0      895   100.0%           37        336
    7792        0      896   100.0%           37        336
    8171        2      897   100.0%           37        336
   11406        0      900   100.0%           37        336
   11381        0      899   100.0%           37        336
   11380        0      896   100.0%           37        336
   11365        0      898   100.0%           37        336
   11327        1      903   100.0%           37        336
   11344        0      896   100.0%           37        336
   11315        0      896   100.0%           37        336
   11357        0      893   100.0%           37        336
   11326        0      898   100.0%           37        336
   11394        0      902   100.0%           37        336
   11354        0      898   100.0%           37        336
   11364        0      896   100.0%           37        336
   11041        0      898   100.0%           37        336
   11260        0      898   100.0%           37        336
   11450        2      896   100.0%           37        336
   11385        0      899   100.0%           37        336
   11301        0      895   100.0%           37        336
   11341        0      902   100.0%           37        336
   11366        0      895   100.0%           37        336
   11386        0      905   100.0%           37        336
   11370        0      886   100.0%           37        336
   11339        0      893   100.0%           37        336
   11358        0      904   100.0%           37        336
   11369        0      886   100.0%           37        336
   11415        1      911   100.0%           37        337
   11441        0      896   100.0%           37        337
   11432        0      895   100.0%           37        337
   11828        0      898   100.0%           37        337
   15153        0     1756   100.0%           37        337
   10443        0       22   100.0%           37        337
   10473        0       24   100.0%           37        337
   10492        0       15   100.0%           37        337
    7678        0       26   100.0%           37        337

Ending tracing...
