Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
   11693        0      909   100.0%           83        909
   11729        0      900   100.0%           83        909
   11654        0      940   100.0%           83        909
   11619        0      910   100.0%           83        909
   11667        0      914   100.0%           83        909
   11726        0      914   100.0%           83        909
   48593        0      936   100.0%           83        909
   11672        0      898   100.0%           83        909
   11589        0      918   100.0%           83        909
   11724        0      911   100.0%           83        910
   11662        0      904   100.0%           83        910
   11708        0      911   100.0%           83        910
   11689        2      913   100.0%           83        910
   11628        0      928   100.0%           83        910
   11605        0      917   100.0%           83        910
   11736        0      920   100.0%           83        910
   11678        0      906   100.0%           83        910
   11742        2      949   100.0%           83        910
   11377        0      945   100.0%           83        910
    9132        0      957   100.0%           83        910
   10958        0      937   100.0%           83        910
   11667        0      935   100.0%           83        910
   10852        0      960   100.0%           83        910
    9378        0      941   100.0%           83        910
   12091        0      994   100.0%           83        910
   11694        0      974   100.0%           83        910
    7376        0      971   100.0%           83        910
   12784        1      965   100.0%           83        910
   12110        0      970   100.0%           83        910
   11749        0      988   100.0%           83        910
   11697        0      984   100.0%           83        910
   11726        0      998   100.0%           83        910
   11259        1     1044   100.0%           83        911
   11762        0      971   100.0%           83        911
   11696        0      964   100.0%           83        911
   11666        0      946   100.0%           83        911
   11730        0     1001   100.0%           83        911
   11626        2      959   100.0%           83        911
   11743        0      986   100.0%           83        911
   11789        0      989   100.0%           83        911
   12688        0     1864   100.0%           83        911
   11639        0      923   100.0%           83        911
   11763        0      980   100.0%           83        911
   11675        0      974   100.0%           83        911
   11743        0      979   100.0%           83        911
   11690        0      930   100.0%           83        911
   11741        0      962   100.0%           83        911
   11723        0      946   100.0%           83        911
    8709        0      948   100.0%           83        911
   11655        0      953   100.0%           83        911
   11705        0      936   100.0%           83        911
   11696        0      951   100.0%           83        911
   11650        0      926   100.0%           83        912
   11863        0      999   100.0%           83        912
    4490        0      953   100.0%           83        912
    8045        0      954   100.0%           83        912
   12064        0      957   100.0%           83        912
   11771        0      946   100.0%           83        912
   11685        0      966   100.0%           83        912
   11223        0      928   100.0%           83        912
   11767        0      908   100.0%           83        912
   11710        0      921   100.0%           83        912
   11679        0      901   100.0%           83        912
   11620        0      902   100.0%           83        912
   11635        0      900   100.0%           83        912
   11667        0      897   100.0%           83        912
   11146        1      897   100.0%           83        912
   11669        0      896   100.0%           83        912
   11613        0      894   100.0%           83        912
   11253        0      884   100.0%           83        912
   11681        0      901   100.0%           83        912
   11611        0      904   100.0%           83        912
   11629        0      885   100.0%           83        912
   11671        0      927   100.0%           83        912
   11644        0      916   100.0%           83        912
   11645        0      901   100.0%           83        912
   11749        2      974   100.0%           83        912
   11627        0      913   100.0%           83        912
   12132        0      972   100.0%           83        912
   11698        0      966   100.0%           83        912
   11792        0      932   100.0%           83        912
   11712        0      973   100.0%           83        913
   11797        0      955   100.0%           83        913
   11850        0      942   100.0%           83        913
   11738        0      944   100.0%           83        913
   11743        0      965   100.0%           83        913
   11277        1      987   100.0%           83        913
   11763        0      977   100.0%           83        913
   11733        0      943   100.0%           83        913
   11690        0      990   100.0%           83        913
   11753        2      946   100.0%           83        913
   11207        0      936   100.0%           83        913
   11772        0      972   100.0%           83        913
   11109        0      932   100.0%           83        913
   11467        0      968   100.0%           83        913
   11707        0      969   100.0%           83        913
   12607        0     1828   100.0%           83        913
   11701        0      904   100.0%           83        913
   11683        0      960   100.0%           83        913
   11621        0      907   100.0%           83        913
   11718        0      976   100.0%           83        913
   11739        0      984   100.0%           83        913
   11757        0      990   100.0%           83        914
   11663        0      918   100.0%           83        914
   11827        0     1000   100.0%           83        914
   11731        1      981   100.0%           83        914
   11796        0      990   100.0%           83        914
   11671        0      942   100.0%           83        914
   11710        0      998   100.0%           83        914
   11821        0      971   100.0%           83        914
   11177        2      924   100.0%           83        914
   11844        0      991   100.0%           83        914
   11777        0     1033   100.0%           83        914
   11264        0      984   100.0%           83        914
   11953        0      950   100.0%           83        914
   11720        0      973   100.0%           83        914
   11705        0      970   100.0%           83        914
   10828        0      935   100.0%           83        914
   11765        0      979   100.0%           83        914
   11762        0      949   100.0%           83        914
   11698        0      962   100.0%           83        914
   11119        0      930   100.0%           83        914
   11761        0      919   100.0%           83        914
   11164        0      923   100.0%           83        915
   12484        0     1778   100.0%           83        915
   11709        0      893   100.0%           83        915
   11703        0      991   100.0%           83        915
   11998        0      941   100.0%           83        915
   11695        0      913   100.0%           83        915
   11568        1      906   100.0%           83        915
   11649        0      904   100.0%           83        915
   11639        0      905   100.0%           83        915
   11664        0      934   100.0%           83        915
   11615        0      912   100.0%           83        915
   12064        1      888   100.0%           83        915
   15428        0     1779   100.0%           83        915
   10757        0       33   100.0%           83        915
   10851        0       41   100.0%           83        915
   10738        0       30   100.0%           83        915
   10805        2       37   100.0%           83        915
    7891        0       38   100.0%           83        915

Ending tracing...
Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
   11748        0      914   100.0%           69        927
   11676        0      928   100.0%           69        927
   11799        0      899   100.0%           69        927
   11766        0      917   100.0%           69        927
   11742        0      910   100.0%           69        927
   21175        0      910   100.0%           69        927
   38738        0      945   100.0%           69        927
   11698        0      918   100.0%           69        927
   11732        0      907   100.0%           69        927
   11635        0      914   100.0%           69        927
   11681        0      903   100.0%           69        927
   11699        0      918   100.0%           69        927
   11702        0      907   100.0%           69        927
   11684        0      909   100.0%           69        927
   11657        0      922   100.0%           69        928
   11171        0      900   100.0%           69        927
   11665        1      947   100.0%           69        928
   11665        0      938   100.0%           69        928
   11643        0      934   100.0%           69        928
   11728        0      956   100.0%           69        928
   11772        0      942   100.0%           69        928
   11749        1      960   100.0%           69        928
   11760        0      948   100.0%           69        928
   11797        0      985   100.0%           69        928
   11801        0      977   100.0%           69        928
   11761        0      976   100.0%           69        928
   11276        2      981   100.0%           69        928
   11808        0      983   100.0%           69        928
   11782        0      987   100.0%           69        928
   11738        0      951   100.0%           69        928
   11767        0     1010   100.0%           69        928
   11769        1      957   100.0%           69        928
   12101        0      955   100.0%           69        928
   11718        0      962   100.0%           69        928
   11069        0      941   100.0%           69        928
    6246        0      912   100.0%           69        928
    8241        0     1036   100.0%           69        929
    7600        0      989   100.0%           69        929
    9410        0      983   100.0%           69        929
   11749        0      974   100.0%           69        929
   11761        0      982   100.0%           69        929
   14004        0     1838   100.0%           69        929
    9393        0      930   100.0%           69        929
   11412        0      996   100.0%           69        929
   11788        0      968   100.0%           69        929
   11756        0      983   100.0%           69        929
   11667        0      959   100.0%           69        929
   11710        0      940   100.0%           69        929
   11343        0      918   100.0%           69        929
   10811        0      949   100.0%           69        929
    8135        2      945   100.0%           69        929
   10845        0      931   100.0%           69        929
   11284        0      915   100.0%           69        929
   11705        0      943   100.0%           69        929
   11737        0      945   100.0%           69        929
   11710        0      933   100.0%           69        929
   11667        0      914   100.0%           69        929
   11661        0      914   100.0%           69        929
   11753        0      960   100.0%           69        930
   11840        0      960   100.0%           69        930
   11698        1      926   100.0%           69        930
   11356        0      940   100.0%           69        930
   11703        0      894   100.0%           69        930
   11298        0      922   100.0%           69        930
   13472        1      892   100.0%           69        930
    6562        0      909   100.0%           69        930
    8839        0      886   100.0%           69        930
    7533        0      898   100.0%           69        930
   10994        0      894   100.0%           69        930
   12097        0      905   100.0%           69        930
   10759        0      900   100.0%           69        930
   11732        0      897   100.0%           69        930
   11727        0      903   100.0%           69        930
   11774        0      918   100.0%           69        930
   11787        0      955   100.0%           69        930
   11742        0      958   100.0%           69        930
   11741        0      947   100.0%           69        930
   11752        0      919   100.0%           69        930
   11758        0      947   100.0%           69        930
   11753        0      910   100.0%           69        930
   11707        0      953   100.0%           69        930
   11202        0      963   100.0%           69        930
   11690        0      928   100.0%           69        930
   11752        0      978   100.0%           69        930
   11695        1      946   100.0%           69        930
   11812        0      954   100.0%           69        930
   11831        0      937   100.0%           69        930
   11799        0      907   100.0%           69        930
   11811        0     1043   100.0%           69        931
   11713        0      971   100.0%           69        931
   11752        0      919   100.0%           69        931
   11796        0      979   100.0%           69        931
   12610        0     1834   100.0%           69        931
   11811        0      969   100.0%           69        931
   11748        1      984   100.0%           69        931
   11819        0      970   100.0%           69        931
   11780        0      960   100.0%           69        931
   11728        0      927   100.0%           69        931
   11736        2      954   100.0%           69        931
   11784        0      975   100.0%           69        931
   11673        0      953   100.0%           69        931
   11823        0      969   100.0%           69        931
   11726        0      954   100.0%           69        931
   11723        2      955   100.0%           69        931
   11746        0      923   100.0%           69        931
   11872        0      994   100.0%           69        931
   11724        0      917   100.0%           69        931
   11733        0      989   100.0%           69        931
   11279        0      944   100.0%           69        932
   11799        0      989   100.0%           69        932
   11758        0      922   100.0%           69        932
   11318        0     1007   100.0%           69        932
   11668        0      966   100.0%           69        932
   11722        0      980   100.0%           69        932
   11733        0      960   100.0%           69        932
   11773        0      938   100.0%           69        932
   11215        0      970   100.0%           69        932
   11688        0      947   100.0%           69        932
   12157        1     1764   100.0%           69        932
   11338        0      954   100.0%           69        932
   11748        0      958   100.0%           69        932
   11742        0      940   100.0%           69        932
   11814        0      902   100.0%           69        932
   11747        0      988   100.0%           69        932
   11751        0      949   100.0%           69        932
   11694        0      912   100.0%           69        932
   11674        0      897   100.0%           69        932
   11694        0      968   100.0%           69        932
   11716        2      920   100.0%           69        932
   11682        0      887   100.0%           69        932
   11755        0      950   100.0%           69        932
   11725        0      918   100.0%           69        933
   11692        0      884   100.0%           69        933
   11788        2      933   100.0%           69        933
   12148        0      893   100.0%           69        933
   15507        0     1764   100.0%           69        933
   10877        0       74   100.0%           69        933
   10811        0       38   100.0%           69        933
   10877        0       13   100.0%           69        933
   10820        0       45   100.0%           69        933
    7892        0       23   100.0%           69        933

Ending tracing...
