Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
   11567        0      906   100.0%           84        737
   11591        0      914   100.0%           84        737
   11672        3      917   100.0%           84        737
   11630        0      944   100.0%           84        737
   11621        0      919   100.0%           84        737
   11660        0      956   100.0%           84        737
   11722        0      947   100.0%           84        737
   11480        0      933   100.0%           84        737
   11638        0      937   100.0%           84        737
   11654        0      937   100.0%           84        737
   11647        0      934   100.0%           84        737
   11654        0      919   100.0%           84        737
   11702        0      935   100.0%           84        737
   11652        0      950   100.0%           84        737
   11649        0      933   100.0%           84        737
   11553        0      930   100.0%           84        737
   11111        0      930   100.0%           84        737
   10743        0      910   100.0%           84        737
   12012        2      934   100.0%           84        737
   11628        0      906   100.0%           84        737
   11114        0      920   100.0%           84        737
   11646        0      931   100.0%           84        738
   11127        0      937   100.0%           84        738
   11473        0      929   100.0%           84        738
   12531        0     1801   100.0%           84        738
   11335        0      927   100.0%           84        738
    4408        0       58   100.0%           84        738
    4359        0      931   100.0%           84        738
   10340        0      926   100.0%           84        738
    9977        0      930   100.0%           84        738
    9880        0      917   100.0%           84        738
   11945        0      924   100.0%           84        738
   10953        0      933   100.0%           84        738
   11646        0      945   100.0%           84        738
   11651        0      910   100.0%           84        738
   11680        0      911   100.0%           84        738
   11672        0      909   100.0%           84        738
   11596        1      914   100.0%           84        738
   11977        0      909   100.0%           84        738
   12127        0     1764   100.0%           84        738
   12044        0      919   100.0%           84        738
   10053        0      916   100.0%           84        738
    8849        0      904   100.0%           84        738
   11174        0      901   100.0%           84        738
   11678        0      902   100.0%           84        738
   11647        0      900   100.0%           84        738
   11250        0      900   100.0%           84        738
   11258        0      914   100.0%           84        738
   11636        0      907   100.0%           84        738
   11623        0      899   100.0%           84        738
   11549        0      916   100.0%           84        738
   11668        1      909   100.0%           84        738
   11664        0      918   100.0%           84        738
   11688        0      920   100.0%           84        738
   11593        0      912   100.0%           84        738
   11707        0      909   100.0%           84        738
   11669        1      914   100.0%           84        739
   11614        0      893   100.0%           84        739
   11597        0      892   100.0%           84        739
   11679        0      904   100.0%           84        739
   11654        0      900   100.0%           84        739
   11644        1      909   100.0%           84        739
   11651        0      900   100.0%           84        739
   11651        0      930   100.0%           84        739
   11882        0      903   100.0%           84        739
   11624        0      918   100.0%           84        739
   11668        0      915   100.0%           84        739
   11301        0      909   100.0%           84        739
   11175        0      925   100.0%           84        739
   11641        0      912   100.0%           84        739
   11611        1      911   100.0%           84        739
   11615        0      905   100.0%           84        739
   11762        0      919   100.0%           84        739
   11652        0      970   100.0%           84        739
   11684        0      961   100.0%           84        739
   11667        0      965   100.0%           84        739
   11666        0      970   100.0%           84        739
   11712        0      946   100.0%           84        739
   11665        0      951   100.0%           84        739
   11643        0      940   100.0%           84        739
   11689        0      982   100.0%           84        739
   11214        0      936   100.0%           84        739
   10702        0      931   100.0%           84        739
   11717        0      966   100.0%           84        739
   11653        0      937   100.0%           84        740
   11693        0      979   100.0%           84        740
   11706        0      987   100.0%           84        740
   11646        0      983   100.0%           84        740
   11983        0      893   100.0%           84        740
   11729        0     1019   100.0%           84        740
   11667        0      967   100.0%           84        740
   11711        0      916   100.0%           84        740
   12117        0      978   100.0%           84        740
   11687        0      970   100.0%           84        740
   11655        1      971   100.0%           84        740
   11663        0      952   100.0%           84        740
   11642        0      972   100.0%           84        740
   10312        0       90   100.0%           84        740
   11699        0      959   100.0%           84        740
   11277        0      949   100.0%           84        740
   11662        0      938   100.0%           84        740
   11704        0      966   100.0%           84        740
   11649        0      959   100.0%           84        740
   11447        1      958   100.0%           84        740
   11688        0      967   100.0%           84        741
   11691        0     1010   100.0%           84        741
   11772        0      976   100.0%           84        741
   11634        0      944   100.0%           84        741
   11700        0      962   100.0%           84        741
    7262        0      968   100.0%           84        741
    4021        0      922   100.0%           84        741
    8983        0      974   100.0%           84        741
    8922        0      982   100.0%           84        741
    8399        0      972   100.0%           84        741
   11177        0      944   100.0%           84        741
   10798        0     1835   100.0%           84        741
   11706        0      967   100.0%           84        741
    9875        2      967   100.0%           84        741
    9343        0      927   100.0%           84        741
   11670        0      913   100.0%           84        741
   11660        0      963   100.0%           84        741
   11722        0      934   100.0%           84        741
   11572        2      915   100.0%           84        741
   11654        0      938   100.0%           84        741
   11640        0      921   100.0%           84        741
   11561        0      917   100.0%           84        741
   11637        0      947   100.0%           84        742
   11717        1      959   100.0%           84        742
   11644        0      927   100.0%           84        742
   11650        0      950   100.0%           84        742
   11627        0      959   100.0%           84        742
   11664        0      978   100.0%           84        742
   12052        0      919   100.0%           84        742
   15278        0     1790   100.0%           84        742
   10792        0       63   100.0%           84        742
   10509        0       38   100.0%           84        742
   10776        0       83   100.0%           84        742
   10763        0       33   100.0%           84        742
   10749        0       28   100.0%           84        742
   46379        0       96   100.0%           84        742
   11581        0       65   100.0%           84        742
   11307        1       36   100.0%           84        742

Ending tracing...
