       eth0       
 KB/s in  KB/s out
    1.43      0.48
    0.92      0.48
    0.90      0.48
    0.70      0.39
    0.96      0.52
    4.45      4.39
    0.64      0.39
    0.83      0.29
    0.83      0.29
    0.26      0.63
    0.78      0.49
    0.94      0.49
    1.12      0.49
    1.17      0.49
    0.42      0.49
 5629.98   5659.75
 8593.78   8656.71
 8843.50   8955.64
 8867.77   8973.83
 8860.32   8940.22
 8664.63   8785.96
 8821.65   8830.46
       eth0       
 KB/s in  KB/s out
 9067.91   9217.20
 8677.11   8799.85
 8803.95   8810.80
 9615.93   9666.73
 9631.62   9711.12
 9460.61   9698.00
 9713.56   9712.69
 9568.39   9650.20
 9518.27   9725.03
 9703.56   9666.43
 9579.07   9739.56
 9617.84   9760.74
 9602.97   9759.98
 9623.06   9715.69
 9676.64   9764.22
 9679.56   9759.48
 9639.16   9739.09
 9559.64   9717.35
 9606.76   9712.36
 9667.12   9717.42
 9612.65   9727.96
 9563.95   9759.70
       eth0       
 KB/s in  KB/s out
 9665.09   9742.62
 9711.18   9720.68
 9520.41   9679.48
 9677.23   9714.20
 9575.50   9761.11
 9648.59   9735.94
 9617.69   9723.76
 9676.69   9722.82
 9589.11   9722.45
 9574.89   9691.75
 9574.59   9727.73
 9708.92   9762.54
 9632.52   9756.07
 9541.66   9724.62
 9678.63   9758.36
 9603.28   9686.40
 9577.82   9733.75
 9666.91   9751.57
 9549.27   9715.11
 9633.08   9729.94
 9648.55   9750.77
 9677.22   9744.46
       eth0       
 KB/s in  KB/s out
 9613.90   9708.34
 9600.41   9744.28
 9574.41   9689.06
 9717.42   9760.32
 9584.94   9725.55
 9599.49   9704.25
 9690.96   9758.82
 9612.44   9757.98
 9589.83   9693.74
 9666.45   9763.19
 9528.36   9728.40
 9653.38   9698.46
 9681.48   9758.85
 9579.79   9690.68
 9610.30   9740.89
 9693.03   9763.31
 9589.91   9734.01
 9646.13   9694.89
 9590.22   9714.77
 9597.68   9765.37
 9683.47   9728.28
 9590.25   9763.82
       eth0       
 KB/s in  KB/s out
 9694.39   9735.83
 9632.58   9756.32
 9641.12   9698.81
 9541.00   9700.52
 9646.37   9761.08
 9587.77   9737.38
 9670.65   9766.25
 9753.08   9761.73
 9519.05   9728.42
 9667.57   9764.17
 9653.94   9759.08
 9696.19   9745.94
 9617.51   9763.19
 9640.52   9733.99
 9608.24   9732.87
 9684.37   9716.84
 9545.83   9687.08
 9664.71   9731.98
 9558.07   9698.85
 9586.97   9725.39
 9578.91   9678.26
 9616.73   9705.92
       eth0       
 KB/s in  KB/s out
 9569.50   9719.96
 9563.19   9666.45
 9602.38   9722.39
 9663.63   9765.34
 9700.28   9761.73
 9623.31   9751.48
 9713.04   9755.09
 9549.33   9737.53
 9696.20   9764.59
 9580.44   9751.27
 9671.65   9763.20
 9621.85   9716.42
 9600.47   9679.28
 9618.21   9734.41
 9577.67   9740.69
 9691.50   9708.76
 9588.58   9732.52
 9618.89   9719.78
 9613.54   9698.41
 9590.08   9764.02
 9668.17   9765.01
 9637.91   9757.25
       eth0       
 KB/s in  KB/s out
 9664.23   9765.70
 9647.28   9729.04
 9586.21   9756.82
 3671.13   3771.22
  290.81    294.88
    7.10      6.39
    2.29      0.49
    1.81      0.53
