       eth0       
 KB/s in  KB/s out
    0.94      0.48
    0.87      0.48
    1.39      0.48
    0.70      0.48
  592.99    598.34
 7595.08   7672.17
 8205.15   8289.32
 8188.21   8271.69
 8179.33   8261.88
 8186.21   8268.43
 8170.12   8250.49
 8248.11   8332.61
 8192.81   8271.82
 8164.83   8248.15
 8270.10   8353.22
 9778.61   9887.13
 9221.89   9323.50
10466.89  10589.37
 9279.75   9379.57
 9233.74   9334.94
 9942.40  10057.22
10031.89  10146.97
       eth0       
 KB/s in  KB/s out
10146.72  10263.55
 8942.36   9037.25
 8620.61   8710.04
 9805.98   9919.49
 9114.36   9212.14
 9769.89   9878.37
10331.10  10452.51
10683.77  10809.23
11650.82  11793.22
10461.85  10584.71
11036.22  11167.22
 9999.30  10115.62
10076.22  10190.22
 8929.12   9026.83
 9589.77   9696.08
 9601.43   9709.95
 9688.94   9797.64
 9782.14   9893.85
 9947.87  10060.27
 9210.44   9308.90
 9635.58   9745.07
 9393.85   9494.28
       eth0       
 KB/s in  KB/s out
 9281.53   9382.78
 8788.38   8882.01
10262.68  10381.22
 9523.44   9630.13
 9353.99   9456.28
 9028.14   9127.10
 8777.66   8868.98
 9805.67   9916.79
 9097.45   9196.81
 8754.97   8845.07
 8895.92   8991.52
10216.95  10335.44
 9976.48  10089.52
 9440.89   9544.93
10584.70  10709.39
10592.61  10715.94
10440.70  10563.68
 9963.01  10076.50
10122.84  10236.62
 8691.41   8783.89
10459.00  10583.03
10435.42  10555.43
       eth0       
 KB/s in  KB/s out
 9277.67   9379.02
 9496.03   9604.08
 9119.52   9215.80
 9869.72   9983.72
10052.55  10165.28
 9645.67   9753.72
 8672.12   8761.53
 9847.49   9956.68
 9533.89   9642.17
10579.16  10703.29
 9983.33  10096.70
 8724.75   8815.57
 9651.76   9760.95
 9117.08   9215.20
 9266.01   9368.65
10282.70  10401.84
10299.24  10420.25
 9932.60  10043.79
 9593.14   9703.38
 9818.95   9928.45
10262.23  10381.30
11164.64  11296.14
       eth0       
 KB/s in  KB/s out
 8819.79   8914.08
10712.35  10838.29
 9673.97   9783.85
 9415.79   9519.35
 8989.80   9086.67
 9548.45   9653.75
 8948.82   9045.67
 9805.08   9914.89
11333.19  11470.39
 9366.76   9471.80
10723.92  10850.08
10132.69  10249.59
 9680.49   9789.66
10075.87  10189.42
 9376.38   9476.62
 9416.56   9520.92
 9781.07   9889.30
 9983.92  10101.21
 9357.07   9459.53
 8949.80   9044.62
 8982.24   9079.14
 9386.55   9491.31
       eth0       
 KB/s in  KB/s out
10322.23  10440.86
 9795.00   9905.49
 8511.61   8601.40
 8693.42   8785.03
 9447.11   9553.00
10241.82  10360.79
 8822.05   8914.45
 9082.01   9177.38
 9974.66  10090.13
 8689.91   8780.77
 9714.11   9820.13
 8841.73   8938.67
 9670.96   9776.83
 9584.15   9691.59
 7177.14   7260.07
  308.85    311.55
   12.75     12.28
    2.45      1.96
    0.80      0.49
    1.23      0.49
    1.17      0.49
    2.61      0.88
       eth0       
 KB/s in  KB/s out
    2.01      0.39
    1.79      0.73
    0.52      0.43
    1.86      0.39
    0.79      0.39
    1.24      0.39
    0.77      0.39
    1.04      0.49
