Linux 4.4.0-31-generic (ids-suricata) 	12/10/2017 	_i686_	(1 CPU)

01:30:19 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:30:20 AM  all    0.00    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:30:21 AM  all    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
01:30:22 AM  all    1.00    0.00    2.00    1.00    0.00    1.00    1.00    0.00    0.00   94.00
01:30:23 AM  all    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
01:30:24 AM  all    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
01:30:25 AM  all   12.75    0.00    6.86    1.96    0.00    0.00    0.98    0.00    0.00   77.45
01:30:26 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:30:27 AM  all    1.00    0.00    1.00   16.00    0.00    0.00    0.00    0.00    0.00   82.00
01:30:28 AM  all    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
01:30:29 AM  all    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:30:30 AM  all    2.06    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   96.91
01:30:31 AM  all    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
01:30:32 AM  all    1.98    0.00    1.98    0.99    0.00    0.00    0.99    0.00    0.00   94.06
01:30:33 AM  all    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97
01:30:34 AM  all    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
01:30:35 AM  all    1.96    0.00    1.96    0.00    0.00    0.00    0.98    0.00    0.00   95.10
01:30:36 AM  all   45.35    0.00    2.33    0.00    0.00   27.91    2.33    0.00    0.00   22.09
01:30:37 AM  all   51.55    0.00    1.03    1.03    0.00   43.30    1.03    0.00    0.00    2.06
01:30:38 AM  all   47.52    0.00    0.99    0.00    0.00   50.50    0.99    0.00    0.00    0.00
