Linux 4.4.0-31-generic (dpi-suricata) 	12/10/2017 	_i686_	(1 CPU)

02:53:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:53:34 AM  all    1.02    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   89.80
02:53:35 AM  all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
02:53:36 AM  all    3.00    0.00    2.00    0.00    0.00    0.00    1.00    0.00    0.00   94.00
02:53:37 AM  all    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92
02:53:38 AM  all    2.02    0.00    2.02    1.01    0.00    1.01    0.00    0.00    0.00   93.94
02:53:39 AM  all   45.92    0.00    2.04    0.00    0.00   31.63    1.02    0.00    0.00   19.39
02:53:40 AM  all   57.00    0.00    0.00    0.00    0.00   42.00    1.00    0.00    0.00    0.00
02:53:41 AM  all   52.48    0.00    0.99    0.00    0.00   46.53    0.00    0.00    0.00    0.00
02:53:42 AM  all   55.56    0.00    1.01    0.00    0.00   43.43    0.00    0.00    0.00    0.00
02:53:43 AM  all   53.00    0.00    0.00    0.00    0.00   46.00    1.00    0.00    0.00    0.00
02:53:44 AM  all   49.50    0.00    0.99    0.00    0.00   49.50    0.00    0.00    0.00    0.00
02:53:45 AM  all   51.00    0.00    2.00    0.00    0.00   46.00    1.00    0.00    0.00    0.00
02:53:46 AM  all   49.00    0.00    2.00    0.00    0.00   47.00    2.00    0.00    0.00    0.00
02:53:47 AM  all   51.00    0.00    1.00    0.00    0.00   48.00    0.00    0.00    0.00    0.00
02:53:48 AM  all   47.00    0.00    1.00    0.00    0.00   51.00    1.00    0.00    0.00    0.00
02:53:49 AM  all   50.50    0.00    0.99    0.00    0.00   47.52    0.99    0.00    0.00    0.00
02:53:50 AM  all   44.44    0.00    1.01    0.00    0.00   54.55    0.00    0.00    0.00    0.00
02:53:51 AM  all   39.60    0.00    0.99    0.00    0.00   57.43    1.98    0.00    0.00    0.00
02:53:52 AM  all   43.56    0.00    1.98    0.00    0.00   54.46    0.00    0.00    0.00    0.00
02:53:53 AM  all   50.00    0.00    2.00    0.00    0.00   46.00    2.00    0.00    0.00    0.00
02:53:54 AM  all   45.00    0.00    1.00    0.00    0.00   54.00    0.00    0.00    0.00    0.00
02:53:55 AM  all   39.39    0.00    1.01    0.00    0.00   58.59    1.01    0.00    0.00    0.00
02:53:56 AM  all   40.00    0.00    0.00    0.00    0.00   59.00    1.00    0.00    0.00    0.00
02:53:57 AM  all   46.53    0.00    1.98    0.00    0.00   50.50    0.99    0.00    0.00    0.00
02:53:58 AM  all   45.54    0.00    0.99    0.00    0.00   51.49    1.98    0.00    0.00    0.00
02:53:59 AM  all   42.42    0.00    1.01    0.00    0.00   55.56    1.01    0.00    0.00    0.00
02:54:00 AM  all   44.00    0.00    2.00    0.00    0.00   53.00    1.00    0.00    0.00    0.00
02:54:01 AM  all   45.10    0.00    0.98    0.00    0.00   50.98    2.94    0.00    0.00    0.00
02:54:02 AM  all   43.56    0.00    1.98    0.00    0.00   53.47    0.99    0.00    0.00    0.00
02:54:03 AM  all   45.00    0.00    2.00    0.00    0.00   53.00    0.00    0.00    0.00    0.00
02:54:04 AM  all   48.48    0.00    1.01    0.00    0.00   50.51    0.00    0.00    0.00    0.00
02:54:05 AM  all   40.20    0.00    0.98    0.00    0.00   56.86    1.96    0.00    0.00    0.00
02:54:06 AM  all   44.44    0.00    3.03    0.00    0.00   52.53    0.00    0.00    0.00    0.00
02:54:07 AM  all   47.00    0.00    2.00    0.00    0.00   51.00    0.00    0.00    0.00    0.00
02:54:08 AM  all   39.00    0.00    3.00    0.00    0.00   57.00    1.00    0.00    0.00    0.00
02:54:09 AM  all   43.00    0.00    3.00    0.00    0.00   54.00    0.00    0.00    0.00    0.00
02:54:10 AM  all   46.53    0.00    1.98    0.00    0.00   50.50    0.99    0.00    0.00    0.00
02:54:11 AM  all   40.00    0.00    4.00    0.00    0.00   56.00    0.00    0.00    0.00    0.00
02:54:12 AM  all   38.61    0.00    1.98    0.00    0.00   58.42    0.99    0.00    0.00    0.00
02:54:13 AM  all   46.46    0.00    2.02    0.00    0.00   51.52    0.00    0.00    0.00    0.00
02:54:14 AM  all   42.00    0.00    1.00    0.00    0.00   57.00    0.00    0.00    0.00    0.00
