Linux 4.4.0-31-generic (fw-suricata) 	12/10/2017 	_i686_	(1 CPU)

12:25:03 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:25:04 AM  all    0.00    0.00    8.08    0.00    0.00    1.01    0.00    0.00    0.00   90.91
12:25:05 AM  all    1.98    0.00    1.98    0.99    0.00    0.00    0.99    0.00    0.00   94.06
12:25:06 AM  all    0.00    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   95.96
12:25:07 AM  all    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
12:25:08 AM  all    4.08    0.00    2.04    0.00    0.00    2.04    1.02    0.00    0.00   90.82
12:25:09 AM  all   31.71    0.00    3.66    0.00    0.00   23.17    1.22    0.00    0.00   40.24
12:25:10 AM  all   35.71    0.00    3.57    0.00    0.00   29.76    0.00    0.00    0.00   30.95
12:25:11 AM  all   33.33    0.00    1.19    0.00    0.00   38.10    1.19    0.00    0.00   26.19
12:25:12 AM  all   33.33    0.00    2.38    0.00    0.00   30.95    0.00    0.00    0.00   33.33
12:25:13 AM  all   37.04    0.00    2.47    0.00    0.00   24.69    2.47    0.00    0.00   33.33
12:25:14 AM  all   39.53    0.00    2.33    0.00    0.00   26.74    0.00    0.00    0.00   31.40
12:25:15 AM  all   34.15    0.00    2.44    0.00    0.00   28.05    1.22    0.00    0.00   34.15
12:25:16 AM  all   34.52    0.00    2.38    0.00    0.00   25.00    2.38    0.00    0.00   35.71
12:25:17 AM  all   39.74    0.00    1.28    0.00    0.00   26.92    2.56    0.00    0.00   29.49
12:25:18 AM  all   35.63    0.00    2.30    0.00    0.00   33.33    2.30    0.00    0.00   26.44
12:25:19 AM  all   40.82    0.00    0.00    0.00    0.00   56.12    1.02    0.00    0.00    2.04
12:25:20 AM  all   40.00    0.00    1.05    0.00    0.00   50.53    1.05    0.00    0.00    7.37
12:25:21 AM  all   42.55    0.00    2.13    1.06    0.00   41.49    2.13    0.00    0.00   10.64
12:25:22 AM  all   32.98    0.00    2.13    0.00    0.00   53.19    2.13    0.00    0.00    9.57
12:25:23 AM  all   42.86    0.00    2.20    0.00    0.00   40.66    2.20    0.00    0.00   12.09
12:25:24 AM  all   37.63    0.00    2.15    0.00    0.00   47.31    0.00    0.00    0.00   12.90
12:25:25 AM  all   35.42    0.00    2.08    0.00    0.00   51.04    2.08    0.00    0.00    9.38
12:25:26 AM  all   38.30    0.00    1.06    2.13    0.00   47.87    2.13    0.00    0.00    8.51
12:25:27 AM  all   40.62    0.00    1.04    0.00    0.00   41.67    1.04    0.00    0.00   15.62
12:25:28 AM  all   37.89    0.00    1.05    0.00    0.00   47.37    1.05    0.00    0.00   12.63
12:25:29 AM  all   37.76    0.00    1.02    0.00    0.00   55.10    3.06    0.00    0.00    3.06
12:25:30 AM  all   31.46    0.00    2.25    0.00    0.00   44.94    3.37    0.00    0.00   17.98
12:25:31 AM  all   38.89    0.00    2.22    0.00    0.00   41.11    1.11    0.00    0.00   16.67
12:25:32 AM  all   36.56    0.00    2.15    0.00    0.00   45.16    2.15    0.00    0.00   13.98
12:25:33 AM  all   39.13    0.00    1.09    0.00    0.00   46.74    1.09    0.00    0.00   11.96
12:25:34 AM  all   45.45    0.00    1.01    0.00    0.00   49.49    2.02    0.00    0.00    2.02
12:25:35 AM  all   36.26    0.00    1.10    0.00    0.00   48.35    1.10    0.00    0.00   13.19
12:25:36 AM  all   34.94    0.00    4.82    0.00    0.00   31.33    1.20    0.00    0.00   27.71
12:25:37 AM  all   37.50    0.00    2.08    0.00    0.00   56.25    0.00    0.00    0.00    4.17
12:25:38 AM  all   43.62    0.00    2.13    0.00    0.00   40.43    1.06    0.00    0.00   12.77
12:25:39 AM  all   42.11    0.00    1.05    0.00    0.00   44.21    1.05    0.00    0.00   11.58
12:25:40 AM  all   37.89    0.00    0.00    0.00    0.00   48.42    2.11    0.00    0.00   11.58
12:25:41 AM  all   35.11    0.00    2.13    1.06    0.00   53.19    0.00    0.00    0.00    8.51
12:25:42 AM  all   39.58    0.00    2.08    0.00    0.00   43.75    2.08    0.00    0.00   12.50
12:25:43 AM  all   38.95    0.00    1.05    0.00    0.00   48.42    1.05    0.00    0.00   10.53
12:25:44 AM  all   38.04    0.00    3.26    0.00    0.00   41.30    2.17    0.00    0.00   15.22
12:25:45 AM  all   37.63    0.00    2.15    0.00    0.00   43.01    2.15    0.00    0.00   15.05
12:25:46 AM  all   39.13    0.00    1.09    0.00    0.00   41.30    1.09    0.00    0.00   17.39
12:25:47 AM  all   35.48    0.00    3.23    0.00    0.00   45.16    2.15    0.00    0.00   13.98
12:25:48 AM  all   39.33    0.00    2.25    0.00    0.00   35.96    1.12    0.00    0.00   21.35
12:25:49 AM  all   43.16    0.00    0.00    0.00    0.00   48.42    0.00    0.00    0.00    8.42
12:25:50 AM  all   37.37    0.00    1.01    0.00    0.00   58.59    1.01    0.00    0.00    2.02
12:25:51 AM  all   36.84    0.00    2.11    0.00    0.00   53.68    1.05    0.00    0.00    6.32
12:25:52 AM  all   35.96    0.00    1.12    0.00    0.00   43.82    1.12    0.00    0.00   17.98
12:25:53 AM  all   39.56    0.00    2.20    0.00    0.00   38.46    2.20    0.00    0.00   17.58
12:25:54 AM  all   41.46    0.00    4.88    0.00    0.00   18.29    3.66    0.00    0.00   31.71
12:25:55 AM  all   34.69    0.00    0.00    0.00    0.00   58.16    2.04    0.00    0.00    5.10
12:25:56 AM  all   39.13    0.00    2.17    0.00    0.00   40.22    0.00    0.00    0.00   18.48
12:25:57 AM  all   37.36    0.00    3.30    0.00    0.00   39.56    1.10    0.00    0.00   18.68
12:25:58 AM  all   40.45    0.00    2.25    0.00    0.00   40.45    0.00    0.00    0.00   16.85
12:25:59 AM  all   39.18    0.00    1.03    0.00    0.00   49.48    2.06    0.00    0.00    8.25
12:26:00 AM  all   38.30    0.00    2.13    0.00    0.00   44.68    2.13    0.00    0.00   12.77
12:26:01 AM  all   45.05    0.00    1.10    0.00    0.00   37.36    1.10    0.00    0.00   15.38
12:26:02 AM  all   40.43    0.00    2.13    0.00    0.00   36.17    2.13    0.00    0.00   19.15
12:26:03 AM  all   38.95    0.00    2.11    0.00    0.00   47.37    1.05    0.00    0.00   10.53
12:26:04 AM  all   39.36    0.00    2.13    0.00    0.00   47.87    2.13    0.00    0.00    8.51
12:26:05 AM  all   36.67    0.00    3.33    0.00    0.00   42.22    3.33    0.00    0.00   14.44
12:26:06 AM  all   36.96    0.00    3.26    0.00    0.00   41.30    2.17    0.00    0.00   16.30
12:26:07 AM  all   41.00    0.00    2.00    0.00    0.00   52.00    1.00    0.00    0.00    4.00
12:26:08 AM  all   41.94    0.00    2.15    0.00    0.00   43.01    2.15    0.00    0.00   10.75
12:26:09 AM  all   38.30    0.00    2.13    0.00    0.00   45.74    2.13    0.00    0.00   11.70
12:26:10 AM  all   38.54    0.00    1.04    0.00    0.00   51.04    2.08    0.00    0.00    7.29
12:26:11 AM  all   42.39    0.00    2.17    0.00    0.00   36.96    2.17    0.00    0.00   16.30
12:26:12 AM  all   43.16    0.00    2.11    0.00    0.00   45.26    0.00    0.00    0.00    9.47
12:26:13 AM  all   38.14    0.00    2.06    0.00    0.00   51.55    1.03    0.00    0.00    7.22
12:26:14 AM  all   40.22    0.00    1.09    0.00    0.00   38.04    1.09    0.00    0.00   19.57
12:26:15 AM  all   41.67    0.00    2.08    0.00    0.00   46.88    0.00    0.00    0.00    9.38
12:26:16 AM  all   36.47    0.00    2.35    0.00    0.00   30.59    0.00    0.00    0.00   30.59
12:26:17 AM  all   40.00    0.00    1.11    0.00    0.00   33.33    5.56    0.00    0.00   20.00
12:26:18 AM  all   38.95    0.00    2.11    0.00    0.00   45.26    3.16    0.00    0.00   10.53
12:26:19 AM  all   39.13    0.00    2.17    0.00    0.00   43.48    1.09    0.00    0.00   14.13
12:26:20 AM  all   35.87    0.00    0.00    0.00    0.00   51.09    1.09    0.00    0.00   11.96
12:26:21 AM  all   39.18    0.00    1.03    0.00    0.00   47.42    3.09    0.00    0.00    9.28
12:26:22 AM  all   41.76    0.00    2.20    0.00    0.00   42.86    1.10    0.00    0.00   12.09
12:26:23 AM  all   37.78    0.00    1.11    0.00    0.00   41.11    1.11    0.00    0.00   18.89
12:26:24 AM  all   40.62    0.00    1.04    0.00    0.00   47.92    1.04    0.00    0.00    9.38
12:26:25 AM  all   43.01    0.00    1.08    0.00    0.00   40.86    2.15    0.00    0.00   12.90
12:26:26 AM  all   39.18    0.00    0.00    0.00    0.00   55.67    2.06    0.00    0.00    3.09
12:26:27 AM  all   38.78    0.00    2.04    0.00    0.00   54.08    0.00    0.00    0.00    5.10
12:26:28 AM  all   38.89    0.00    2.22    0.00    0.00   37.78    0.00    0.00    0.00   21.11
12:26:29 AM  all   40.82    0.00    2.04    0.00    0.00   51.02    2.04    0.00    0.00    4.08
12:26:30 AM  all   44.21    0.00    2.11    0.00    0.00   42.11    2.11    0.00    0.00    9.47
12:26:31 AM  all   35.71    0.00    2.04    0.00    0.00   58.16    0.00    0.00    0.00    4.08
12:26:32 AM  all   43.82    0.00    1.12    0.00    0.00   24.72    1.12    0.00    0.00   29.21
12:26:33 AM  all   34.12    0.00    2.35    0.00    0.00   35.29    1.18    0.00    0.00   27.06
