time,i,sfc,net,vnf,pm,vm_cpu,min_cpu,vm_mem,min_mem,vm_sto,min_sto,cpu_usage,mem_usage,sto_usage,fg,traffic,latFW,latDPI,latIDS,bnd_usage,lossFW,lossDPI,lossIDS,sla,tr_stratos,thr_stratos
1,0,1,10Mbps,ids,1,100,100,100,100,100,100,12,46.54,0.72,1,0.69,0.213,0.008,0.237,0.000069,0,0,0,20,0.065748,6
2,0,1,10Mbps,ids,1,100,100,100,100,100,100,2.04,46.55,1,1,0.72,0.197,0.008,0.093,0.000072,0,0,0,20,0.099352,4
3,0,1,10Mbps,ids,1,100,100,100,100,100,100,4,46.55,0,1,0.39,,,,0.000039,,,,20,0.10758,4
4,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.06,46.55,0,1,0.89,,,,0.000089,,,,20,0.113161,4
5,0,1,10Mbps,ids,1,100,100,100,100,100,100,4.9,46.55,0,1,0.39,,,,0.000039,,,,20,0.115955,4
6,0,1,10Mbps,ids,1,100,100,100,100,100,100,8.16,46.56,0.99,1,0.39,,,,0.000039,,,,20,0.126284,5
7,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.03,46.56,1.01,1,0.39,,,,0.000039,,,,20,0.130001,5
8,0,1,10Mbps,ids,1,100,100,100,100,100,100,4.95,46.56,0,1,0.39,,,,0.000039,,,,20,0.134181,5
9,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.06,46.56,0,1,0.39,,,,0.000039,,,,20,0.136483,5
10,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.06,46.56,0,1,0.57,,,,0.000057,,,,20,0.138653,5
11,0,1,10Mbps,ids,1,100,100,100,100,100,100,8,46.57,1.02,1,0.39,,,,0.000039,,,,20,0.207138,5
12,0,1,10Mbps,ids,1,100,100,100,100,100,100,4,46.56,1.01,1,0.39,,,,0.000039,,,,20,0.292961,5
13,0,1,10Mbps,ids,1,100,100,100,100,100,100,2.04,46.56,0,1,0.39,,,,0.000039,,,,20,0.378241,6
14,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.03,46.57,0,1,0.39,,,,0.000039,,,,20,0.446963,6
15,0,1,10Mbps,ids,1,100,100,100,100,100,100,5,46.56,0,1,0.57,,,,0.000057,,,,20,0.507369,7
16,0,1,10Mbps,ids,1,100,100,100,100,100,100,6.06,46.56,1,1,0.73,,,,0.000073,,,,20,0.541393,7
17,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.03,46.57,1.01,1,0.39,,,,0.000039,,,,20,0.547079,7
18,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.06,46.57,0,1,0.9,,,,0.00009,,,,20,0.55368,7
19,0,1,10Mbps,ids,1,100,100,100,100,100,100,3,46.57,0,1,0.73,,,,0.000073,,,,20,0.557081,7
20,0,1,10Mbps,ids,1,100,100,100,100,100,100,4.04,46.58,0,1,0.39,,,,0.000039,,,,20,0.556646,7
21,0,1,10Mbps,ids,1,100,100,100,100,100,100,5,46.57,1.01,1,0.39,,,,0.000039,,,,20,0.547707,7
22,0,1,10Mbps,ids,1,100,100,100,100,100,100,2.04,46.57,1,1,0.39,,,,0.000039,,,,20,0.545524,7
23,0,1,10Mbps,ids,1,100,100,100,100,100,100,4,46.57,0,1,0.39,,,,0.000039,,,,20,0.542256,7
24,0,1,10Mbps,ids,1,100,100,100,100,100,100,4.95,46.57,0,1,0.54,,,,0.000054,,,,20,0.536542,7
25,0,1,10Mbps,ids,1,100,100,100,100,100,100,4,46.57,0,1,0.39,,,,0.000039,,,,20,0.531958,7
26,0,1,10Mbps,ids,1,100,100,100,100,100,100,8.16,46.58,1.01,1,1.06,,,,0.000106,,,,20,0.534014,7
27,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.03,46.58,2.02,1,0.73,,,,0.000073,,,,20,0.531933,7
28,0,1,10Mbps,ids,1,100,100,100,100,100,100,4,46.57,0,1,0.39,,,,0.000039,,,,20,0.524319,7
29,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.03,46.57,0,1,0.54,,,,0.000054,,,,20,0.525649,7
30,0,1,10Mbps,ids,1,100,100,100,100,100,100,2.04,46.58,0,1,0.39,,,,0.000039,,,,20,0.529514,7
31,0,1,10Mbps,ids,1,100,100,100,100,100,100,8.08,46.58,1.02,1,0.39,,,,0.000039,,,,20,0.529706,7
32,0,1,10Mbps,ids,1,100,100,100,100,100,100,5,46.58,1.01,1,0.91,,,,0.000091,,,,20,0.535086,7
33,0,1,10Mbps,ids,1,100,100,100,100,100,100,2.04,46.58,24,1,0.39,,,,0.000039,,,,20,0.536364,7
34,0,1,10Mbps,ids,1,100,100,100,100,100,100,2.02,46.58,0,1,0.39,,,,0.000039,,,,20,0.534905,7
35,0,1,10Mbps,ids,1,100,100,100,100,100,100,4.04,46.59,0,1,0.39,,,,0.000039,,,,20,0.535674,7
36,0,1,10Mbps,ids,1,100,100,100,100,100,100,20.79,46.59,1.01,1,0.39,,,,0.000039,,,,20,0.534283,7
37,0,1,10Mbps,ids,1,100,100,100,100,100,100,4.04,46.59,0.99,1,0.39,,,,0.000039,,,,20,0.534013,7
38,0,1,10Mbps,ids,1,100,100,100,100,100,100,4.04,46.59,0,1,0.54,,,,0.000054,,,,20,0.537629,7
39,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.03,46.59,0,1,0.39,,,,0.000039,,,,20,0.535,7
40,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.06,46.59,0,1,0.39,,,,0.000039,,,,20,0.548116,7
41,0,1,10Mbps,ids,1,100,100,100,100,100,100,9.9,46.59,1.02,1,0.39,,,,0.000039,,,,20,0.550665,7
42,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.03,46.59,0.99,1,0.73,,,,0.000073,,,,20,0.551133,7
43,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.03,46.59,0,1,0.54,,,,0.000054,,,,20,0.547306,7
44,0,1,10Mbps,ids,1,100,100,100,100,100,100,4.95,46.6,0,1,0.39,,,,0.000039,,,,20,0.548658,7
45,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.03,46.59,0,1,0.43,,,,0.000043,,,,20,0.538971,7
46,0,1,10Mbps,ids,1,100,100,100,100,100,100,5,46.59,1.01,1,0.87,,,,0.000087,,,,20,0.531926,7
47,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.06,46.6,1,1,0.73,,,,0.000073,,,,20,0.525459,7
48,0,1,10Mbps,ids,1,100,100,100,100,100,100,4,46.59,0,1,0.39,,,,0.000039,,,,20,0.528144,7
49,0,1,10Mbps,ids,1,100,100,100,100,100,100,4,46.6,0,1,0.44,,,,0.000044,,,,20,0.528875,7
50,0,1,10Mbps,ids,1,100,100,100,100,100,100,5,46.59,0,1,0.39,,,,0.000039,,,,20,0.525543,7
51,0,1,10Mbps,ids,1,100,100,100,100,100,100,4.08,46.6,1,1,0.44,,,,0.000044,,,,20,0.531654,7
52,0,1,10Mbps,ids,1,100,100,100,100,100,100,4,46.59,1.02,1,0.39,,,,0.000039,,,,20,0.539777,7
53,0,1,10Mbps,ids,1,100,100,100,100,100,100,4.95,46.6,10.89,1,0.39,,,,0.000039,,,,20,0.54704,7
54,0,1,10Mbps,ids,1,100,100,100,100,100,100,2.04,46.59,0,1,0.39,,,,0.000039,,,,20,0.546338,7
55,0,1,10Mbps,ids,1,100,100,100,100,100,100,5.88,46.59,0,1,0.39,,,,0.000039,,,,20,0.547611,7
56,0,1,10Mbps,ids,1,100,100,100,100,100,100,9.18,46.6,0.99,1,0.39,,,,0.000039,,,,20,0.543744,7
57,0,1,10Mbps,ids,1,100,100,100,100,100,100,4,46.6,1.01,1,0.73,,,,0.000073,,,,20,0.538212,7
58,0,1,10Mbps,ids,1,100,100,100,100,100,100,3.03,46.6,0,1,0.39,,,,0.000039,,,,20,0.526854,7
59,0,1,10Mbps,ids,1,100,100,100,100,100,100,4,46.6,0,1,0.73,,,,0.000073,,,,20,0.52444,7
60,0,1,10Mbps,ids,1,100,100,100,100,100,100,4,46.6,0,1,0.73,,,,0.000073,,,,20,0.521296,8
61,0,1,10Mbps,ids,1,100,100,100,100,100,100,8,46.6,1.01,1,0.39,,,,0.000039,,,,20,0.523088,8
62,0,1,10Mbps,ids,1,100,100,100,100,100,100,2.04,46.6,0.99,1,209.68,,,,0.020968,,,,20,0.520412,7
63,0,1,10Mbps,ids,1,100,100,100,100,100,100,97.03,46.63,0,1,8367.22,,,,0.836722,,,,20,0.531594,7
64,0,1,10Mbps,ids,1,100,100,100,100,100,100,100,46.69,0,1,8650.97,,,,0.865097,,,,20,0.532633,7
65,0,1,10Mbps,ids,1,100,100,100,100,100,100,100,46.76,0,1,8916.95,,,,0.891695,,,,20,0.535035,7
66,0,1,10Mbps,ids,1,100,100,100,100,100,100,100,46.81,1,1,8909.41,,,,0.890941,,,,20,0.534086,7
67,0,1,10Mbps,ids,1,100,100,100,100,100,100,100,46.87,1,1,8926.42,,,,0.892642,,,,20,0.535547,7
68,0,1,10Mbps,ids,1,100,100,100,100,100,100,100,46.94,0,1,8923.05,,,,0.892305,,,,20,0.524929,7
69,0,1,10Mbps,ids,1,100,100,100,100,100,100,100,47.02,0,1,8919.42,,,,0.891942,,,,20,0.522878,8
70,0,1,10Mbps,ids,1,100,100,100,100,100,100,100,47.07,0,1,8915.42,,,,0.891542,,,,20,0.519833,8
71,0,1,10Mbps,ids,1,100,100,100,100,100,100,100,47.16,1,1,8924.36,,,,0.892436,,,,20,0.520873,7
72,0,1,10Mbps,ids,1,100,100,100,100,100,100,100,47.22,0.99,1,8905.47,,,,0.890547,,,,20,0.520789,7
